action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,45,green,forward,2.0,0,None,None,None,1
left,44,red,forward,-1.0,1,None,None,None,1
None,43,red,forward,0.0,2,None,None,None,1
None,42,red,forward,0.0,3,None,None,None,1
left,41,red,forward,-1.0,4,None,None,None,1
right,40,green,forward,-0.5,5,None,None,None,1
left,39,red,left,-1.0,6,None,None,None,1
None,38,red,left,0.0,7,None,None,None,1
forward,37,red,left,-1.0,8,None,None,None,1
None,36,green,left,0.0,9,None,None,None,1
forward,35,green,left,-0.5,10,None,None,None,1
left,34,red,left,-1.0,11,None,None,None,1
right,33,green,left,-0.5,12,None,None,None,1
None,32,green,right,0.0,13,None,None,None,1
None,31,green,right,0.0,14,None,None,None,1
forward,30,red,right,-1.0,15,None,None,None,1
None,29,red,right,0.0,16,None,None,None,1
forward,28,red,right,-1.0,17,None,None,None,1
left,27,green,right,-0.5,18,None,None,None,1
right,26,green,left,-0.5,19,None,None,None,1
right,25,green,right,2.0,20,None,None,None,1
forward,24,green,right,-0.5,21,None,None,None,1
forward,23,green,right,-0.5,22,None,None,None,1
right,22,red,right,2.0,23,None,None,None,1
None,21,green,forward,0.0,24,None,None,None,1
None,20,green,forward,0.0,25,None,None,None,1
left,19,green,forward,-0.5,26,None,None,None,1
None,18,green,right,0.0,27,None,None,forward,1
None,17,green,right,0.0,28,None,None,forward,1
None,16,green,right,0.0,29,None,None,forward,1
left,15,red,right,-1.0,30,None,None,None,1
right,14,red,right,2.0,31,None,None,None,1
right,13,red,forward,-0.5,32,None,None,None,1
right,12,green,left,-0.5,33,None,None,None,1
left,11,red,right,-1.0,34,None,None,None,1
left,10,red,right,-1.0,35,None,None,None,1
None,9,green,right,0.0,36,None,None,None,1
None,8,green,right,0.0,37,None,None,None,1
None,7,green,right,0.0,38,None,None,None,1
left,6,red,right,-1.0,39,None,None,None,1
left,5,red,right,-1.0,40,None,None,None,1
left,4,red,right,-1.0,41,None,None,None,1
None,3,green,right,0.0,42,None,None,None,1
None,2,green,right,0.0,43,None,None,None,1
None,1,green,right,0.0,44,None,None,None,1
left,0,red,right,-1.0,45,None,None,None,1
left,20,green,forward,-0.5,0,None,None,None,2
left,19,red,right,-1.0,1,None,None,None,2
left,18,red,right,-1.0,2,None,None,None,2
None,17,green,right,0.0,3,None,None,None,2
None,16,green,right,0.0,4,None,None,None,2
None,15,green,right,0.0,5,None,None,None,2
left,14,red,right,-1.0,6,None,None,None,2
left,13,red,right,-1.0,7,None,None,None,2
left,12,red,right,-1.0,8,None,None,None,2
None,11,green,right,0.0,9,None,None,None,2
None,10,green,right,0.0,10,None,None,None,2
None,9,green,right,0.0,11,None,None,None,2
left,8,red,right,-1.0,12,None,None,None,2
left,7,red,right,-1.0,13,None,None,None,2
left,6,red,right,-1.0,14,None,None,None,2
None,5,green,right,0.0,15,None,None,None,2
None,4,green,right,0.0,16,None,None,None,2
None,3,green,right,0.0,17,None,None,None,2
left,2,red,right,-1.0,18,None,None,None,2
left,1,red,right,-1.0,19,None,None,None,2
left,0,red,right,-1.0,20,None,None,None,2
right,20,green,left,-0.5,0,None,None,None,3
forward,19,red,forward,-1.0,1,None,None,None,3
