action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,40,red,right,-1.0,0,None,None,None,1
None,39,red,right,0.0,1,None,None,None,1
forward,38,red,right,-1.0,2,None,None,None,1
forward,37,red,right,-1.0,3,None,None,None,1
right,36,red,right,2.0,4,None,None,None,1
forward,35,green,forward,2.0,5,None,None,None,1
forward,34,green,forward,2.0,6,None,None,None,1
forward,33,red,forward,-1.0,7,None,None,None,1
forward,32,green,forward,2.0,8,None,None,None,1
forward,31,red,forward,-1.0,9,None,None,None,1
forward,30,red,forward,-1.0,10,None,None,None,1
forward,29,red,forward,-1.0,11,None,None,None,1
None,28,green,forward,0.0,12,None,None,None,1
None,27,green,forward,0.0,13,None,None,None,1
right,26,green,forward,-0.5,14,None,None,None,1
None,25,green,left,0.0,15,None,None,None,1
right,24,green,left,-0.5,16,None,None,None,1
None,23,green,right,0.0,17,None,None,None,1
right,22,green,right,2.0,18,None,None,None,1
right,21,red,right,2.0,19,None,None,None,1
right,20,green,forward,-0.5,20,None,None,None,1
forward,19,red,left,-1.0,21,None,None,None,1
None,18,red,left,0.0,22,None,None,None,1
None,17,red,left,0.0,23,None,None,None,1
None,16,red,left,0.0,24,None,None,None,1
left,15,green,left,2.0,25,None,None,None,1
right,14,red,forward,-0.5,26,None,None,None,1
None,13,red,left,0.0,27,None,None,None,1
None,12,red,left,0.0,28,None,None,None,1
None,11,red,left,0.0,29,None,None,None,1
right,10,green,left,-0.5,30,None,None,None,1
right,9,red,right,2.0,31,None,None,None,1
right,8,red,right,2.0,32,None,None,None,1
right,7,red,forward,-0.5,33,None,None,None,1
right,6,green,left,-0.5,34,None,None,None,1
right,5,green,right,2.0,35,None,None,None,1
None,4,green,right,0.0,36,None,None,None,1
None,3,green,right,0.0,37,None,None,None,1
right,2,green,right,2.0,38,None,None,None,1
left,1,green,forward,-0.5,39,None,None,None,1
forward,0,red,right,-1.0,40,None,None,None,1
None,20,green,right,0.0,0,None,None,None,2
None,19,green,right,0.0,1,None,None,None,2
None,18,green,right,0.0,2,None,None,None,2
None,17,green,right,0.0,3,None,None,None,2
right,16,red,right,2.0,4,None,None,None,2
right,15,red,right,2.0,5,None,None,None,2
None,14,green,right,0.0,6,None,None,None,2
None,13,green,right,0.0,7,None,None,None,2
right,12,red,right,2.0,8,None,None,None,2
forward,11,green,forward,2.0,9,None,None,None,2
left,10,red,forward,-1.0,10,None,None,None,2
left,9,red,forward,-1.0,11,None,None,None,2
None,8,green,forward,0.0,12,None,None,None,2
None,7,green,forward,0.0,13,None,None,None,2
None,6,green,forward,0.0,14,None,None,None,2
None,5,green,forward,0.0,15,None,None,None,2
None,4,red,forward,0.0,16,None,None,None,2
None,3,red,forward,0.0,17,None,None,None,2
None,2,red,forward,0.0,18,None,None,None,2
None,1,red,forward,0.0,19,None,None,None,2
None,0,green,forward,0.0,20,None,None,None,2
right,30,green,left,-0.5,0,None,None,None,3
right,29,red,right,2.0,1,None,None,None,3
None,28,green,right,0.0,2,None,None,None,3
None,27,green,right,0.0,3,None,None,None,3
