action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,50,green,right,-0.5,0,None,None,None,1
left,49,green,left,2.0,1,None,None,None,1
None,48,red,forward,0.0,2,None,None,None,1
None,47,red,forward,0.0,3,None,None,None,1
left,46,red,forward,-1.0,4,None,None,None,1
None,45,green,forward,0.0,5,None,None,None,1
forward,44,green,forward,2.0,6,None,None,None,1
forward,43,red,forward,-1.0,7,None,None,None,1
left,42,red,forward,-1.0,8,None,None,None,1
right,41,red,forward,-0.5,9,None,None,None,1
right,40,red,left,-0.5,10,None,None,None,1
left,39,green,right,-0.5,11,None,None,None,1
right,38,green,left,-0.5,12,None,None,None,1
None,37,green,right,0.0,13,None,None,None,1
None,36,green,right,0.0,14,None,None,None,1
forward,35,green,right,9.5,15,None,None,None,1
forward,30,red,left,-1.0,0,None,None,None,2
forward,29,red,left,-1.0,1,None,None,None,2
left,28,red,left,-1.0,2,None,None,None,2
None,27,green,left,0.0,3,None,None,None,2
left,26,green,left,2.0,4,None,None,None,2
None,25,green,forward,0.0,5,None,None,None,2
None,24,green,forward,0.0,6,None,None,None,2
None,23,green,forward,0.0,7,None,None,None,2
None,22,green,forward,0.0,8,None,None,None,2
None,21,green,forward,0.0,9,None,None,None,2
left,20,red,forward,-1.0,10,None,None,None,2
left,19,red,forward,-1.0,11,None,None,None,2
right,18,red,forward,-0.5,12,None,None,None,2
None,17,green,left,0.0,13,None,None,None,2
None,16,green,left,0.0,14,None,None,None,2
None,15,red,left,0.0,15,None,None,None,2
None,14,red,left,0.0,16,None,None,None,2
left,13,red,left,-1.0,17,None,None,None,2
left,12,green,left,2.0,18,None,None,None,2
right,11,green,forward,-0.5,19,None,None,None,2
None,10,green,left,0.0,20,None,None,None,2
None,9,green,left,0.0,21,None,None,None,2
None,8,green,left,0.0,22,None,None,None,2
None,7,green,left,0.0,23,None,None,None,2
None,6,green,left,0.0,24,None,None,None,2
left,5,red,left,-1.0,25,None,None,None,2
left,4,red,left,-1.0,26,None,None,None,2
left,3,red,left,-1.0,27,None,None,None,2
right,2,red,left,-0.5,28,None,None,None,2
right,1,red,right,2.0,29,None,None,None,2
None,0,green,right,0.0,30,None,None,None,2
None,30,green,right,0.0,0,None,None,None,3
None,29,green,right,0.0,1,None,None,None,3
None,28,green,right,0.0,2,None,None,None,3
None,27,green,right,0.0,3,None,None,None,3
left,26,red,right,-1.0,4,None,None,None,3
right,25,red,right,2.0,5,None,None,None,3
right,24,green,forward,-0.5,6,None,None,None,3
right,23,red,left,-0.5,7,None,None,None,3
left,22,red,right,-1.0,8,None,None,None,3
right,21,green,right,2.0,9,None,None,None,3
right,20,green,right,2.0,10,None,None,None,3
None,19,red,forward,0.0,11,right,None,None,3
right,18,red,forward,-0.5,12,None,None,None,3
