action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,45,green,forward,-0.5,0,None,None,None,1
forward,44,green,right,-0.5,1,None,None,None,1
right,43,green,right,2.0,2,None,None,None,1
right,42,green,forward,-0.5,3,None,None,None,1
left,41,green,left,2.0,4,None,None,None,1
right,40,green,forward,-0.5,5,None,None,None,1
forward,39,red,left,-1.0,6,None,None,None,1
right,38,red,left,-0.5,7,None,None,None,1
forward,37,green,right,-0.5,8,None,None,None,1
None,36,red,right,0.0,9,None,None,None,1
forward,35,green,right,-0.5,10,None,None,None,1
forward,34,green,right,-0.5,11,None,None,None,1
forward,33,green,right,-0.5,12,None,None,None,1
left,32,red,right,-1.0,13,None,None,None,1
right,31,red,right,2.0,14,None,None,None,1
forward,30,red,right,-1.0,15,None,None,None,1
left,29,red,right,-1.0,16,None,None,None,1
left,28,red,right,-1.0,17,None,None,None,1
left,27,red,right,-1.0,18,None,None,None,1
left,26,red,right,-1.0,19,None,None,None,1
forward,25,green,right,-0.5,20,None,None,None,1
forward,24,green,right,-0.5,21,None,None,None,1
forward,23,green,right,-0.5,22,None,None,None,1
forward,22,green,right,-0.5,23,None,None,None,1
left,21,red,right,-1.0,24,None,None,None,1
forward,20,green,right,-0.5,25,None,None,None,1
left,19,red,right,-1.0,26,None,None,None,1
left,18,red,right,-1.0,27,None,None,None,1
forward,17,green,right,-0.5,28,None,None,None,1
None,16,red,right,0.0,29,None,forward,None,1
forward,15,green,right,-0.5,30,None,None,None,1
left,14,green,right,-0.5,31,forward,None,None,1
forward,13,green,right,-0.5,32,None,None,None,1
left,12,red,right,-1.0,33,None,None,None,1
left,11,red,right,-1.0,34,None,None,None,1
left,10,red,right,-1.0,35,None,None,None,1
forward,9,green,right,-0.5,36,None,None,None,1
left,8,red,right,-1.0,37,None,None,None,1
left,7,red,right,-1.0,38,None,None,None,1
forward,6,green,right,-0.5,39,None,None,None,1
forward,5,green,right,-0.5,40,None,None,None,1
left,4,red,right,-1.0,41,None,None,None,1
left,3,red,right,-1.0,42,None,None,None,1
left,2,red,right,-1.0,43,None,None,None,1
left,1,red,right,-1.0,44,None,None,None,1
forward,0,green,right,9.5,45,None,None,None,1
right,30,green,forward,-0.5,0,None,None,None,2
None,29,green,left,0.0,1,None,None,None,2
forward,28,green,left,-0.5,2,None,None,None,2
None,27,red,left,0.0,3,None,None,None,2
left,26,red,left,-1.0,4,None,None,None,2
right,25,green,left,-0.5,5,None,None,None,2
left,24,red,right,-1.0,6,right,left,None,2
right,23,red,right,2.0,7,None,left,None,2
forward,22,green,right,-0.5,8,None,None,None,2
left,21,red,right,-1.0,9,None,None,None,2
forward,20,green,right,-0.5,10,None,None,None,2
forward,19,green,right,-0.5,11,None,None,None,2
left,18,red,right,-1.0,12,None,None,None,2
left,17,red,right,-1.0,13,None,None,None,2
left,16,red,right,-1.0,14,None,None,None,2
forward,15,green,right,-0.5,15,None,None,None,2
left,14,red,right,-1.0,16,None,None,None,2
left,13,red,right,-1.0,17,None,None,None,2
left,12,red,right,-1.0,18,None,None,None,2
left,11,red,right,-1.0,19,None,None,None,2
forward,10,green,right,-0.5,20,None,None,None,2
forward,9,green,right,-0.5,21,None,None,None,2
left,8,red,right,-1.0,22,None,None,None,2
left,7,red,right,-1.0,23,None,None,None,2
left,6,red,right,-1.0,24,None,None,None,2
forward,5,green,right,-0.5,25,None,None,None,2
left,4,red,right,-1.0,26,None,None,None,2
left,3,red,right,-1.0,27,None,None,None,2
left,2,red,right,-1.0,28,None,None,None,2
left,1,red,right,-1.0,29,None,None,None,2
forward,0,green,right,-0.5,30,None,None,None,2
forward,60,red,forward,-1.0,0,None,forward,None,3
None,59,red,forward,0.0,1,None,forward,None,3
left,58,red,forward,-1.0,2,None,forward,None,3
forward,57,red,forward,-1.0,3,None,forward,None,3
right,56,red,forward,-0.5,4,None,forward,None,3
forward,55,green,left,-0.5,5,None,None,None,3
left,54,red,left,-1.0,6,None,None,None,3
forward,53,red,left,-1.0,7,None,None,None,3
forward,52,red,left,-1.0,8,None,None,None,3
forward,51,green,left,-0.5,9,None,None,None,3
forward,50,green,left,-0.5,10,None,None,None,3
forward,49,green,left,-0.5,11,None,None,None,3
forward,48,green,left,-0.5,12,None,None,None,3
forward,47,green,left,-0.5,13,None,None,None,3
forward,46,green,left,-0.5,14,None,None,None,3
forward,45,green,left,-0.5,15,None,None,None,3
forward,44,green,left,-0.5,16,None,None,None,3
forward,43,green,left,-0.5,17,None,None,None,3
right,42,red,left,9.5,18,None,None,None,3
right,25,red,right,2.0,0,None,forward,None,4
left,24,red,right,-1.0,1,None,None,None,4
left,23,red,right,-1.0,2,None,None,None,4
left,22,red,right,-1.0,3,None,None,None,4
left,21,red,right,-1.0,4,None,None,None,4
forward,20,green,right,-0.5,5,None,None,None,4
left,19,red,right,-1.0,6,None,None,None,4
left,18,red,right,-1.0,7,None,None,None,4
left,17,red,right,-1.0,8,None,None,None,4
forward,16,green,right,-0.5,9,None,None,None,4
forward,15,green,right,-0.5,10,None,None,None,4
left,14,red,right,-1.0,11,None,None,None,4
left,13,red,right,-1.0,12,None,None,None,4
left,12,red,right,-1.0,13,None,None,None,4
left,11,red,right,-1.0,14,None,None,None,4
forward,10,green,right,-0.5,15,None,None,None,4
forward,9,green,right,-0.5,16,None,None,None,4
left,8,red,right,-1.0,17,None,None,None,4
left,7,red,right,-1.0,18,None,None,None,4
left,6,red,right,-1.0,19,None,None,None,4
forward,5,green,right,-0.5,20,None,None,None,4
left,4,red,right,-1.0,21,None,None,None,4
left,3,red,right,-1.0,22,None,None,None,4
left,2,red,right,-1.0,23,None,None,None,4
left,1,red,right,-1.0,24,None,None,None,4
forward,0,green,right,-0.5,25,None,None,None,4
left,30,red,right,-1.0,0,None,None,None,5
left,29,red,right,-1.0,1,None,None,None,5
