action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,40,green,forward,-0.5,0,None,None,None,1
None,39,red,right,0.0,1,None,None,None,1
None,38,red,right,0.0,2,None,None,None,1
left,37,red,right,-1.0,3,None,None,None,1
right,36,red,right,2.0,4,None,None,None,1
None,35,red,forward,0.0,5,None,None,None,1
forward,34,green,forward,2.0,6,None,None,None,1
left,33,green,forward,-0.5,7,None,None,None,1
left,32,red,right,-1.0,8,None,None,None,1
left,31,red,right,-1.0,9,None,None,None,1
left,30,red,right,-1.0,10,None,None,None,1
left,29,red,right,-1.0,11,None,None,None,1
right,28,green,right,2.0,12,None,None,None,1
right,27,green,forward,-0.5,13,None,None,None,1
left,26,green,left,2.0,14,None,None,None,1
None,25,red,forward,0.0,15,None,None,None,1
None,24,red,forward,0.0,16,None,None,None,1
None,23,red,forward,0.0,17,None,None,None,1
right,22,green,forward,-0.5,18,None,None,None,1
None,21,green,left,0.0,19,None,None,None,1
None,20,red,left,0.0,20,None,None,None,1
forward,19,red,left,-1.0,21,None,None,None,1
right,18,red,left,-0.5,22,None,None,None,1
left,17,green,right,-0.5,23,None,None,None,1
left,16,red,left,-1.0,24,None,None,None,1
left,15,red,left,-1.0,25,None,None,None,1
forward,14,red,left,-1.0,26,None,None,None,1
right,13,red,left,-0.5,27,None,None,None,1
None,12,green,right,0.0,28,None,None,None,1
None,11,green,right,0.0,29,None,None,None,1
left,10,red,right,-1.0,30,None,None,None,1
left,9,red,right,-1.0,31,None,None,None,1
left,8,red,right,-1.0,32,None,None,None,1
left,7,red,right,-1.0,33,None,None,None,1
left,6,red,right,-1.0,34,None,None,None,1
forward,5,green,right,-0.5,35,None,None,None,1
forward,4,green,right,-0.5,36,None,None,None,1
None,3,green,right,0.0,37,None,None,None,1
None,2,green,right,0.0,38,None,None,None,1
left,1,red,right,-1.0,39,None,None,right,1
left,0,red,right,-1.0,40,None,None,None,1
None,45,green,right,0.0,0,None,None,None,2
