action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,35,green,forward,0.0,0,None,None,None,1
left,34,green,forward,-0.5,1,None,None,None,1
left,33,green,right,-0.5,2,None,None,None,1
forward,32,green,forward,2.0,3,None,None,None,1
left,31,red,forward,-1.0,4,None,None,None,1
right,30,red,forward,-0.5,5,None,None,None,1
forward,29,green,left,-0.5,6,None,None,None,1
None,28,red,left,0.0,7,None,None,None,1
forward,27,green,left,-0.5,8,None,None,None,1
left,26,red,left,-1.0,9,None,None,None,1
left,25,red,left,-1.0,10,None,None,None,1
right,24,red,left,-0.5,11,None,None,None,1
left,23,red,right,-1.0,12,None,None,None,1
left,22,red,right,-1.0,13,None,None,None,1
None,21,red,right,0.0,14,None,None,None,1
left,20,green,right,-0.5,15,None,None,None,1
None,19,green,left,0.0,16,None,None,None,1
None,18,green,left,0.0,17,None,None,None,1
None,17,green,left,0.0,18,None,None,None,1
right,16,green,left,-0.5,19,None,None,None,1
None,15,red,forward,0.0,20,None,None,None,1
forward,14,red,forward,-1.0,21,None,None,None,1
forward,13,red,forward,-1.0,22,None,None,None,1
left,12,red,forward,-1.0,23,None,None,None,1
right,11,green,forward,-0.5,24,None,None,None,1
right,10,green,left,-0.5,25,None,None,None,1
right,9,green,forward,-0.5,26,left,None,None,1
left,8,green,left,2.0,27,None,None,None,1
left,7,red,forward,-1.0,28,None,None,None,1
left,6,red,forward,-1.0,29,None,None,None,1
None,5,green,forward,0.0,30,None,None,None,1
left,4,green,forward,-0.5,31,None,None,None,1
right,3,green,right,2.0,32,forward,None,None,1
left,2,red,forward,-1.0,33,None,forward,None,1
left,1,red,forward,-1.0,34,None,forward,None,1
left,0,green,forward,-0.5,35,None,None,None,1
forward,25,red,right,-1.0,0,None,None,None,2
right,24,red,right,2.0,1,None,None,None,2
None,23,green,left,0.0,2,None,None,None,2
None,22,green,left,0.0,3,None,None,None,2
forward,21,red,left,-1.0,4,None,None,None,2
forward,20,red,left,-1.0,5,None,None,None,2
None,19,red,left,0.0,6,None,None,None,2
None,18,red,left,0.0,7,None,None,None,2
right,17,green,left,-0.5,8,None,None,None,2
forward,16,red,right,-1.0,9,None,None,None,2
left,15,green,right,-0.5,10,None,None,None,2
forward,14,red,right,-1.0,11,None,None,None,2
left,13,green,right,-0.5,12,None,None,None,2
right,12,green,left,-0.5,13,None,right,None,2
forward,11,green,right,-0.5,14,None,None,None,2
right,10,green,right,2.0,15,None,None,None,2
right,9,red,right,2.0,16,None,None,None,2
right,8,red,forward,-0.5,17,None,None,None,2
forward,7,red,left,-1.0,18,None,None,None,2
forward,6,red,left,-1.0,19,None,None,None,2
left,5,red,left,-1.0,20,None,None,None,2
right,4,green,left,-0.5,21,None,None,None,2
right,3,green,right,2.0,22,None,None,None,2
right,2,green,right,2.0,23,None,None,None,2
left,1,red,forward,-1.0,24,None,None,None,2
left,0,red,forward,-1.0,25,None,None,None,2
forward,25,red,right,-1.0,0,None,None,None,3
forward,24,red,right,-1.0,1,None,None,None,3
left,23,red,right,-1.0,2,None,None,None,3
left,22,red,right,-1.0,3,None,None,None,3
None,21,red,right,0.0,4,None,None,None,3
forward,20,green,right,-0.5,5,None,None,None,3
right,19,green,right,2.0,6,None,left,None,3
None,18,red,right,0.0,7,None,None,None,3
forward,17,green,right,-0.5,8,None,None,None,3
forward,16,green,right,-0.5,9,None,None,None,3
None,15,red,right,0.0,10,None,None,None,3
None,14,red,right,0.0,11,None,None,None,3
forward,13,green,right,-0.5,12,None,None,None,3
None,12,red,right,0.0,13,None,None,None,3
None,11,red,right,0.0,14,None,None,None,3
forward,10,green,right,-0.5,15,None,None,None,3
None,9,red,right,0.0,16,None,None,None,3
None,8,red,right,0.0,17,None,None,None,3
forward,7,green,right,-0.5,18,None,None,None,3
None,6,red,right,0.0,19,None,None,None,3
None,5,red,right,0.0,20,None,None,None,3
forward,4,green,right,-0.5,21,None,None,None,3
None,3,red,right,0.0,22,None,None,None,3
None,2,red,right,0.0,23,None,None,None,3
forward,1,green,right,-0.5,24,None,None,None,3
forward,0,green,right,-0.5,25,None,None,None,3
right,40,green,left,-0.5,0,None,None,None,4
None,39,red,forward,0.0,1,None,None,None,4
None,38,red,forward,0.0,2,None,None,None,4
left,37,green,forward,-0.5,3,None,None,None,4
None,36,red,right,0.0,4,None,None,None,4
forward,35,green,right,-0.5,5,None,None,None,4
None,34,red,right,0.0,6,None,None,None,4
None,33,red,right,0.0,7,None,None,None,4
None,32,red,right,0.0,8,None,None,None,4
None,31,red,right,0.0,9,None,None,None,4
forward,30,green,right,-0.5,10,None,None,None,4
None,29,red,right,0.0,11,None,None,None,4
None,28,green,right,0.0,12,forward,None,None,4
None,27,green,right,0.0,13,forward,None,None,4
None,26,green,right,0.0,14,forward,None,None,4
None,25,red,right,0.0,15,None,None,None,4
None,24,red,right,0.0,16,None,None,None,4
None,23,red,right,0.0,17,None,None,None,4
forward,22,green,right,-0.5,18,None,None,None,4
None,21,red,right,0.0,19,None,None,None,4
forward,20,green,right,-0.5,20,None,None,None,4
None,19,red,right,0.0,21,None,None,None,4
None,18,red,right,0.0,22,None,None,None,4
None,17,red,right,0.0,23,None,None,None,4
None,16,red,right,0.0,24,None,None,None,4
forward,15,green,right,-0.5,25,None,None,None,4
forward,14,green,right,-0.5,26,None,left,None,4
None,13,green,right,0.0,27,None,None,None,4
None,12,green,right,0.0,28,None,None,None,4
None,11,green,right,0.0,29,None,None,None,4
None,10,red,right,0.0,30,None,None,None,4
None,9,red,right,0.0,31,None,None,None,4
None,8,red,right,0.0,32,None,None,None,4
None,7,red,right,0.0,33,None,None,None,4
None,6,red,right,0.0,34,None,None,None,4
right,5,green,right,2.0,35,None,None,None,4
right,4,green,right,2.0,36,None,None,None,4
None,3,red,forward,0.0,37,None,None,None,4
None,2,red,forward,0.0,38,None,None,None,4
None,1,red,forward,0.0,39,None,None,None,4
left,0,green,forward,-0.5,40,None,None,None,4
right,30,green,left,-0.5,0,None,None,None,5
right,29,green,right,2.0,1,None,None,None,5
None,28,red,right,0.0,2,None,None,None,5
right,27,green,right,2.0,3,None,None,None,5
None,26,red,forward,0.0,4,None,None,None,5
left,25,green,forward,-0.5,5,None,None,None,5
None,24,red,right,0.0,6,None,None,None,5
None,23,red,right,0.0,7,None,None,None,5
None,22,green,right,0.0,8,None,None,None,5
None,21,green,right,0.0,9,None,None,None,5
None,20,green,right,0.0,10,None,None,None,5
None,19,green,right,0.0,11,None,None,None,5
None,18,red,right,0.0,12,None,None,None,5
None,17,red,right,0.0,13,None,None,None,5
None,16,red,right,0.0,14,None,None,None,5
None,15,red,right,0.0,15,None,None,None,5
None,14,green,right,0.0,16,None,None,None,5
None,13,green,right,0.0,17,None,None,None,5
None,12,green,right,0.0,18,None,None,None,5
None,11,green,right,0.0,19,None,None,None,5
None,10,red,right,0.0,20,None,None,None,5
None,9,red,right,0.0,21,None,None,None,5
None,8,red,right,0.0,22,None,None,None,5
None,7,red,right,0.0,23,None,None,None,5
None,6,green,right,0.0,24,None,None,right,5
None,5,green,right,0.0,25,None,None,None,5
None,4,green,right,0.0,26,None,None,None,5
None,3,green,right,0.0,27,None,None,None,5
None,2,red,right,0.0,28,None,None,None,5
None,1,red,right,0.0,29,None,None,None,5
None,0,red,right,0.0,30,None,None,None,5
None,20,green,right,0.0,0,None,None,None,6
right,19,green,right,2.0,1,right,None,None,6
None,18,red,forward,0.0,2,None,None,None,6
left,17,green,forward,-0.5,3,None,None,None,6
None,16,red,right,0.0,4,None,None,None,6
None,15,green,right,0.0,5,None,None,None,6
None,14,green,right,0.0,6,None,None,None,6
None,13,green,right,0.0,7,None,None,None,6
None,12,green,right,0.0,8,None,None,None,6
None,11,green,right,0.0,9,None,None,None,6
None,10,red,right,0.0,10,None,None,None,6
None,9,red,right,0.0,11,None,None,None,6
None,8,red,right,0.0,12,None,None,None,6
None,7,red,right,0.0,13,None,None,None,6
None,6,red,right,0.0,14,None,None,None,6
None,5,green,right,0.0,15,None,None,None,6
None,4,green,right,0.0,16,None,None,None,6
None,3,green,right,0.0,17,None,None,None,6
None,2,green,right,0.0,18,None,None,None,6
None,1,green,right,0.0,19,None,None,None,6
None,0,red,right,0.0,20,None,None,None,6
None,55,green,right,0.0,0,None,None,None,7
None,54,green,right,0.0,1,None,None,None,7
None,53,green,right,0.0,2,None,None,None,7
None,52,green,right,0.0,3,None,None,None,7
None,51,red,right,0.0,4,None,None,None,7
None,50,red,right,0.0,5,None,None,None,7
None,49,red,right,0.0,6,None,None,None,7
None,48,red,right,0.0,7,None,None,None,7
None,47,green,right,0.0,8,None,None,None,7
None,46,green,right,0.0,9,None,None,None,7
None,45,green,right,0.0,10,None,None,None,7
None,44,green,right,0.0,11,None,None,None,7
None,43,red,right,0.0,12,None,None,None,7
None,42,red,right,0.0,13,None,None,None,7
None,41,red,right,0.0,14,None,None,None,7
None,40,red,right,0.0,15,None,None,None,7
None,39,green,right,0.0,16,None,None,None,7
None,38,green,right,0.0,17,None,None,None,7
None,37,green,right,0.0,18,None,None,None,7
None,36,green,right,0.0,19,None,None,None,7
None,35,red,right,0.0,20,None,None,None,7
None,34,red,right,0.0,21,None,None,None,7
None,33,red,right,0.0,22,None,None,None,7
None,32,red,right,0.0,23,None,None,None,7
None,31,green,right,0.0,24,None,None,None,7
None,30,green,right,0.0,25,None,None,None,7
None,29,green,right,0.0,26,None,None,None,7
None,28,green,right,0.0,27,None,None,None,7
None,27,red,right,0.0,28,None,None,None,7
None,26,red,right,0.0,29,None,None,None,7
None,25,red,right,0.0,30,None,None,None,7
None,24,red,right,0.0,31,None,None,None,7
None,23,green,right,0.0,32,None,None,None,7
None,22,green,right,0.0,33,None,None,None,7
None,21,green,right,0.0,34,None,None,None,7
None,20,green,right,0.0,35,None,None,None,7
None,19,red,right,0.0,36,None,None,None,7
None,18,red,right,0.0,37,None,None,None,7
None,17,red,right,0.0,38,None,None,None,7
None,16,red,right,0.0,39,None,None,None,7
None,15,green,right,0.0,40,None,None,None,7
None,14,green,right,0.0,41,None,None,None,7
None,13,green,right,0.0,42,None,None,None,7
None,12,green,right,0.0,43,None,None,None,7
None,11,red,right,0.0,44,None,None,None,7
None,10,red,right,0.0,45,None,None,None,7
None,9,red,right,0.0,46,None,None,None,7
None,8,red,right,0.0,47,None,None,None,7
None,7,green,right,0.0,48,None,None,None,7
None,6,green,right,0.0,49,None,None,None,7
None,5,green,right,0.0,50,None,None,None,7
None,4,green,right,0.0,51,None,None,None,7
None,3,red,right,0.0,52,None,None,None,7
None,2,red,right,0.0,53,None,None,None,7
None,1,red,right,0.0,54,None,None,None,7
None,0,red,right,0.0,55,None,None,None,7
None,25,green,right,0.0,0,None,None,None,8
None,24,green,right,0.0,1,None,None,None,8
None,23,green,right,0.0,2,None,None,None,8
None,22,green,right,0.0,3,None,None,None,8
None,21,red,right,0.0,4,None,None,None,8
None,20,red,right,0.0,5,left,None,None,8
None,19,red,right,0.0,6,None,None,None,8
None,18,red,right,0.0,7,None,None,None,8
None,17,green,right,0.0,8,None,None,None,8
None,16,green,right,0.0,9,None,None,None,8
None,15,green,right,0.0,10,None,None,None,8
None,14,green,right,0.0,11,None,None,None,8
right,13,red,right,2.0,12,right,None,None,8
None,12,red,right,0.0,13,None,None,None,8
None,11,red,right,0.0,14,None,None,None,8
None,10,green,right,0.0,15,None,None,None,8
None,9,green,right,0.0,16,None,None,None,8
None,8,green,right,0.0,17,None,None,None,8
None,7,green,right,0.0,18,None,None,None,8
None,6,green,right,0.0,19,None,None,None,8
None,5,red,right,0.0,20,None,None,None,8
None,4,red,right,0.0,21,None,None,None,8
None,3,red,right,0.0,22,None,None,None,8
None,2,red,right,0.0,23,None,None,None,8
None,1,red,right,0.0,24,None,None,None,8
None,0,green,right,0.0,25,None,None,None,8
left,30,green,forward,-0.5,0,None,None,None,9
None,29,red,right,0.0,1,None,None,None,9
None,28,red,right,0.0,2,None,None,None,9
None,27,green,right,0.0,3,None,None,None,9
None,26,green,right,0.0,4,None,None,None,9
None,25,green,right,0.0,5,None,None,None,9
None,24,red,right,0.0,6,None,None,None,9
None,23,red,right,0.0,7,None,None,None,9
None,22,red,right,0.0,8,None,None,None,9
None,21,green,right,0.0,9,None,None,None,9
None,20,green,right,0.0,10,None,None,None,9
None,19,green,right,0.0,11,None,None,None,9
None,18,red,right,0.0,12,None,None,None,9
None,17,red,right,0.0,13,None,None,None,9
None,16,red,right,0.0,14,None,None,None,9
None,15,green,right,0.0,15,None,None,None,9
None,14,green,right,0.0,16,None,None,None,9
None,13,green,right,0.0,17,None,None,None,9
None,12,red,right,0.0,18,None,None,None,9
None,11,red,right,0.0,19,None,None,None,9
None,10,red,right,0.0,20,None,None,None,9
None,9,green,right,0.0,21,None,None,None,9
None,8,green,right,0.0,22,None,None,None,9
None,7,green,right,0.0,23,None,None,None,9
None,6,red,right,0.0,24,None,None,None,9
None,5,red,right,0.0,25,None,None,None,9
None,4,red,right,0.0,26,None,None,None,9
None,3,green,right,0.0,27,None,None,None,9
None,2,green,right,0.0,28,None,None,None,9
None,1,green,right,0.0,29,None,None,None,9
None,0,red,right,0.0,30,None,None,None,9
None,20,green,right,0.0,0,None,None,None,10
None,19,green,right,0.0,1,None,None,None,10
None,18,green,right,0.0,2,None,None,None,10
None,17,red,right,0.0,3,None,None,None,10
None,16,red,right,0.0,4,None,None,None,10
None,15,red,right,0.0,5,None,None,None,10
None,14,green,right,0.0,6,None,None,None,10
None,13,green,right,0.0,7,None,None,None,10
None,12,green,right,0.0,8,None,None,None,10
None,11,red,right,0.0,9,None,None,None,10
None,10,red,right,0.0,10,None,None,None,10
None,9,red,right,0.0,11,None,None,None,10
None,8,green,right,0.0,12,None,None,None,10
None,7,green,right,0.0,13,None,None,None,10
None,6,green,right,0.0,14,None,None,None,10
None,5,red,right,0.0,15,None,None,None,10
left,4,red,right,-1.0,16,None,left,None,10
None,3,red,right,0.0,17,None,left,None,10
right,2,green,right,2.0,18,None,left,None,10
left,1,red,left,-1.0,19,None,None,None,10
right,0,green,left,-0.5,20,None,None,None,10
left,35,green,forward,-0.5,0,None,None,None,11
None,34,green,right,0.0,1,None,None,None,11
None,33,green,right,0.0,2,None,None,None,11
None,32,red,right,0.0,3,None,None,None,11
None,31,red,right,0.0,4,None,None,None,11
None,30,red,right,0.0,5,None,None,None,11
