action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,25,green,right,-0.5,0,None,None,None,1
None,24,red,right,0.0,1,None,None,None,1
None,23,red,right,0.0,2,None,None,None,1
left,22,green,right,-0.5,3,None,None,None,1
forward,21,red,left,-1.0,4,None,None,None,1
forward,20,red,left,-1.0,5,None,None,None,1
right,19,red,left,-0.5,6,None,None,None,1
right,18,red,right,2.0,7,None,None,None,1
right,17,red,right,2.0,8,None,None,None,1
right,16,green,forward,-0.5,9,None,None,None,1
left,15,green,left,2.0,10,None,None,None,1
right,14,green,right,2.0,11,left,None,None,1
right,13,green,forward,-0.5,12,None,None,None,1
None,12,green,right,0.0,13,None,None,None,1
None,11,green,right,0.0,14,None,None,None,1
forward,10,red,right,-1.0,15,None,None,None,1
forward,9,red,right,-1.0,16,None,None,None,1
left,8,red,right,-1.0,17,None,None,None,1
left,7,red,right,-1.0,18,None,None,None,1
right,6,red,right,2.0,19,None,None,None,1
left,5,red,right,-1.0,20,None,None,None,1
left,4,red,right,-1.0,21,None,None,None,1
left,3,red,right,-1.0,22,None,None,None,1
right,2,red,right,2.0,23,None,None,None,1
forward,1,green,right,-0.5,24,None,None,None,1
left,0,red,right,-1.0,25,None,None,None,1
right,35,green,forward,-0.5,0,None,None,None,2
right,34,red,left,-0.5,1,None,None,None,2
left,33,red,right,-1.0,2,None,None,None,2
left,32,red,right,-1.0,3,None,None,None,2
right,31,red,right,2.0,4,None,None,None,2
right,30,green,right,2.0,5,None,None,None,2
right,29,red,forward,-0.5,6,None,None,None,2
left,28,green,left,2.0,7,None,None,None,2
right,27,green,forward,-0.5,8,None,None,None,2
left,26,green,left,2.0,9,None,None,None,2
right,25,green,forward,-0.5,10,None,None,None,2
left,24,red,left,-1.0,11,None,None,None,2
left,23,green,left,2.0,12,None,None,None,2
right,22,red,forward,-0.5,13,None,None,None,2
left,21,red,left,-1.0,14,None,None,None,2
forward,20,red,left,-1.0,15,None,None,None,2
left,19,green,left,2.0,16,None,None,None,2
right,18,green,forward,-0.5,17,left,None,None,2
forward,17,red,left,-1.0,18,None,None,None,2
forward,16,red,left,-1.0,19,None,None,None,2
None,15,green,left,0.0,20,None,None,None,2
None,14,green,left,0.0,21,None,None,None,2
forward,13,green,left,-0.5,22,None,None,None,2
left,12,red,left,-1.0,23,None,None,None,2
right,11,green,left,-0.5,24,None,None,None,2
right,10,green,right,2.0,25,None,None,None,2
left,9,red,right,-1.0,26,right,None,None,2
right,8,red,right,2.0,27,None,None,None,2
right,7,red,forward,-0.5,28,None,None,None,2
forward,6,red,left,-1.0,29,None,None,None,2
forward,5,red,left,-1.0,30,None,None,None,2
None,4,red,left,0.0,31,None,None,None,2
right,3,green,left,-0.5,32,None,None,None,2
left,2,red,right,-1.0,33,None,None,None,2
left,1,red,right,-1.0,34,None,None,None,2
right,0,red,right,2.0,35,None,None,None,2
forward,30,red,forward,-1.0,0,None,None,None,3
None,29,red,forward,0.0,1,None,None,None,3
left,28,red,forward,-1.0,2,None,None,None,3
None,27,green,forward,0.0,3,None,None,None,3
forward,26,green,forward,2.0,4,None,None,None,3
left,25,red,right,-1.0,5,None,None,None,3
left,24,red,right,-1.0,6,None,None,None,3
left,23,red,right,-1.0,7,None,None,None,3
right,22,green,right,2.0,8,None,left,None,3
None,21,green,forward,0.0,9,None,None,None,3
forward,20,red,forward,-1.0,10,None,None,None,3
left,19,red,forward,-1.0,11,None,None,None,3
left,18,red,forward,-1.0,12,None,None,None,3
right,17,red,forward,-0.5,13,None,None,None,3
left,16,red,right,-1.0,14,None,None,None,3
left,15,red,right,-1.0,15,None,None,None,3
None,14,green,right,0.0,16,None,None,None,3
None,13,green,right,0.0,17,None,None,None,3
None,12,green,right,0.0,18,None,None,None,3
None,11,green,right,0.0,19,None,None,None,3
None,10,red,right,0.0,20,None,None,None,3
None,9,red,right,0.0,21,None,None,None,3
None,8,red,right,0.0,22,None,None,None,3
None,7,red,right,0.0,23,None,None,None,3
None,6,green,right,0.0,24,None,None,None,3
None,5,green,right,0.0,25,None,None,None,3
None,4,green,right,0.0,26,None,None,None,3
None,3,green,right,0.0,27,None,None,None,3
None,2,red,right,0.0,28,None,None,None,3
None,1,red,right,0.0,29,None,None,None,3
None,0,red,right,0.0,30,None,None,None,3
None,30,red,right,0.0,0,None,None,None,4
None,29,red,right,0.0,1,None,None,None,4
None,28,red,right,0.0,2,None,None,None,4
None,27,red,right,0.0,3,None,None,None,4
None,26,red,right,0.0,4,None,None,None,4
None,25,green,right,0.0,5,None,None,left,4
None,24,green,right,0.0,6,None,None,left,4
None,23,green,right,0.0,7,None,None,left,4
None,22,green,right,0.0,8,None,None,left,4
None,21,green,right,0.0,9,None,None,left,4
None,20,red,right,0.0,10,None,None,None,4
None,19,red,right,0.0,11,None,None,None,4
None,18,red,right,0.0,12,None,None,None,4
None,17,red,right,0.0,13,None,None,None,4
None,16,red,right,0.0,14,None,None,None,4
None,15,green,right,0.0,15,None,None,None,4
None,14,green,right,0.0,16,None,None,None,4
None,13,green,right,0.0,17,None,None,None,4
