action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
right,30,red,forward,-0.5,0,None,None,None,1
None,29,red,left,0.0,1,None,None,None,1
None,28,red,left,0.0,2,None,None,None,1
None,27,red,left,0.0,3,None,None,None,1
forward,26,green,left,-0.5,4,None,None,None,1
left,25,green,left,2.0,5,None,None,None,1
right,24,green,right,2.0,6,None,None,None,1
forward,23,green,forward,2.0,7,None,None,None,1
right,22,green,forward,-0.5,8,None,None,None,1
None,21,red,right,0.0,9,None,None,None,1
forward,20,red,right,-1.0,10,None,None,None,1
right,19,red,right,2.0,11,None,None,None,1
right,18,green,right,2.0,12,None,None,None,1
right,17,green,right,2.0,13,None,None,None,1
right,16,red,forward,-0.5,14,None,None,None,1
right,15,green,right,2.0,15,None,None,None,1
right,14,red,right,2.0,16,None,None,None,1
forward,13,red,right,-1.0,17,None,None,None,1
forward,12,red,right,-1.0,18,None,None,None,1
right,11,red,right,2.0,19,None,None,None,1
right,10,red,forward,-0.5,20,None,None,None,1
right,9,green,right,2.0,21,None,None,None,1
right,8,green,right,2.0,22,None,None,None,1
right,7,green,right,2.0,23,None,None,None,1
right,6,red,forward,-0.5,24,None,None,None,1
forward,5,red,right,-1.0,25,None,None,None,1
forward,4,red,right,-1.0,26,None,None,None,1
forward,3,red,right,-1.0,27,None,None,None,1
right,2,green,right,2.0,28,None,None,None,1
forward,1,red,right,-1.0,29,None,None,None,1
right,0,green,right,2.0,30,None,None,None,1
right,25,green,right,2.0,0,None,None,None,2
right,24,green,right,2.0,1,None,None,None,2
right,23,green,forward,-0.5,2,None,None,None,2
right,22,red,left,-0.5,3,None,None,None,2
right,21,green,right,2.0,4,None,None,None,2
forward,20,red,right,-1.0,5,None,None,None,2
right,19,green,right,2.0,6,None,None,None,2
left,18,green,forward,-0.5,7,None,None,None,2
forward,17,red,right,-1.0,8,None,None,None,2
forward,16,red,right,-1.0,9,None,None,None,2
forward,15,red,right,-1.0,10,None,None,None,2
forward,14,red,right,-1.0,11,None,None,None,2
right,13,green,right,2.0,12,None,None,None,2
None,12,green,forward,0.0,13,None,None,None,2
None,11,green,forward,0.0,14,None,None,None,2
right,10,red,forward,-0.5,15,None,None,None,2
forward,9,green,left,-0.5,16,None,None,None,2
forward,8,green,left,-0.5,17,None,None,None,2
right,7,red,left,-0.5,18,None,None,None,2
right,6,green,right,2.0,19,None,None,None,2
right,5,green,right,2.0,20,None,None,None,2
None,4,green,forward,0.0,21,None,None,None,2
None,3,green,forward,0.0,22,None,None,None,2
None,2,green,forward,0.0,23,None,None,None,2
None,1,green,forward,0.0,24,None,None,None,2
right,0,red,forward,-0.5,25,None,None,None,2
forward,20,red,right,-1.0,0,None,None,None,3
forward,19,red,right,-1.0,1,None,None,None,3
right,18,red,right,2.0,2,None,None,None,3
right,17,red,forward,-0.5,3,None,None,None,3
right,16,red,left,-0.5,4,None,None,None,3
forward,15,red,right,-1.0,5,None,None,None,3
forward,14,red,right,-1.0,6,None,None,None,3
forward,13,red,right,-1.0,7,None,None,None,3
right,12,red,right,2.0,8,None,None,None,3
forward,11,red,right,-1.0,9,None,None,None,3
forward,10,red,right,-1.0,10,None,None,None,3
forward,9,red,right,-1.0,11,None,None,None,3
right,8,green,right,2.0,12,None,None,None,3
right,7,red,forward,-0.5,13,None,None,None,3
right,6,red,left,-0.5,14,None,None,None,3
forward,5,red,right,-1.0,15,None,None,None,3
forward,4,red,right,-1.0,16,None,None,None,3
forward,3,red,right,-1.0,17,None,None,None,3
right,2,red,right,2.0,18,None,None,None,3
forward,1,red,right,-1.0,19,None,None,None,3
right,0,green,right,2.0,20,None,None,None,3
None,40,green,forward,0.0,0,None,None,None,4
None,39,green,forward,0.0,1,None,None,None,4
None,38,green,forward,0.0,2,None,None,None,4
None,37,green,forward,0.0,3,None,None,None,4
None,36,green,forward,0.0,4,None,None,None,4
right,35,red,forward,-0.5,5,None,None,None,4
right,34,red,left,-0.5,6,None,None,None,4
right,33,green,right,2.0,7,None,left,None,4
forward,32,red,right,-1.0,8,None,None,None,4
forward,31,red,right,-1.0,9,None,None,None,4
right,30,green,right,2.0,10,None,None,None,4
None,29,green,forward,0.0,11,None,None,None,4
None,28,green,forward,0.0,12,None,None,None,4
None,27,green,forward,0.0,13,None,None,None,4
None,26,green,forward,0.0,14,None,None,None,4
right,25,red,forward,-0.5,15,None,None,None,4
left,24,green,left,2.0,16,None,None,None,4
None,23,green,forward,0.0,17,None,None,None,4
right,22,red,forward,-0.5,18,None,None,None,4
forward,21,green,left,-0.5,19,None,None,None,4
right,20,red,left,-0.5,20,None,None,None,4
forward,19,red,right,-1.0,21,None,None,None,4
forward,18,red,right,-1.0,22,None,None,None,4
forward,17,red,right,-1.0,23,None,None,None,4
right,16,green,right,2.0,24,None,None,None,4
right,15,green,right,2.0,25,None,None,None,4
right,14,red,forward,-0.5,26,None,forward,None,4
left,13,green,left,2.0,27,None,None,None,4
right,12,red,forward,-0.5,28,None,None,forward,4
right,11,red,left,-0.5,29,None,None,None,4
right,10,green,right,2.0,30,None,None,None,4
forward,9,red,right,-1.0,31,None,None,None,4
forward,8,red,right,-1.0,32,None,None,None,4
right,7,green,right,2.0,33,None,None,None,4
right,6,red,forward,-0.5,34,None,None,None,4
right,5,red,left,-0.5,35,None,None,None,4
right,4,green,right,2.0,36,None,None,None,4
forward,3,red,right,-1.0,37,None,None,None,4
forward,2,red,right,-1.0,38,None,None,right,4
right,1,green,right,2.0,39,None,None,None,4
right,0,red,forward,-0.5,40,None,None,None,4
forward,20,red,right,-1.0,0,None,None,None,5
forward,19,red,right,-1.0,1,None,None,None,5
right,18,red,right,2.0,2,None,left,None,5
None,17,green,forward,0.0,3,None,None,None,5
None,16,green,forward,0.0,4,None,None,None,5
right,15,red,forward,-0.5,5,None,None,None,5
right,14,red,left,-0.5,6,None,None,None,5
right,13,green,right,2.0,7,None,None,None,5
forward,12,red,right,-1.0,8,None,None,None,5
None,11,green,right,0.0,9,None,None,None,5
forward,10,green,right,-0.5,10,None,None,None,5
forward,9,green,right,-0.5,11,None,None,None,5
forward,8,red,right,-1.0,12,None,None,None,5
forward,7,red,right,-1.0,13,None,None,None,5
forward,6,red,right,-1.0,14,None,None,None,5
right,5,red,right,2.0,15,None,None,None,5
right,4,red,forward,-0.5,16,None,None,None,5
forward,3,green,left,-0.5,17,None,None,None,5
forward,2,green,left,-0.5,18,None,None,None,5
left,1,green,left,2.0,19,None,None,forward,5
