action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,30,green,left,2.0,0,None,None,None,1
forward,29,green,forward,2.0,1,None,None,None,1
left,28,red,right,-1.0,2,None,None,None,1
None,27,green,right,0.0,3,None,None,None,1
right,26,green,right,2.0,4,None,None,None,1
forward,25,red,forward,-1.0,5,None,None,None,1
forward,24,red,forward,-1.0,6,None,None,None,1
None,23,red,forward,0.0,7,None,None,None,1
left,22,green,forward,-0.5,8,None,None,None,1
left,21,green,forward,-0.5,9,None,None,None,1
None,20,green,right,0.0,10,None,None,None,1
None,19,green,right,0.0,11,None,None,None,1
None,18,red,right,0.0,12,None,None,left,1
left,17,red,right,-1.0,13,None,None,None,1
forward,16,red,right,-1.0,14,None,None,None,1
forward,15,red,right,-1.0,15,None,None,None,1
None,14,green,right,0.0,16,None,None,None,1
None,13,green,right,0.0,17,None,None,None,1
None,12,green,right,0.0,18,None,None,None,1
None,11,green,right,0.0,19,None,None,None,1
right,10,red,right,2.0,20,None,None,None,1
None,9,green,forward,0.0,21,None,None,None,1
None,8,green,forward,0.0,22,None,None,None,1
right,7,green,forward,-0.5,23,None,None,None,1
left,6,green,left,2.0,24,None,None,None,1
right,5,red,forward,-0.5,25,None,None,None,1
None,4,red,left,0.0,26,None,None,None,1
left,3,green,left,2.0,27,None,None,None,1
right,2,green,forward,-0.5,28,None,None,None,1
left,1,green,left,2.0,29,None,None,None,1
right,0,red,forward,-0.5,30,None,None,None,1
None,25,red,left,0.0,0,None,None,None,2
None,24,red,left,0.0,1,None,None,None,2
None,23,red,left,0.0,2,None,None,None,2
None,22,red,left,0.0,3,None,None,None,2
left,21,green,left,2.0,4,None,None,None,2
right,20,red,forward,-0.5,5,None,None,None,2
left,19,green,left,2.0,6,None,None,None,2
right,18,red,forward,-0.5,7,None,None,None,2
left,17,green,left,2.0,8,None,None,None,2
right,16,red,forward,-0.5,9,None,None,None,2
left,15,green,left,2.0,10,None,None,None,2
right,14,red,forward,-0.5,11,None,None,None,2
None,13,red,left,0.0,12,None,None,None,2
None,12,red,left,0.0,13,None,None,None,2
None,11,red,left,0.0,14,None,None,None,2
left,10,green,left,2.0,15,None,None,None,2
left,9,green,left,2.0,16,None,None,None,2
right,8,green,forward,-0.5,17,None,None,None,2
None,7,green,right,0.0,18,None,None,None,2
None,6,green,right,0.0,19,None,None,None,2
right,5,red,right,2.0,20,None,None,None,2
right,4,red,right,2.0,21,None,None,None,2
None,3,green,right,0.0,22,None,None,None,2
None,2,green,right,0.0,23,None,None,None,2
right,1,red,right,2.0,24,None,None,None,2
right,0,green,forward,-0.5,25,None,None,None,2
left,45,green,left,2.0,0,None,None,None,3
right,44,green,forward,-0.5,1,None,None,None,3
left,43,green,left,2.0,2,None,None,None,3
right,42,green,forward,-0.5,3,None,None,None,3
None,41,red,left,0.0,4,None,None,None,3
None,40,red,left,0.0,5,None,None,None,3
None,39,red,left,0.0,6,None,None,None,3
None,38,red,left,0.0,7,None,None,None,3
left,37,green,left,2.0,8,None,None,None,3
right,36,red,forward,-0.5,9,None,None,None,3
None,35,red,left,0.0,10,None,None,None,3
None,34,red,left,0.0,11,None,None,None,3
left,33,green,left,2.0,12,None,None,None,3
right,32,red,forward,-0.5,13,None,None,None,3
None,31,red,left,0.0,14,None,None,None,3
left,30,green,left,2.0,15,None,None,None,3
left,29,green,left,2.0,16,None,None,None,3
right,28,green,forward,-0.5,17,None,None,None,3
left,27,green,right,-0.5,18,forward,None,None,3
None,26,red,left,0.0,19,None,None,None,3
None,25,red,left,0.0,20,None,None,None,3
left,24,green,left,12.0,21,None,None,None,3
right,25,red,right,2.0,0,None,None,None,4
right,24,green,forward,-0.5,1,None,None,None,4
None,23,red,left,0.0,2,None,None,None,4
None,22,red,left,0.0,3,None,None,None,4
left,21,green,left,2.0,4,None,None,None,4
right,20,green,forward,-0.5,5,None,None,None,4
None,19,red,left,0.0,6,None,None,None,4
right,18,red,left,-0.5,7,None,None,None,4
right,17,red,right,2.0,8,None,None,None,4
right,16,red,right,2.0,9,None,None,None,4
right,15,green,forward,-0.5,10,None,None,None,4
left,14,green,left,2.0,11,None,None,None,4
right,13,red,forward,-0.5,12,None,None,None,4
left,12,green,left,2.0,13,None,None,None,4
right,11,red,forward,-0.5,14,None,None,None,4
left,10,green,left,2.0,15,None,None,None,4
None,9,green,right,0.0,16,None,None,None,4
None,8,green,right,0.0,17,None,None,None,4
None,7,green,right,0.0,18,None,None,None,4
None,6,green,right,0.0,19,None,None,None,4
right,5,red,right,2.0,20,None,None,None,4
right,4,red,forward,-0.5,21,None,None,None,4
None,3,green,right,0.0,22,None,None,None,4
None,2,green,right,0.0,23,None,None,None,4
None,1,green,right,0.0,24,None,None,None,4
right,0,red,right,2.0,25,None,None,None,4
left,40,green,left,2.0,0,None,None,None,5
left,39,green,forward,-0.5,1,right,None,None,5
None,38,green,right,0.0,2,None,None,None,5
right,37,red,right,2.0,3,None,None,None,5
right,36,red,forward,-0.5,4,None,None,None,5
left,35,green,left,2.0,5,None,None,None,5
right,34,green,forward,-0.5,6,None,None,None,5
left,33,green,left,2.0,7,None,None,None,5
right,32,red,right,2.0,8,None,None,None,5
right,31,red,forward,-0.5,9,None,None,None,5
None,30,green,right,0.0,10,None,None,None,5
None,29,green,right,0.0,11,None,None,None,5
right,28,red,right,2.0,12,None,None,None,5
None,27,green,right,0.0,13,None,None,None,5
None,26,green,right,0.0,14,None,None,None,5
None,25,green,right,0.0,15,None,None,None,5
right,24,red,right,2.0,16,None,None,None,5
right,23,red,right,2.0,17,None,None,None,5
right,22,red,forward,-0.5,18,None,None,None,5
None,21,green,right,0.0,19,None,None,None,5
right,20,red,right,2.0,20,None,None,None,5
None,19,green,right,0.0,21,None,None,None,5
None,18,green,right,0.0,22,None,None,None,5
None,17,green,right,0.0,23,None,None,None,5
right,16,red,right,2.0,24,None,None,None,5
right,15,red,right,2.0,25,None,None,None,5
right,14,red,forward,-0.5,26,None,None,None,5
None,13,green,right,0.0,27,None,None,None,5
right,12,red,right,2.0,28,None,None,None,5
None,11,green,right,0.0,29,None,None,None,5
None,10,green,right,0.0,30,None,None,None,5
None,9,green,right,0.0,31,None,None,None,5
right,8,red,right,2.0,32,None,None,None,5
right,7,red,right,2.0,33,None,None,None,5
right,6,red,forward,-0.5,34,None,None,None,5
None,5,green,right,0.0,35,None,None,None,5
right,4,red,right,2.0,36,None,None,None,5
None,3,green,right,0.0,37,None,None,None,5
None,2,green,right,0.0,38,None,None,None,5
None,1,green,right,0.0,39,None,None,None,5
right,0,red,right,2.0,40,None,None,None,5
right,30,red,forward,-0.5,0,None,None,None,6
left,29,green,left,2.0,1,None,None,None,6
right,28,red,forward,-0.5,2,None,None,None,6
right,27,red,left,-0.5,3,None,None,None,6
None,26,green,right,0.0,4,None,None,None,6
None,25,green,right,0.0,5,None,None,None,6
None,24,green,right,0.0,6,None,None,None,6
None,23,green,right,0.0,7,None,None,None,6
right,22,red,right,2.0,8,None,None,None,6
None,21,green,right,0.0,9,None,None,None,6
None,20,green,right,0.0,10,None,None,None,6
None,19,green,right,0.0,11,None,None,None,6
