action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,40,red,left,-1.0,0,None,left,None,1
None,39,red,left,0.0,1,None,left,None,1
left,38,red,left,-1.0,2,None,left,None,1
left,37,red,left,-1.0,3,None,left,None,1
left,36,green,left,2.0,4,None,None,None,1
left,35,green,forward,-0.5,5,None,None,None,1
left,34,red,right,-1.0,6,None,None,None,1
right,33,red,right,2.0,7,None,None,None,1
forward,32,red,forward,-1.0,8,None,None,None,1
right,31,red,forward,-0.5,9,None,None,None,1
right,30,red,left,-0.5,10,None,None,None,1
left,29,green,right,-0.5,11,None,None,None,1
None,28,green,left,0.0,12,None,None,None,1
None,27,green,left,0.0,13,None,None,None,1
None,26,green,left,0.0,14,None,None,None,1
left,25,red,left,-1.0,15,None,None,None,1
None,24,red,left,0.0,16,None,None,None,1
None,23,red,left,0.0,17,None,None,None,1
forward,22,red,left,-1.0,18,None,None,None,1
left,21,red,left,-1.0,19,None,None,None,1
right,20,green,left,-0.5,20,None,None,None,1
None,19,green,right,0.0,21,None,None,None,1
left,18,green,right,-0.5,22,None,None,None,1
None,17,red,left,0.0,23,None,None,None,1
left,16,red,left,-1.0,24,None,None,None,1
right,15,green,left,-0.5,25,None,None,None,1
right,14,green,right,2.0,26,None,None,None,1
left,13,red,right,-1.0,27,None,None,None,1
right,12,green,right,2.0,28,None,None,None,1
forward,11,green,forward,2.0,29,None,None,forward,1
None,10,red,forward,0.0,30,None,None,None,1
left,9,red,forward,-1.0,31,None,None,None,1
left,8,red,forward,-1.0,32,None,None,None,1
right,7,red,forward,-0.5,33,None,None,None,1
right,6,green,left,-0.5,34,None,None,None,1
left,5,red,right,-1.0,35,None,None,None,1
left,4,red,right,-1.0,36,None,None,None,1
left,3,red,right,-1.0,37,None,None,None,1
left,2,red,right,-1.0,38,None,None,None,1
left,1,red,right,-1.0,39,None,None,None,1
forward,0,green,right,-0.5,40,None,None,None,1
right,20,green,left,-0.5,0,None,None,None,2
None,19,red,right,0.0,1,None,left,None,2
right,18,red,right,2.0,2,None,left,None,2
left,17,red,right,-1.0,3,None,None,None,2
left,16,red,right,-1.0,4,None,None,None,2
left,15,green,right,-0.5,5,None,None,None,2
left,14,green,right,-0.5,6,None,None,None,2
left,13,red,left,-1.0,7,None,None,None,2
right,12,green,left,-0.5,8,None,None,None,2
None,11,green,forward,0.0,9,None,None,None,2
forward,10,green,forward,12.0,10,None,None,None,2
left,35,red,right,-1.0,0,None,None,None,3
left,34,red,right,-1.0,1,None,None,None,3
left,33,red,right,-1.0,2,None,None,None,3
left,32,red,right,-1.0,3,None,None,None,3
left,31,green,right,-0.5,4,None,None,None,3
left,30,red,right,-1.0,5,None,forward,None,3
right,29,red,right,2.0,6,None,forward,None,3
right,28,red,right,2.0,7,None,None,None,3
right,27,red,forward,-0.5,8,None,None,None,3
left,26,red,left,-1.0,9,None,None,None,3
left,25,red,left,-1.0,10,None,None,left,3
None,24,red,left,0.0,11,None,None,None,3
right,23,green,left,-0.5,12,None,None,None,3
left,22,green,right,-0.5,13,None,None,None,3
None,21,red,left,0.0,14,None,None,None,3
right,20,green,left,-0.5,15,None,None,None,3
left,19,red,right,-1.0,16,None,None,None,3
left,18,red,right,-1.0,17,None,None,None,3
left,17,red,right,-1.0,18,None,None,None,3
left,16,red,right,-1.0,19,None,None,None,3
left,15,green,right,-0.5,20,None,None,None,3
left,14,red,left,-1.0,21,None,None,None,3
left,13,red,left,-1.0,22,None,None,None,3
None,12,red,left,0.0,23,None,None,None,3
right,11,green,left,-0.5,24,None,None,None,3
left,10,green,right,-0.5,25,None,None,None,3
forward,9,green,left,-0.5,26,None,None,None,3
None,8,red,left,0.0,27,None,None,None,3
None,7,red,left,0.0,28,None,None,None,3
None,6,red,left,0.0,29,None,None,None,3
forward,5,green,left,-0.5,30,None,None,None,3
forward,4,green,left,-0.5,31,None,None,None,3
right,3,green,left,-0.5,32,None,None,None,3
right,2,green,right,2.0,33,None,None,None,3
forward,1,red,forward,-1.0,34,None,None,None,3
forward,0,red,forward,-1.0,35,None,None,None,3
left,20,red,right,-1.0,0,None,None,None,4
left,19,red,right,-1.0,1,None,None,None,4
left,18,red,right,-1.0,2,None,None,None,4
forward,17,red,right,-1.0,3,None,None,None,4
left,16,green,right,-0.5,4,None,None,None,4
None,15,red,left,0.0,5,None,None,None,4
right,14,green,left,-0.5,6,None,None,None,4
None,13,red,right,0.0,7,None,None,None,4
None,12,red,right,0.0,8,None,None,None,4
left,11,green,right,-0.5,9,None,None,None,4
None,10,red,left,0.0,10,None,None,None,4
None,9,red,left,0.0,11,None,None,None,4
right,8,green,left,-0.5,12,None,None,None,4
