action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,30,green,left,-0.5,0,None,None,None,1
left,29,red,left,-1.0,1,None,None,None,1
left,28,red,left,-1.0,2,None,None,None,1
forward,27,red,left,-1.0,3,None,None,None,1
None,26,green,left,0.0,4,None,None,None,1
None,25,green,left,0.0,5,None,None,None,1
right,24,green,left,-0.5,6,None,None,None,1
left,23,red,right,-1.0,7,None,None,None,1
left,22,green,right,-0.5,8,None,None,None,1
left,21,green,left,2.0,9,None,None,None,1
right,20,red,forward,-0.5,10,None,forward,None,1
forward,19,red,left,-1.0,11,None,None,None,1
None,18,green,left,0.0,12,None,None,None,1
None,17,green,left,0.0,13,None,None,None,1
None,16,green,left,0.0,14,None,None,None,1
None,15,red,left,0.0,15,None,None,None,1
None,14,red,left,0.0,16,None,None,None,1
right,13,red,left,-0.5,17,None,None,None,1
forward,12,red,right,-1.0,18,None,None,None,1
None,11,red,right,0.0,19,None,None,None,1
forward,10,red,right,-1.0,20,None,None,None,1
left,9,green,right,-0.5,21,None,None,None,1
None,8,green,left,0.0,22,None,None,None,1
None,7,green,left,0.0,23,None,None,None,1
None,6,green,left,0.0,24,None,None,None,1
forward,5,red,left,-1.0,25,None,None,None,1
forward,4,red,left,-1.0,26,None,None,None,1
None,3,red,left,0.0,27,None,None,None,1
None,2,red,left,0.0,28,None,None,None,1
None,1,red,left,0.0,29,None,None,None,1
left,0,green,left,2.0,30,None,None,None,1
forward,25,red,right,-1.0,0,None,None,None,2
forward,24,red,right,-1.0,1,None,None,None,2
forward,23,red,right,-1.0,2,None,None,None,2
left,22,green,right,-0.5,3,None,None,None,2
None,21,red,left,0.0,4,None,None,None,2
None,20,red,left,0.0,5,None,None,None,2
left,19,green,left,2.0,6,None,None,None,2
left,18,green,left,2.0,7,None,None,None,2
None,17,red,forward,0.0,8,None,None,None,2
None,16,red,forward,0.0,9,None,None,None,2
forward,15,red,forward,-1.0,10,None,None,None,2
right,14,red,forward,-0.5,11,None,None,None,2
right,13,green,forward,-0.5,12,None,None,None,2
None,12,red,left,0.0,13,None,None,None,2
None,11,red,left,0.0,14,None,None,None,2
None,10,red,left,0.0,15,None,None,None,2
left,9,green,left,2.0,16,None,None,None,2
left,8,red,forward,-1.0,17,None,None,None,2
left,7,red,forward,-1.0,18,None,None,None,2
forward,6,red,forward,-1.0,19,None,None,None,2
right,5,green,forward,-0.5,20,None,None,None,2
left,4,green,left,2.0,21,None,None,None,2
right,3,red,forward,-0.5,22,None,None,forward,2
left,2,green,left,2.0,23,None,None,None,2
right,1,green,forward,-0.5,24,None,None,None,2
left,0,green,left,2.0,25,None,None,None,2
left,25,green,right,-0.5,0,None,None,None,3
left,24,green,left,2.0,1,None,None,None,3
right,23,red,forward,-0.5,2,None,None,None,3
left,22,green,left,2.0,3,None,None,None,3
left,21,green,right,-0.5,4,None,None,None,3
left,20,green,right,-0.5,5,None,None,None,3
left,19,green,right,-0.5,6,None,None,None,3
None,18,red,left,0.0,7,None,None,None,3
None,17,red,left,0.0,8,None,None,None,3
None,16,red,left,0.0,9,None,None,None,3
left,15,green,left,2.0,10,None,None,None,3
left,14,green,right,-0.5,11,None,None,None,3
left,13,green,right,-0.5,12,None,None,None,3
None,12,green,right,0.0,13,left,None,None,3
right,11,green,right,2.0,14,left,None,None,3
right,10,red,right,2.0,15,None,None,None,3
left,9,green,right,-0.5,16,None,None,None,3
forward,8,red,right,-1.0,17,None,None,None,3
forward,7,red,right,-1.0,18,None,None,None,3
right,6,red,right,2.0,19,None,None,None,3
forward,5,red,right,-1.0,20,None,None,None,3
forward,4,red,right,-1.0,21,None,None,None,3
forward,3,red,right,-1.0,22,None,None,None,3
right,2,red,right,2.0,23,None,None,None,3
forward,1,red,right,-1.0,24,None,None,None,3
forward,0,red,right,-1.0,25,None,None,None,3
right,25,green,right,2.0,0,None,None,None,4
right,24,green,forward,-0.5,1,None,None,None,4
left,23,green,left,2.0,2,None,None,None,4
forward,22,red,right,-1.0,3,None,None,None,4
None,21,green,right,0.0,4,None,None,None,4
None,20,green,right,0.0,5,None,None,None,4
forward,19,green,right,-0.5,6,None,None,None,4
forward,18,red,right,-1.0,7,None,None,None,4
forward,17,red,right,-1.0,8,None,None,None,4
right,16,red,right,2.0,9,None,None,None,4
forward,15,red,right,-1.0,10,None,None,None,4
forward,14,red,right,-1.0,11,None,None,None,4
forward,13,red,right,-1.0,12,None,None,None,4
right,12,red,right,2.0,13,None,None,None,4
left,11,green,left,12.0,14,None,None,None,4
left,25,green,right,-0.5,0,None,None,None,5
right,24,red,right,2.0,1,None,None,None,5
right,23,red,right,2.0,2,None,None,None,5
right,22,red,forward,-0.5,3,None,None,None,5
None,21,red,left,0.0,4,None,None,None,5
None,20,red,left,0.0,5,None,None,None,5
left,19,green,left,2.0,6,None,None,None,5
right,18,green,forward,-0.5,7,None,None,None,5
left,17,green,left,2.0,8,None,None,None,5
left,16,green,right,-0.5,9,None,None,None,5
left,15,green,right,-0.5,10,None,None,None,5
right,14,red,right,2.0,11,None,None,None,5
right,13,green,right,2.0,12,None,left,None,5
right,12,red,right,2.0,13,None,None,None,5
right,11,red,forward,-0.5,14,None,None,None,5
left,10,green,right,-0.5,15,None,None,None,5
left,9,green,left,2.0,16,None,None,None,5
left,8,green,right,-0.5,17,None,None,None,5
left,7,green,right,-0.5,18,None,None,None,5
left,6,green,right,-0.5,19,None,None,None,5
left,5,red,left,-1.0,20,None,forward,None,5
forward,4,red,left,-1.0,21,None,forward,None,5
None,3,red,left,0.0,22,None,forward,None,5
forward,2,red,left,-1.0,23,None,forward,None,5
left,1,green,left,2.0,24,None,None,None,5
right,0,red,right,2.0,25,None,None,None,5
right,30,red,forward,-0.5,0,None,None,None,6
left,29,green,left,2.0,1,None,None,None,6
right,28,red,forward,-0.5,2,None,None,None,6
left,27,green,left,2.0,3,None,None,None,6
right,26,red,forward,-0.5,4,None,None,None,6
left,25,green,left,2.0,5,None,None,None,6
right,24,green,forward,-0.5,6,None,None,None,6
None,23,green,left,0.0,7,forward,None,None,6
right,22,green,left,-0.5,8,forward,None,None,6
left,21,green,right,-0.5,9,None,None,None,6
None,20,red,left,0.0,10,None,None,None,6
None,19,red,left,0.0,11,None,None,None,6
None,18,red,left,0.0,12,None,None,None,6
None,17,red,left,0.0,13,None,None,None,6
None,16,red,left,0.0,14,None,None,None,6
left,15,green,left,2.0,15,None,None,None,6
right,14,red,forward,-0.5,16,None,None,None,6
None,13,red,left,0.0,17,None,None,None,6
None,12,red,left,0.0,18,None,None,None,6
None,11,red,left,0.0,19,None,None,None,6
left,10,green,left,2.0,20,None,None,None,6
right,9,red,forward,-0.5,21,None,None,None,6
left,8,green,left,12.0,22,None,None,None,6
left,35,green,right,-0.5,0,None,None,None,7
right,34,red,right,2.0,1,None,None,None,7
right,33,red,right,2.0,2,None,None,None,7
right,32,red,forward,-0.5,3,None,None,None,7
None,31,red,left,0.0,4,None,None,None,7
None,30,red,left,0.0,5,None,None,None,7
left,29,green,left,2.0,6,None,None,None,7
right,28,red,forward,-0.5,7,None,None,None,7
None,27,red,left,0.0,8,None,None,None,7
None,26,red,left,0.0,9,None,None,None,7
left,25,green,left,2.0,10,None,None,None,7
right,24,green,forward,-0.5,11,None,None,None,7
None,23,red,left,0.0,12,None,None,None,7
None,22,red,left,0.0,13,None,None,None,7
None,21,red,left,0.0,14,None,None,None,7
None,20,red,left,0.0,15,None,None,None,7
left,19,green,left,2.0,16,None,None,None,7
right,18,red,forward,-0.5,17,None,None,None,7
None,17,red,left,0.0,18,None,None,None,7
None,16,red,left,0.0,19,None,None,None,7
left,15,green,left,2.0,20,None,None,None,7
right,14,red,forward,-0.5,21,None,None,None,7
left,13,red,left,-1.0,22,None,left,None,7
right,12,red,left,-0.5,23,None,left,None,7
right,11,red,right,2.0,24,None,None,None,7
right,10,red,right,2.0,25,None,None,None,7
right,9,green,forward,-0.5,26,None,None,None,7
left,8,green,left,12.0,27,None,None,None,7
left,35,green,right,-0.5,0,None,None,None,8
right,34,red,forward,-0.5,1,None,None,None,8
None,33,red,left,0.0,2,None,None,None,8
None,32,red,left,0.0,3,None,None,None,8
None,31,red,left,0.0,4,None,None,None,8
left,30,green,left,2.0,5,None,None,None,8
right,29,green,forward,-0.5,6,None,None,None,8
left,28,green,left,2.0,7,None,None,None,8
right,27,green,forward,-0.5,8,None,None,None,8
None,26,red,left,0.0,9,None,None,None,8
None,25,red,left,0.0,10,None,None,None,8
None,24,red,left,0.0,11,None,None,None,8
left,23,green,left,2.0,12,None,None,None,8
right,22,red,forward,-0.5,13,None,None,None,8
None,21,red,left,0.0,14,None,None,None,8
left,20,green,left,2.0,15,None,None,None,8
right,19,green,forward,-0.5,16,None,None,None,8
left,18,green,left,2.0,17,None,None,None,8
None,17,red,left,0.0,18,None,None,None,8
None,16,red,left,0.0,19,None,None,None,8
left,15,green,left,2.0,20,None,None,None,8
right,14,red,forward,-0.5,21,None,None,None,8
right,13,red,right,2.0,22,None,None,None,8
right,12,red,right,2.0,23,None,None,None,8
left,11,green,right,-0.5,24,None,None,right,8
right,10,red,right,2.0,25,None,None,None,8
right,9,red,right,2.0,26,None,None,None,8
left,8,green,right,-0.5,27,None,None,left,8
right,7,red,right,2.0,28,None,None,None,8
left,6,green,right,-0.5,29,None,None,None,8
right,5,red,right,2.0,30,None,None,None,8
left,4,green,right,-0.5,31,None,None,None,8
right,3,red,right,2.0,32,None,None,None,8
right,2,red,right,2.0,33,None,None,None,8
right,1,red,forward,-0.5,34,None,None,None,8
None,0,red,left,0.0,35,None,None,None,8
left,45,green,left,2.0,0,None,None,None,9
right,44,green,forward,-0.5,1,None,None,None,9
None,43,red,left,0.0,2,None,None,None,9
None,42,red,left,0.0,3,None,None,None,9
None,41,red,left,0.0,4,None,None,None,9
left,40,green,left,2.0,5,None,None,None,9
right,39,red,forward,-0.5,6,None,None,None,9
left,38,green,left,2.0,7,None,None,None,9
right,37,red,forward,-0.5,8,None,None,None,9
None,36,red,left,0.0,9,None,None,None,9
None,35,red,left,0.0,10,None,None,None,9
None,34,red,left,0.0,11,None,None,None,9
left,33,green,left,2.0,12,None,None,None,9
right,32,red,forward,-0.5,13,None,None,None,9
None,31,red,left,0.0,14,None,None,None,9
None,30,red,left,0.0,15,None,None,None,9
left,29,green,left,2.0,16,None,None,None,9
right,28,green,forward,-0.5,17,None,None,None,9
None,27,red,left,0.0,18,None,None,None,9
None,26,red,left,0.0,19,None,None,None,9
None,25,red,left,0.0,20,None,None,None,9
None,24,green,left,0.0,21,None,forward,None,9
left,23,green,left,2.0,22,None,None,None,9
None,22,red,left,0.0,23,None,None,None,9
left,21,green,left,2.0,24,None,None,None,9
right,20,green,forward,-0.5,25,None,None,None,9
right,19,red,forward,-0.5,26,None,None,None,9
None,18,red,left,0.0,27,None,None,None,9
None,17,red,left,0.0,28,None,None,None,9
None,16,red,left,0.0,29,None,None,None,9
left,15,green,left,2.0,30,None,None,None,9
right,14,green,forward,-0.5,31,None,None,None,9
left,13,green,left,2.0,32,None,None,None,9
right,12,red,forward,-0.5,33,None,None,None,9
None,11,red,left,0.0,34,None,None,None,9
left,10,green,left,2.0,35,None,None,None,9
right,9,red,forward,-0.5,36,None,None,None,9
left,8,green,left,2.0,37,None,None,None,9
right,7,green,forward,-0.5,38,None,None,None,9
left,6,green,left,2.0,39,None,None,None,9
right,5,red,forward,-0.5,40,None,None,None,9
left,4,green,left,2.0,41,None,None,None,9
right,3,green,forward,-0.5,42,None,None,None,9
None,2,red,left,0.0,43,None,None,None,9
None,1,red,left,0.0,44,None,None,None,9
left,0,green,left,2.0,45,None,None,None,9
right,20,green,forward,-0.5,0,None,None,None,10
None,19,red,left,0.0,1,None,None,None,10
None,18,red,left,0.0,2,None,None,None,10
None,17,red,left,0.0,3,None,None,None,10
None,16,red,left,0.0,4,None,None,None,10
left,15,green,left,2.0,5,None,None,None,10
right,14,red,forward,-0.5,6,None,None,None,10
left,13,green,left,2.0,7,None,None,None,10
left,12,green,left,2.0,8,None,None,None,10
right,11,green,forward,-0.5,9,None,None,None,10
None,10,red,forward,0.0,10,None,forward,None,10
forward,9,red,forward,-1.0,11,None,forward,None,10
right,8,green,forward,-0.5,12,None,None,None,10
