action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,20,red,right,-1.0,0,None,None,None,1
left,19,red,right,-1.0,1,None,None,None,1
left,18,red,right,-1.0,2,None,None,None,1
None,17,red,right,0.0,3,None,None,None,1
forward,16,green,right,-0.5,4,None,None,None,1
right,15,red,right,2.0,5,None,None,None,1
right,14,red,right,2.0,6,None,None,None,1
right,13,green,left,-0.5,7,None,None,None,1
forward,12,green,right,-0.5,8,None,None,None,1
left,11,red,right,-1.0,9,None,None,None,1
left,10,red,right,-1.0,10,None,None,None,1
right,9,red,right,2.0,11,None,None,None,1
left,8,red,right,-1.0,12,None,None,None,1
left,7,red,right,-1.0,13,None,None,None,1
left,6,red,right,-1.0,14,None,None,None,1
right,5,red,right,2.0,15,None,None,None,1
left,4,green,right,-0.5,16,None,None,None,1
left,3,red,right,-1.0,17,None,None,None,1
left,2,red,right,-1.0,18,None,None,None,1
left,1,red,right,-1.0,19,None,None,None,1
None,0,green,right,0.0,20,None,None,None,1
right,35,green,right,2.0,0,None,None,None,2
None,34,green,forward,0.0,1,None,None,None,2
left,33,green,forward,-0.5,2,None,None,None,2
left,32,red,right,-1.0,3,None,None,None,2
None,31,green,right,0.0,4,None,None,None,2
None,30,green,right,0.0,5,None,None,None,2
None,29,green,right,0.0,6,None,None,None,2
None,28,green,right,0.0,7,None,None,None,2
left,27,red,right,-1.0,8,None,None,None,2
left,26,red,right,-1.0,9,None,None,None,2
left,25,red,right,-1.0,10,None,None,None,2
right,24,red,right,2.0,11,None,None,None,2
forward,23,green,forward,2.0,12,None,None,None,2
right,22,green,forward,-0.5,13,None,None,None,2
forward,21,red,left,-1.0,14,None,None,None,2
forward,20,green,left,-0.5,15,None,None,None,2
left,19,green,left,2.0,16,None,None,None,2
forward,18,green,forward,2.0,17,None,None,None,2
right,17,green,left,-0.5,18,None,None,None,2
right,16,red,right,2.0,19,None,None,None,2
right,15,red,right,2.0,20,None,None,None,2
right,14,red,right,2.0,21,None,None,None,2
left,13,red,left,-1.0,22,None,None,None,2
right,12,red,left,-0.5,23,None,None,None,2
right,11,green,right,2.0,24,None,None,None,2
left,10,red,right,-1.0,25,None,None,None,2
left,9,red,right,-1.0,26,None,None,None,2
right,8,green,right,2.0,27,None,None,None,2
left,7,red,right,-1.0,28,None,None,None,2
left,6,red,right,-1.0,29,None,None,None,2
right,5,green,right,2.0,30,None,None,None,2
right,4,red,left,-0.5,31,None,None,None,2
right,3,green,right,2.0,32,None,None,None,2
right,2,green,right,2.0,33,None,None,None,2
left,1,red,right,-1.0,34,None,None,None,2
left,0,red,right,-1.0,35,None,None,None,2
left,20,red,right,-1.0,0,None,None,None,3
left,19,red,right,-1.0,1,None,None,None,3
right,18,red,right,2.0,2,None,None,None,3
left,17,red,forward,-1.0,3,None,None,forward,3
forward,16,green,forward,2.0,4,None,None,forward,3
forward,15,green,forward,2.0,5,None,None,None,3
right,14,green,left,-0.5,6,None,None,None,3
right,13,green,right,2.0,7,None,None,None,3
right,12,green,right,2.0,8,None,None,None,3
left,11,red,right,-1.0,9,None,None,None,3
left,10,red,right,-1.0,10,None,None,None,3
left,9,red,right,-1.0,11,None,None,None,3
forward,8,green,right,-0.5,12,left,None,None,3
None,7,red,right,0.0,13,None,None,None,3
None,6,red,right,0.0,14,None,None,None,3
None,5,red,right,0.0,15,None,None,None,3
right,4,green,right,12.0,16,None,None,None,3
forward,25,green,forward,2.0,0,None,None,None,4
forward,24,green,forward,2.0,1,None,None,None,4
forward,23,green,forward,2.0,2,None,None,None,4
right,22,green,right,2.0,3,None,None,None,4
forward,21,green,forward,12.0,4,None,None,None,4
right,25,red,left,-0.5,0,None,None,None,5
left,24,red,forward,-1.0,1,None,None,None,5
left,23,red,forward,-1.0,2,None,None,None,5
left,22,red,forward,-1.0,3,None,None,None,5
forward,21,green,forward,2.0,4,None,None,None,5
left,20,red,forward,-1.0,5,None,None,None,5
left,19,red,forward,-1.0,6,None,None,None,5
left,18,red,forward,-1.0,7,None,None,None,5
forward,17,red,forward,-1.0,8,None,None,None,5
right,16,red,forward,-0.5,9,None,None,None,5
right,15,green,left,-0.5,10,None,None,None,5
None,14,red,right,0.0,11,None,None,None,5
right,13,green,right,2.0,12,None,None,None,5
None,12,red,right,0.0,13,None,None,None,5
None,11,red,right,0.0,14,None,None,None,5
None,10,red,right,0.0,15,None,None,None,5
right,9,green,right,2.0,16,None,None,None,5
None,8,red,forward,0.0,17,None,None,None,5
None,7,red,forward,0.0,18,None,None,None,5
None,6,red,forward,0.0,19,None,None,None,5
forward,5,green,forward,2.0,20,None,None,None,5
forward,4,green,forward,2.0,21,None,None,None,5
right,3,green,left,-0.5,22,None,None,None,5
None,2,red,right,0.0,23,None,None,None,5
None,1,red,right,0.0,24,None,None,None,5
right,0,green,right,2.0,25,None,None,None,5
None,30,red,forward,0.0,0,None,None,None,6
None,29,red,forward,0.0,1,None,None,None,6
None,28,red,forward,0.0,2,None,None,None,6
forward,27,green,forward,2.0,3,None,None,None,6
forward,26,green,forward,2.0,4,None,None,None,6
None,25,green,forward,0.0,5,right,None,None,6
forward,24,green,forward,2.0,6,None,None,None,6
None,23,red,forward,0.0,7,None,None,None,6
forward,22,green,forward,2.0,8,None,None,None,6
right,21,green,left,-0.5,9,None,None,None,6
right,20,green,right,2.0,10,None,None,None,6
right,19,green,right,2.0,11,None,None,None,6
