action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,20,red,left,0.0,0,None,None,None,1
left,19,red,left,-1.0,1,None,None,None,1
forward,18,red,left,-1.0,2,None,None,None,1
right,17,red,left,-0.5,3,None,None,None,1
right,16,red,forward,-0.5,4,None,None,None,1
right,15,green,left,-0.5,5,None,None,None,1
left,14,red,forward,-1.0,6,None,None,None,1
left,13,red,forward,-1.0,7,None,None,None,1
None,12,green,forward,0.0,8,None,None,None,1
right,11,green,forward,-0.5,9,None,None,None,1
forward,10,red,left,-1.0,10,None,None,None,1
right,9,red,left,-0.5,11,None,None,None,1
left,8,green,forward,-0.5,12,None,None,None,1
None,7,red,right,0.0,13,None,None,None,1
forward,6,red,right,-1.0,14,None,None,None,1
left,5,red,right,-1.0,15,None,None,None,1
right,4,green,right,2.0,16,None,None,None,1
None,3,red,forward,0.0,17,None,None,None,1
forward,2,red,forward,-1.0,18,None,None,None,1
forward,1,red,forward,-1.0,19,None,None,None,1
forward,0,green,forward,2.0,20,None,None,None,1
forward,25,green,forward,2.0,0,None,None,None,2
left,24,red,right,-1.0,1,None,None,None,2
left,23,red,right,-1.0,2,None,None,None,2
left,22,red,right,-1.0,3,None,None,None,2
left,21,red,right,-1.0,4,None,None,None,2
left,20,green,right,-0.5,5,None,None,None,2
right,19,red,forward,-0.5,6,None,None,None,2
left,18,red,right,-1.0,7,None,None,None,2
forward,17,green,right,-0.5,8,None,None,None,2
None,16,green,right,0.0,9,None,None,None,2
forward,15,green,right,-0.5,10,None,None,None,2
forward,14,green,forward,2.0,11,None,None,None,2
right,13,red,forward,-0.5,12,None,None,None,2
forward,12,green,left,-0.5,13,None,None,None,2
left,11,green,left,2.0,14,None,None,None,2
forward,10,green,forward,2.0,15,None,None,None,2
right,9,red,forward,-0.5,16,None,None,None,2
left,8,green,left,2.0,17,None,None,None,2
forward,7,green,forward,2.0,18,None,None,forward,2
left,6,red,right,-1.0,19,None,None,None,2
left,5,red,right,-1.0,20,None,None,None,2
forward,4,green,right,-0.5,21,None,None,None,2
left,3,red,right,-1.0,22,None,None,None,2
left,2,red,right,-1.0,23,None,None,None,2
forward,1,green,right,-0.5,24,None,None,None,2
left,0,green,right,-0.5,25,None,None,None,2
left,40,red,right,-1.0,0,None,None,None,3
