action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,45,red,right,2.0,None,None,None,1
forward,44,green,forward,2.0,None,None,None,1
forward,43,red,forward,-1.0,None,None,None,1
forward,42,green,forward,2.0,None,None,None,1
None,41,red,forward,0.0,None,None,None,1
forward,40,green,forward,2.0,None,None,None,1
None,39,red,forward,0.0,None,None,None,1
None,38,red,forward,0.0,None,None,None,1
forward,37,green,forward,2.0,None,None,None,1
forward,36,green,forward,2.0,None,None,None,1
None,35,red,forward,0.0,None,None,None,1
None,34,red,forward,0.0,None,None,None,1
None,33,red,forward,0.0,None,None,None,1
None,32,red,forward,0.0,None,None,None,1
None,31,red,forward,0.0,None,None,None,1
forward,30,green,forward,2.0,None,None,None,1
left,29,red,left,-1.0,None,None,None,1
None,28,red,left,0.0,None,None,None,1
None,27,red,left,0.0,None,None,None,1
None,26,red,left,0.0,None,None,None,1
left,25,green,left,2.0,None,None,None,1
None,24,red,forward,0.0,None,None,None,1
None,23,red,forward,0.0,None,None,None,1
None,22,red,forward,0.0,None,None,None,1
None,21,red,forward,0.0,None,None,None,1
forward,20,green,forward,12.0,None,None,None,1
right,20,green,right,2.0,None,None,None,2
right,19,red,right,2.0,None,None,None,2
None,18,red,left,0.0,None,None,None,2
left,17,green,left,2.0,None,None,None,2
forward,16,green,forward,12.0,None,None,None,2
right,30,red,right,2.0,None,None,None,3
right,29,green,right,2.0,None,None,None,3
forward,28,green,forward,2.0,None,None,None,3
forward,27,green,forward,2.0,None,None,None,3
forward,26,green,forward,2.0,None,None,None,3
left,25,green,left,2.0,None,None,None,3
forward,24,green,forward,2.0,None,None,None,3
None,23,red,forward,0.0,None,None,None,3
None,22,red,forward,0.0,None,None,right,3
forward,21,green,forward,12.0,None,None,right,3
forward,30,green,forward,2.0,None,None,None,4
forward,29,green,forward,2.0,None,None,None,4
None,28,red,forward,0.0,None,None,None,4
forward,27,green,forward,2.0,None,None,None,4
None,26,red,forward,0.0,None,None,None,4
forward,25,green,forward,2.0,None,None,None,4
forward,24,green,forward,2.0,left,None,None,4
left,23,green,left,12.0,None,None,None,4
None,20,red,left,0.0,None,None,None,5
None,19,red,left,0.0,None,None,None,5
None,18,red,left,0.0,None,None,None,5
None,17,red,left,0.0,None,None,None,5
left,16,green,left,2.0,None,None,None,5
forward,15,green,forward,2.0,None,None,None,5
None,14,red,forward,0.0,None,None,None,5
None,13,red,forward,0.0,None,None,None,5
None,12,red,forward,0.0,None,None,None,5
forward,11,green,forward,2.0,None,None,None,5
right,10,green,right,12.0,None,None,None,5
right,25,red,right,2.0,None,None,None,6
right,24,green,right,2.0,None,None,None,6
forward,23,green,forward,2.0,None,None,None,6
forward,22,green,forward,2.0,None,None,None,6
None,21,red,forward,0.0,None,None,None,6
None,20,red,forward,0.0,None,None,None,6
None,19,red,forward,0.0,None,None,None,6
None,18,red,forward,0.0,None,None,None,6
forward,17,green,forward,2.0,None,None,None,6
right,16,red,right,2.0,None,None,None,6
forward,15,green,forward,12.0,None,None,None,6
forward,40,green,forward,2.0,None,None,None,7
forward,39,green,forward,2.0,None,None,None,7
forward,38,green,forward,2.0,None,None,None,7
forward,37,green,forward,2.0,None,None,None,7
forward,36,green,forward,2.0,None,None,None,7
right,35,green,right,2.0,None,None,None,7
forward,34,green,forward,2.0,None,None,None,7
None,33,red,forward,0.0,None,None,None,7
forward,32,green,forward,12.0,None,None,None,7
left,30,green,left,2.0,None,None,None,8
forward,29,green,forward,2.0,None,None,None,8
forward,28,green,forward,2.0,None,None,None,8
right,27,green,right,2.0,None,None,None,8
None,26,red,forward,0.0,None,None,None,8
None,25,red,forward,0.0,None,None,None,8
forward,24,red,forward,-1.0,None,left,None,8
None,23,red,forward,0.0,None,left,None,8
forward,22,green,forward,2.0,None,left,None,8
forward,21,green,forward,12.0,None,None,None,8
forward,25,green,forward,2.0,None,None,None,9
forward,24,green,forward,2.0,None,None,None,9
None,23,red,forward,0.0,None,None,None,9
None,22,red,forward,0.0,None,None,None,9
None,21,red,forward,0.0,None,None,None,9
forward,20,green,forward,2.0,None,None,None,9
None,19,red,forward,0.0,None,None,None,9
None,18,red,forward,0.0,None,None,None,9
forward,17,green,forward,2.0,None,None,None,9
forward,16,green,forward,12.0,None,None,None,9
None,25,red,left,0.0,None,None,None,10
None,24,red,left,0.0,None,None,None,10
None,23,red,left,0.0,None,None,None,10
None,22,red,left,0.0,None,None,None,10
None,21,red,left,0.0,None,None,None,10
left,20,green,left,2.0,None,None,None,10
None,19,red,forward,0.0,None,None,None,10
None,18,red,forward,0.0,None,None,None,10
None,17,red,forward,0.0,None,None,None,10
forward,16,green,forward,2.0,None,None,None,10
right,15,red,right,2.0,None,None,None,10
forward,14,green,forward,2.0,None,None,None,10
forward,13,green,forward,12.0,None,None,None,10
right,30,red,right,2.0,None,None,None,11
None,29,red,forward,0.0,None,None,None,11
None,28,red,forward,0.0,None,None,None,11
None,27,red,forward,0.0,None,None,None,11
forward,26,green,forward,2.0,None,None,None,11
None,25,red,forward,0.0,None,None,None,11
forward,24,green,forward,2.0,None,None,None,11
None,23,red,left,0.0,None,None,None,11
left,22,green,left,2.0,None,None,None,11
None,21,red,forward,0.0,None,None,None,11
None,20,red,forward,0.0,None,None,None,11
None,19,red,forward,0.0,None,None,None,11
forward,18,green,forward,2.0,None,None,None,11
forward,17,green,forward,12.0,None,None,None,11
right,35,red,right,2.0,None,None,None,12
right,34,green,right,2.0,None,None,left,12
forward,33,green,forward,2.0,None,None,None,12
forward,32,green,forward,2.0,None,None,None,12
None,31,red,forward,0.0,None,None,None,12
forward,30,green,forward,2.0,None,None,None,12
right,29,red,right,2.0,None,None,None,12
forward,28,green,forward,2.0,None,None,None,12
None,27,red,forward,0.0,None,None,None,12
None,26,red,forward,0.0,None,None,None,12
forward,25,green,forward,2.0,None,None,None,12
forward,24,green,forward,12.0,None,None,None,12
right,30,green,right,2.0,None,None,None,13
right,29,red,right,2.0,None,None,None,13
left,28,green,left,2.0,None,None,None,13
forward,27,green,forward,2.0,None,None,None,13
forward,26,green,forward,2.0,None,None,None,13
forward,25,green,forward,12.0,None,None,None,13
left,35,green,left,2.0,None,None,None,14
forward,34,green,forward,2.0,None,None,None,14
None,33,red,forward,0.0,None,None,None,14
None,32,red,forward,0.0,None,None,None,14
forward,31,green,forward,2.0,None,None,None,14
forward,30,green,forward,2.0,None,None,None,14
None,29,red,forward,0.0,None,None,None,14
None,28,red,forward,0.0,None,None,None,14
forward,27,green,forward,2.0,None,None,None,14
forward,26,green,forward,2.0,None,None,None,14
left,25,green,left,12.0,None,None,None,14
right,20,green,right,2.0,None,None,None,15
None,19,red,left,0.0,None,None,None,15
None,18,red,left,0.0,None,None,None,15
None,17,red,left,0.0,None,None,None,15
left,16,green,left,2.0,None,None,None,15
forward,15,green,forward,2.0,None,None,None,15
None,14,red,forward,0.0,None,None,None,15
None,13,red,forward,0.0,None,None,None,15
forward,12,green,forward,12.0,None,None,forward,15
None,20,red,left,0.0,None,None,None,16
None,19,red,left,0.0,None,None,None,16
None,18,red,left,0.0,None,None,None,16
left,17,green,left,2.0,None,None,None,16
forward,16,green,forward,2.0,None,None,None,16
left,15,green,left,2.0,None,None,None,16
forward,14,green,forward,12.0,None,None,None,16
forward,20,green,forward,2.0,None,None,None,17
forward,19,green,forward,2.0,None,None,None,17
None,18,red,forward,0.0,None,None,None,17
None,17,red,forward,0.0,None,None,None,17
None,16,red,forward,0.0,None,None,None,17
forward,15,green,forward,2.0,None,None,None,17
left,14,green,left,12.0,None,None,None,17
left,25,green,left,2.0,None,None,None,18
right,24,red,right,2.0,None,None,None,18
forward,23,green,forward,2.0,None,None,None,18
forward,22,green,forward,2.0,None,None,None,18
forward,21,green,forward,12.0,None,None,None,18
right,35,red,right,2.0,None,None,None,19
forward,34,green,forward,2.0,None,None,None,19
None,33,red,forward,0.0,None,None,None,19
None,32,red,forward,0.0,None,None,None,19
None,31,red,forward,0.0,None,None,None,19
forward,30,green,forward,2.0,None,None,None,19
None,29,red,forward,0.0,None,None,None,19
None,28,red,forward,0.0,None,None,None,19
None,27,red,forward,0.0,None,None,None,19
forward,26,green,forward,2.0,None,None,None,19
right,25,green,right,2.0,None,None,None,19
forward,24,green,forward,2.0,None,None,None,19
