action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,20,green,right,2.0,None,None,None,1
forward,19,green,forward,2.0,None,None,None,1
forward,18,green,forward,2.0,None,None,None,1
forward,17,green,forward,12.0,None,None,None,1
right,35,red,right,2.0,None,None,None,2
right,34,red,right,2.0,None,None,None,2
forward,33,red,forward,-1.0,None,None,None,2
forward,32,green,forward,2.0,None,None,None,2
None,31,red,forward,0.0,None,None,None,2
None,30,red,forward,0.0,None,None,None,2
None,29,red,forward,0.0,None,None,None,2
None,28,red,forward,0.0,None,None,None,2
forward,27,green,forward,2.0,None,None,None,2
None,26,red,forward,0.0,None,None,None,2
None,25,red,forward,0.0,None,None,None,2
None,24,red,forward,0.0,None,None,None,2
forward,23,green,forward,2.0,None,None,None,2
forward,22,green,forward,2.0,None,None,None,2
left,21,green,left,12.0,forward,None,None,2
right,20,green,right,2.0,None,None,None,3
right,19,red,right,2.0,None,None,None,3
forward,18,green,forward,2.0,None,None,None,3
left,17,red,left,-1.0,None,None,None,3
left,16,green,left,12.0,None,None,None,3
right,40,red,right,2.0,None,None,None,4
forward,39,green,forward,2.0,None,None,None,4
forward,38,green,forward,2.0,None,None,None,4
right,37,green,right,2.0,None,None,None,4
None,36,red,forward,0.0,None,None,None,4
None,35,red,forward,0.0,None,None,None,4
forward,34,green,forward,2.0,None,None,None,4
forward,33,green,forward,2.0,None,None,None,4
None,32,red,forward,0.0,None,None,None,4
None,31,red,forward,0.0,None,None,None,4
None,30,red,forward,0.0,None,None,None,4
None,29,red,forward,0.0,None,None,None,4
forward,28,green,forward,2.0,None,None,None,4
forward,27,green,forward,12.0,None,None,None,4
forward,40,green,forward,2.0,None,None,None,5
None,39,red,forward,0.0,None,None,None,5
None,38,red,forward,0.0,None,None,None,5
None,37,red,forward,0.0,None,None,None,5
forward,36,green,forward,2.0,None,None,None,5
None,35,red,forward,0.0,None,None,None,5
None,34,red,forward,0.0,None,None,None,5
None,33,red,forward,0.0,None,None,None,5
None,32,red,forward,0.0,None,None,None,5
None,31,red,forward,0.0,None,None,None,5
forward,30,green,forward,2.0,None,None,None,5
right,29,red,right,2.0,None,None,None,5
forward,28,green,forward,2.0,None,None,None,5
None,27,red,forward,0.0,None,None,None,5
None,26,red,forward,0.0,None,None,None,5
None,25,red,forward,0.0,None,None,None,5
forward,24,green,forward,2.0,None,None,None,5
forward,23,green,forward,2.0,None,None,None,5
forward,22,green,forward,12.0,None,None,None,5
right,35,red,right,2.0,None,None,None,6
right,34,green,right,2.0,None,None,None,6
forward,33,green,forward,2.0,None,None,None,6
None,32,red,forward,0.0,None,None,None,6
forward,31,green,forward,2.0,None,None,None,6
None,30,red,forward,0.0,None,None,None,6
None,29,red,forward,0.0,None,None,None,6
None,28,red,forward,0.0,None,None,None,6
None,27,red,forward,0.0,None,None,None,6
None,26,red,forward,0.0,None,None,None,6
forward,25,green,forward,2.0,None,None,None,6
None,24,red,left,0.0,None,None,None,6
left,23,green,left,2.0,None,None,None,6
forward,22,green,forward,12.0,None,None,None,6
left,35,green,left,2.0,None,None,None,7
forward,34,green,forward,2.0,None,None,None,7
None,33,red,forward,0.0,None,None,None,7
forward,32,green,forward,2.0,None,None,None,7
None,31,red,forward,0.0,None,None,None,7
forward,30,green,forward,2.0,None,None,None,7
forward,29,green,forward,2.0,None,left,None,7
None,28,red,forward,0.0,None,None,None,7
None,27,red,forward,0.0,None,None,None,7
forward,26,green,forward,2.0,None,None,None,7
left,25,green,left,12.0,None,None,None,7
right,35,red,right,2.0,None,None,None,8
None,34,red,forward,0.0,None,None,None,8
None,33,red,forward,0.0,None,None,None,8
forward,32,green,forward,2.0,None,None,None,8
None,31,red,forward,0.0,None,None,None,8
None,30,red,forward,0.0,None,None,None,8
None,29,red,forward,0.0,None,None,None,8
None,28,red,forward,0.0,None,None,None,8
forward,27,green,forward,2.0,None,None,None,8
None,26,red,forward,0.0,None,None,None,8
None,25,red,forward,0.0,None,None,None,8
None,24,red,forward,0.0,None,None,None,8
forward,23,green,forward,2.0,None,None,None,8
forward,22,green,forward,2.0,None,None,None,8
forward,21,green,forward,2.0,None,None,None,8
right,20,green,right,12.0,None,None,None,8
forward,20,green,forward,2.0,None,None,None,9
None,19,red,forward,0.0,None,None,None,9
None,18,red,forward,0.0,None,None,None,9
forward,17,green,forward,2.0,None,None,None,9
left,16,green,left,2.0,None,None,None,9
forward,15,green,forward,12.0,None,None,None,9
right,40,green,right,2.0,None,None,None,10
right,39,red,right,2.0,None,None,None,10
forward,38,green,forward,2.0,None,None,None,10
forward,37,green,forward,2.0,None,None,None,10
forward,36,green,forward,2.0,None,None,forward,10
None,35,red,left,0.0,None,None,None,10
left,34,green,left,2.0,None,None,None,10
None,33,red,forward,0.0,None,None,None,10
None,32,red,forward,0.0,None,None,None,10
forward,31,green,forward,2.0,None,None,None,10
None,30,red,forward,0.0,None,None,None,10
None,29,red,forward,0.0,None,None,None,10
forward,28,green,forward,12.0,None,None,None,10
None,40,red,left,0.0,None,None,None,11
None,39,red,left,0.0,None,None,None,11
None,38,red,left,0.0,None,None,None,11
None,37,red,left,0.0,None,None,None,11
left,36,red,left,-1.0,None,left,None,11
left,35,green,left,2.0,None,None,None,11
None,34,red,forward,0.0,None,None,None,11
None,33,red,forward,0.0,None,None,None,11
None,32,red,forward,0.0,None,None,None,11
None,31,red,forward,0.0,None,None,None,11
forward,30,green,forward,2.0,None,None,None,11
None,29,red,forward,0.0,None,None,None,11
forward,28,green,forward,2.0,None,None,None,11
None,27,red,forward,0.0,None,None,None,11
None,26,red,forward,0.0,None,None,None,11
forward,25,green,forward,2.0,None,None,None,11
forward,24,green,forward,2.0,None,None,None,11
forward,23,green,forward,2.0,None,None,None,11
None,22,red,left,0.0,None,None,None,11
None,21,red,left,0.0,None,None,None,11
None,20,red,left,0.0,None,None,None,11
left,19,green,left,2.0,None,None,None,11
forward,18,green,forward,12.0,None,None,None,11
right,35,green,right,2.0,None,None,None,12
right,34,red,right,2.0,None,None,None,12
forward,33,green,forward,2.0,None,None,None,12
None,32,red,forward,0.0,None,None,None,12
None,31,red,forward,0.0,None,None,None,12
None,30,red,forward,0.0,None,None,None,12
forward,29,green,forward,2.0,None,None,None,12
forward,28,green,forward,2.0,None,None,None,12
None,27,red,forward,0.0,None,None,None,12
forward,26,green,forward,2.0,None,None,None,12
forward,25,green,forward,2.0,None,None,None,12
left,24,green,left,2.0,None,None,None,12
forward,23,green,forward,2.0,None,None,None,12
None,22,red,forward,0.0,None,None,None,12
None,21,red,forward,0.0,None,None,None,12
forward,20,green,forward,2.0,None,None,None,12
forward,19,green,forward,12.0,None,None,None,12
forward,25,green,forward,2.0,None,None,None,13
forward,24,green,forward,2.0,None,None,None,13
None,23,red,forward,0.0,None,None,None,13
forward,22,green,forward,2.0,None,None,None,13
None,21,red,forward,0.0,None,None,None,13
