action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,25,red,right,2.0,None,None,None,1
forward,24,green,forward,2.0,None,None,None,1
left,23,green,left,2.0,None,None,None,1
forward,22,green,forward,2.0,None,None,None,1
forward,21,red,forward,-1.0,None,None,None,1
None,20,red,forward,0.0,None,None,None,1
forward,19,green,forward,12.0,None,None,None,1
None,25,red,forward,0.0,None,None,None,2
None,24,red,forward,0.0,None,None,None,2
None,23,red,forward,0.0,None,None,None,2
None,22,red,forward,0.0,None,None,None,2
forward,21,green,forward,2.0,None,None,None,2
None,20,red,forward,0.0,None,None,None,2
forward,19,green,forward,2.0,None,None,None,2
forward,18,green,forward,2.0,None,None,None,2
forward,17,green,forward,2.0,None,None,None,2
None,16,red,forward,0.0,None,None,None,2
forward,15,green,forward,12.0,None,None,None,2
None,35,red,forward,0.0,None,None,None,3
None,34,red,forward,0.0,None,None,None,3
None,33,red,forward,0.0,None,None,None,3
None,32,red,forward,0.0,None,None,None,3
None,31,red,forward,0.0,None,None,None,3
forward,30,green,forward,2.0,None,None,None,3
None,29,red,forward,0.0,None,None,None,3
None,28,red,forward,0.0,None,None,None,3
None,27,red,forward,0.0,None,None,None,3
forward,26,green,forward,2.0,None,None,None,3
forward,25,green,forward,2.0,None,None,None,3
right,24,red,right,2.0,None,None,None,3
forward,23,green,forward,2.0,None,None,None,3
None,22,red,forward,0.0,None,None,None,3
None,21,red,forward,0.0,None,None,None,3
None,20,red,forward,0.0,None,None,None,3
forward,19,green,forward,2.0,None,None,None,3
None,18,red,forward,0.0,None,None,None,3
None,17,red,forward,0.0,None,None,None,3
None,16,red,forward,0.0,None,None,None,3
forward,15,green,forward,12.0,None,None,None,3
None,40,red,forward,0.0,None,None,None,4
None,39,red,forward,0.0,None,None,None,4
None,38,red,forward,0.0,None,None,None,4
forward,37,green,forward,2.0,None,None,None,4
forward,36,green,forward,2.0,None,None,None,4
None,35,red,forward,0.0,None,None,None,4
forward,34,green,forward,2.0,None,None,None,4
None,33,red,forward,0.0,None,None,None,4
None,32,red,forward,0.0,None,None,None,4
forward,31,green,forward,2.0,None,None,None,4
None,30,red,forward,0.0,None,None,None,4
None,29,red,forward,0.0,None,None,None,4
forward,28,green,forward,2.0,None,right,None,4
forward,27,green,forward,2.0,None,None,None,4
left,26,green,left,2.0,None,None,None,4
None,25,red,forward,0.0,None,None,None,4
None,24,red,forward,0.0,None,None,None,4
None,23,red,forward,0.0,None,None,None,4
forward,22,green,forward,12.0,None,None,None,4
right,25,red,right,2.0,None,None,None,5
forward,24,green,forward,2.0,None,None,None,5
right,23,green,right,2.0,None,None,None,5
forward,22,green,forward,2.0,None,None,None,5
None,21,red,forward,0.0,None,None,None,5
forward,20,green,forward,12.0,None,None,None,5
right,35,red,right,2.0,None,None,None,6
None,34,red,forward,0.0,None,None,None,6
None,33,red,forward,0.0,None,None,None,6
None,32,red,forward,0.0,None,None,None,6
forward,31,green,forward,2.0,None,None,None,6
forward,30,green,forward,2.0,None,None,None,6
forward,29,green,forward,2.0,None,None,None,6
forward,28,green,forward,2.0,None,None,None,6
right,27,green,right,2.0,None,None,None,6
None,26,red,forward,0.0,None,None,None,6
forward,25,green,forward,12.0,None,None,None,6
left,25,red,left,-1.0,None,None,None,7
None,24,red,left,0.0,None,None,None,7
None,23,red,left,0.0,None,None,None,7
left,22,green,left,2.0,None,None,None,7
forward,21,green,forward,2.0,None,None,None,7
forward,20,green,forward,2.0,None,None,None,7
forward,19,green,forward,2.0,None,None,None,7
right,18,red,right,12.0,None,None,None,7
right,40,red,right,2.0,None,None,None,8
forward,39,green,forward,2.0,None,None,None,8
forward,38,green,forward,2.0,None,None,None,8
None,37,red,forward,0.0,None,None,None,8
None,36,red,forward,0.0,None,None,None,8
forward,35,green,forward,2.0,None,None,None,8
None,34,red,forward,0.0,None,None,None,8
None,33,red,forward,0.0,None,None,None,8
forward,32,green,forward,2.0,None,None,None,8
forward,31,green,forward,2.0,None,None,None,8
None,30,red,forward,0.0,None,None,None,8
None,29,red,forward,0.0,None,None,None,8
forward,28,green,forward,2.0,None,None,None,8
left,27,green,left,12.0,None,None,None,8
right,20,green,right,2.0,None,None,None,9
right,19,green,right,2.0,None,None,None,9
left,18,green,left,2.0,None,None,None,9
forward,17,green,forward,12.0,None,None,None,9
None,35,red,forward,0.0,None,None,None,10
None,34,red,forward,0.0,None,None,None,10
None,33,red,forward,0.0,None,None,None,10
None,32,red,forward,0.0,None,None,None,10
None,31,red,forward,0.0,None,None,None,10
forward,30,green,forward,2.0,None,None,None,10
forward,29,green,forward,2.0,None,None,None,10
None,28,red,forward,0.0,None,None,None,10
None,27,red,forward,0.0,None,None,None,10
forward,26,green,forward,2.0,None,None,None,10
forward,25,green,forward,2.0,None,None,None,10
None,24,red,forward,0.0,None,None,None,10
forward,23,green,forward,2.0,None,None,None,10
None,22,red,left,0.0,None,None,None,10
None,21,red,left,0.0,None,None,None,10
None,20,red,left,0.0,None,None,None,10
left,19,green,left,2.0,None,None,None,10
