action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
left,20,green,left,2.0,None,None,None,1
forward,19,green,forward,2.0,None,None,None,1
left,18,green,left,2.0,None,None,None,1
forward,17,green,forward,12.0,None,None,None,1
left,20,red,left,-1.0,None,None,None,2
None,19,red,left,0.0,None,None,None,2
None,18,red,left,0.0,None,None,None,2
left,17,green,left,2.0,None,None,None,2
forward,16,green,forward,2.0,None,None,None,2
forward,15,green,forward,2.0,None,None,None,2
right,14,red,right,12.0,None,None,None,2
forward,45,green,forward,2.0,None,None,None,3
forward,44,green,forward,2.0,None,None,None,3
forward,43,red,forward,-1.0,None,None,None,3
forward,42,green,forward,2.0,None,None,None,3
forward,41,green,forward,2.0,None,None,None,3
forward,40,green,forward,2.0,None,None,None,3
right,39,green,right,2.0,None,None,None,3
forward,38,green,forward,2.0,None,None,None,3
forward,37,green,forward,2.0,None,None,None,3
forward,36,green,forward,12.0,None,None,None,3
right,35,green,right,2.0,None,None,None,4
None,34,red,forward,0.0,None,None,None,4
None,33,red,forward,0.0,None,None,None,4
None,32,red,forward,0.0,None,None,None,4
forward,31,green,forward,2.0,None,None,None,4
forward,30,green,forward,2.0,None,None,None,4
forward,29,green,forward,2.0,None,None,None,4
None,28,red,left,0.0,None,None,None,4
left,27,green,left,2.0,None,None,None,4
None,26,red,forward,0.0,None,None,None,4
None,25,red,forward,0.0,None,None,None,4
None,24,red,forward,0.0,None,None,None,4
forward,23,green,forward,2.0,None,None,None,4
None,22,red,forward,0.0,None,None,None,4
None,21,red,forward,0.0,None,None,None,4
None,20,red,forward,0.0,None,None,None,4
forward,19,green,forward,12.0,None,None,None,4
forward,40,green,forward,2.0,None,None,None,5
forward,39,green,forward,2.0,None,None,left,5
None,38,red,forward,0.0,None,None,None,5
None,37,red,forward,0.0,None,None,None,5
None,36,red,forward,0.0,None,None,None,5
forward,35,green,forward,2.0,None,None,None,5
None,34,red,forward,0.0,None,None,None,5
None,33,red,forward,0.0,None,None,right,5
None,32,red,forward,0.0,None,None,None,5
None,31,red,forward,0.0,None,None,None,5
forward,30,green,forward,2.0,None,None,None,5
right,29,red,right,2.0,None,None,None,5
None,28,red,forward,0.0,None,None,None,5
None,27,red,forward,0.0,None,None,None,5
None,26,red,forward,0.0,None,None,None,5
forward,25,green,forward,2.0,None,None,None,5
None,24,red,forward,0.0,None,None,None,5
None,23,red,forward,0.0,None,None,None,5
None,22,red,forward,0.0,None,None,None,5
None,21,red,forward,0.0,None,None,None,5
forward,20,green,forward,2.0,None,None,None,5
forward,19,green,forward,12.0,None,None,None,5
right,25,green,right,2.0,None,None,None,6
left,24,green,left,2.0,None,None,None,6
forward,23,green,forward,2.0,None,None,None,6
None,22,red,forward,0.0,None,None,None,6
forward,21,green,forward,2.0,None,None,None,6
None,20,red,forward,0.0,None,None,None,6
None,19,red,forward,0.0,None,None,None,6
None,18,red,forward,0.0,None,None,None,6
forward,17,green,forward,12.0,None,None,None,6
right,30,red,right,2.0,None,None,None,7
right,29,green,right,2.0,None,None,None,7
None,28,red,forward,0.0,None,None,None,7
None,27,red,forward,0.0,None,None,None,7
None,26,red,forward,0.0,None,None,None,7
forward,25,green,forward,2.0,None,None,None,7
None,24,red,forward,0.0,None,None,None,7
None,23,red,forward,0.0,None,None,None,7
None,22,red,forward,0.0,None,None,None,7
None,21,red,forward,0.0,None,None,None,7
forward,20,green,forward,2.0,None,None,None,7
right,19,red,right,2.0,None,None,None,7
forward,18,green,forward,2.0,None,None,None,7
forward,17,green,forward,2.0,None,None,None,7
None,16,red,forward,0.0,None,None,None,7
forward,15,green,forward,12.0,None,None,None,7
None,25,red,forward,0.0,None,None,None,8
None,24,red,forward,0.0,None,None,None,8
None,23,red,forward,0.0,None,None,None,8
None,22,red,forward,0.0,None,None,None,8
None,21,red,forward,0.0,None,None,None,8
forward,20,green,forward,2.0,None,None,None,8
None,19,red,forward,0.0,None,None,None,8
None,18,red,forward,0.0,None,None,None,8
None,17,red,forward,0.0,None,None,None,8
forward,16,green,forward,2.0,None,None,None,8
None,15,red,forward,0.0,None,None,None,8
None,14,red,forward,0.0,None,None,None,8
forward,13,green,forward,2.0,None,None,None,8
None,12,red,forward,0.0,None,None,None,8
None,11,red,forward,0.0,None,None,None,8
forward,10,green,forward,2.0,None,None,None,8
None,9,red,forward,0.0,None,None,None,8
None,8,red,forward,0.0,None,None,None,8
forward,7,red,forward,-1.0,None,left,None,8
None,6,red,forward,0.0,None,left,None,8
