action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,20,green,right,2.0,None,None,None,1
right,19,red,right,2.0,None,None,None,1
forward,18,red,forward,-1.0,None,None,None,1
forward,17,green,forward,2.0,None,None,None,1
None,16,red,forward,0.0,None,None,None,1
None,15,red,forward,0.0,None,None,None,1
forward,14,green,forward,12.0,None,None,None,1
left,25,red,left,-1.0,None,None,None,2
None,24,red,left,0.0,None,None,None,2
None,23,red,left,0.0,None,None,None,2
left,22,green,left,2.0,None,None,None,2
forward,21,green,forward,2.0,None,None,None,2
None,20,red,forward,0.0,None,None,None,2
None,19,red,forward,0.0,None,None,None,2
None,18,red,forward,0.0,None,None,None,2
forward,17,green,forward,2.0,None,None,None,2
None,16,red,forward,0.0,None,None,None,2
None,15,red,forward,0.0,None,None,None,2
None,14,red,forward,0.0,None,None,None,2
forward,13,green,forward,2.0,None,None,None,2
None,12,red,forward,0.0,None,None,None,2
None,11,red,forward,0.0,None,None,None,2
forward,10,green,forward,12.0,None,None,None,2
right,30,green,right,2.0,None,None,None,3
right,29,red,right,2.0,None,None,None,3
None,28,red,forward,0.0,None,None,None,3
None,27,red,forward,0.0,None,None,None,3
forward,26,green,forward,2.0,None,None,None,3
forward,25,green,forward,2.0,None,None,None,3
None,24,red,forward,0.0,None,None,None,3
None,23,red,forward,0.0,None,None,None,3
None,22,red,forward,0.0,None,None,None,3
None,21,red,forward,0.0,None,None,None,3
forward,20,green,forward,2.0,None,None,None,3
forward,19,green,forward,2.0,None,None,None,3
None,18,red,left,0.0,None,None,None,3
None,17,red,left,0.0,None,None,None,3
None,16,red,left,0.0,None,None,None,3
left,15,green,left,2.0,None,None,None,3
forward,14,green,forward,2.0,None,None,None,3
forward,13,green,forward,2.0,None,None,None,3
forward,12,green,forward,12.0,None,None,None,3
right,20,green,right,2.0,None,None,None,4
forward,19,green,forward,2.0,None,None,None,4
right,18,green,right,2.0,None,None,None,4
None,17,red,forward,0.0,None,None,None,4
forward,16,green,forward,12.0,None,None,None,4
None,25,red,forward,0.0,None,None,None,5
None,24,red,forward,0.0,None,None,None,5
None,23,red,forward,0.0,None,None,None,5
None,22,red,forward,0.0,None,None,None,5
None,21,red,forward,0.0,None,None,None,5
