action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,25,red,right,2.0,None,None,None,1
right,24,green,right,2.0,None,None,None,1
right,23,green,right,2.0,None,None,None,1
left,22,red,left,-1.0,None,None,None,1
None,21,red,left,0.0,None,None,None,1
left,20,green,left,2.0,None,None,None,1
forward,19,green,forward,2.0,None,None,None,1
forward,18,green,forward,2.0,None,None,None,1
forward,17,green,forward,12.0,None,None,None,1
right,20,red,right,2.0,None,None,None,2
right,19,green,right,2.0,None,None,None,2
right,18,green,right,2.0,None,None,None,2
forward,17,red,forward,-1.0,None,None,None,2
None,16,red,forward,0.0,None,None,None,2
None,15,red,forward,0.0,None,None,None,2
forward,14,green,forward,2.0,None,None,None,2
forward,13,green,forward,2.0,None,None,None,2
forward,12,green,forward,12.0,None,None,None,2
right,35,green,right,2.0,None,None,None,3
right,34,green,right,2.0,None,None,None,3
forward,33,green,forward,2.0,None,None,None,3
forward,32,green,forward,2.0,left,None,None,3
None,31,red,left,0.0,None,None,None,3
None,30,red,left,0.0,None,None,None,3
left,29,green,left,12.0,None,None,None,3
right,45,red,right,2.0,None,None,None,4
right,44,red,right,2.0,None,None,None,4
None,43,red,forward,0.0,None,None,None,4
None,42,red,forward,0.0,None,None,None,4
None,41,red,forward,0.0,None,None,None,4
forward,40,green,forward,2.0,None,None,None,4
None,39,red,forward,0.0,None,None,None,4
None,38,red,forward,0.0,None,None,None,4
forward,37,green,forward,2.0,None,None,None,4
None,36,red,forward,0.0,None,None,None,4
forward,35,green,forward,2.0,None,None,None,4
None,34,red,forward,0.0,None,None,None,4
None,33,red,forward,0.0,None,None,None,4
None,32,red,forward,0.0,None,None,None,4
None,31,red,forward,0.0,None,None,None,4
forward,30,green,forward,2.0,None,None,None,4
forward,29,red,forward,-1.0,None,forward,None,4
None,28,red,forward,0.0,None,forward,None,4
None,27,red,forward,0.0,None,forward,None,4
None,26,red,forward,0.0,None,forward,None,4
forward,25,green,forward,2.0,None,None,None,4
right,24,red,right,2.0,None,None,None,4
None,23,red,forward,0.0,None,None,None,4
forward,22,red,forward,-1.0,None,right,None,4
None,21,red,forward,0.0,None,None,None,4
forward,20,green,forward,2.0,None,None,None,4
forward,19,red,forward,-1.0,right,None,None,4
None,18,red,forward,0.0,None,None,None,4
None,17,red,forward,0.0,None,None,None,4
None,16,red,forward,0.0,None,None,None,4
forward,15,green,forward,2.0,None,None,None,4
forward,14,green,forward,12.0,None,None,None,4
left,35,green,left,2.0,None,None,None,5
None,34,red,forward,0.0,None,None,None,5
None,33,red,forward,0.0,None,None,None,5
None,32,red,forward,0.0,None,None,None,5
None,31,red,forward,0.0,None,None,None,5
forward,30,green,forward,2.0,None,None,None,5
forward,29,green,forward,2.0,None,None,None,5
left,28,green,left,2.0,None,None,None,5
forward,27,green,forward,2.0,None,None,None,5
None,26,red,forward,0.0,None,None,None,5
None,25,red,forward,0.0,None,None,None,5
None,24,red,forward,0.0,None,None,None,5
forward,23,green,forward,2.0,None,None,None,5
forward,22,green,forward,12.0,None,None,None,5
None,35,red,forward,0.0,None,None,None,6
None,34,red,forward,0.0,None,None,None,6
None,33,red,forward,0.0,None,None,None,6
forward,32,green,forward,2.0,None,None,None,6
forward,31,green,forward,2.0,None,None,None,6
None,30,red,forward,0.0,None,None,None,6
None,29,red,forward,0.0,None,None,None,6
None,28,red,forward,0.0,None,None,None,6
forward,27,green,forward,2.0,None,None,None,6
forward,26,green,forward,2.0,None,None,None,6
None,25,red,forward,0.0,None,None,None,6
None,24,red,forward,0.0,None,None,None,6
forward,23,green,forward,2.0,None,None,None,6
right,22,red,right,2.0,None,None,None,6
forward,21,green,forward,12.0,None,None,None,6
right,35,green,right,2.0,None,None,forward,7
None,34,red,forward,0.0,None,None,None,7
None,33,red,forward,0.0,None,None,None,7
None,32,red,forward,0.0,None,None,None,7
None,31,red,forward,0.0,None,None,None,7
forward,30,green,forward,2.0,None,None,None,7
None,29,red,forward,0.0,None,None,None,7
None,28,red,forward,0.0,None,None,None,7
None,27,red,forward,0.0,None,None,None,7
forward,26,green,forward,2.0,None,None,None,7
forward,25,green,forward,2.0,None,None,None,7
forward,24,green,forward,2.0,None,None,None,7
forward,23,green,forward,2.0,None,None,None,7
right,22,red,right,12.0,None,None,None,7
right,35,red,right,2.0,None,None,None,8
forward,34,green,forward,2.0,None,None,None,8
None,33,red,forward,0.0,None,None,None,8
forward,32,green,forward,2.0,None,None,None,8
right,31,green,right,2.0,forward,None,None,8
None,30,red,forward,0.0,None,forward,None,8
forward,29,green,forward,2.0,None,None,None,8
forward,28,green,forward,2.0,None,None,None,8
forward,27,green,forward,12.0,None,None,None,8
right,45,green,right,2.0,None,None,None,9
right,44,red,right,2.0,None,None,None,9
None,43,red,forward,0.0,None,None,None,9
None,42,red,forward,0.0,None,None,None,9
forward,41,green,forward,2.0,None,None,None,9
None,40,red,forward,0.0,None,None,None,9
forward,39,green,forward,2.0,None,None,None,9
forward,38,green,forward,2.0,None,None,None,9
None,37,red,forward,0.0,None,None,None,9
forward,36,green,forward,2.0,None,None,None,9
right,35,red,right,2.0,None,None,None,9
None,34,red,forward,0.0,None,None,None,9
forward,33,green,forward,2.0,None,None,None,9
forward,32,green,forward,2.0,None,None,None,9
None,31,red,forward,0.0,None,None,None,9
None,30,red,forward,0.0,None,None,None,9
forward,29,green,forward,2.0,None,None,None,9
None,28,red,forward,0.0,None,None,None,9
None,27,red,forward,0.0,None,None,None,9
None,26,red,forward,0.0,None,None,None,9
forward,25,green,forward,12.0,None,None,None,9
right,30,red,right,2.0,None,None,None,10
None,29,red,forward,0.0,None,None,None,10
None,28,red,forward,0.0,None,None,None,10
forward,27,green,forward,2.0,None,None,None,10
forward,26,green,forward,2.0,None,None,None,10
right,25,red,right,2.0,None,None,None,10
