action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,35,green,forward,2.0,None,None,None,1
forward,34,red,forward,-1.0,None,None,None,1
None,33,red,forward,0.0,None,None,None,1
None,32,red,forward,0.0,None,None,None,1
None,31,red,forward,0.0,None,None,None,1
forward,30,green,forward,2.0,None,None,None,1
right,29,green,right,2.0,None,None,None,1
None,28,red,forward,0.0,None,None,None,1
None,27,red,forward,0.0,None,None,None,1
None,26,red,forward,0.0,None,None,None,1
forward,25,green,forward,2.0,None,None,None,1
forward,24,green,forward,2.0,None,None,None,1
forward,23,green,forward,2.0,None,None,None,1
None,22,red,forward,0.0,None,None,None,1
forward,21,red,forward,-1.0,left,None,None,1
forward,20,green,forward,12.0,left,None,None,1
right,25,green,right,2.0,None,None,forward,2
forward,24,green,forward,2.0,None,None,None,2
forward,23,green,forward,2.0,None,None,None,2
left,22,green,left,2.0,None,None,left,2
forward,21,green,forward,12.0,None,None,None,2
left,25,green,left,2.0,None,None,None,3
forward,24,green,forward,2.0,None,None,None,3
left,23,green,left,2.0,None,None,None,3
forward,22,green,forward,2.0,None,None,None,3
None,21,red,forward,0.0,None,None,None,3
None,20,red,forward,0.0,None,None,None,3
None,19,red,forward,0.0,left,None,None,3
None,18,red,forward,0.0,None,None,None,3
forward,17,green,forward,12.0,None,None,None,3
right,35,green,right,2.0,None,None,None,4
right,34,green,right,2.0,forward,None,None,4
forward,33,green,forward,2.0,None,None,None,4
None,32,red,forward,0.0,None,None,None,4
forward,31,green,forward,2.0,None,None,None,4
right,30,green,right,2.0,None,None,None,4
None,29,red,forward,0.0,None,None,None,4
None,28,red,forward,0.0,None,None,None,4
forward,27,green,forward,2.0,None,None,None,4
forward,26,green,forward,2.0,None,None,None,4
None,25,red,forward,0.0,None,None,None,4
None,24,red,forward,0.0,None,None,None,4
forward,23,green,forward,2.0,None,None,None,4
None,22,red,forward,0.0,None,None,None,4
None,21,red,forward,0.0,None,None,None,4
None,20,red,forward,0.0,None,None,None,4
forward,19,green,forward,12.0,None,None,None,4
left,35,red,left,-1.0,None,None,None,5
None,34,red,left,0.0,None,None,None,5
None,33,red,left,0.0,None,None,None,5
None,32,red,left,0.0,None,None,None,5
None,31,red,left,0.0,None,None,None,5
left,30,green,left,2.0,None,None,None,5
forward,29,green,forward,2.0,None,None,None,5
forward,28,green,forward,2.0,None,None,None,5
None,27,red,forward,0.0,None,None,None,5
None,26,red,forward,0.0,None,None,None,5
None,25,red,forward,0.0,None,None,None,5
None,24,red,forward,0.0,None,None,None,5
forward,23,green,forward,2.0,None,None,None,5
forward,22,green,forward,2.0,None,None,None,5
None,21,red,left,0.0,None,None,None,5
None,20,red,left,0.0,None,None,None,5
left,19,green,left,2.0,None,None,right,5
None,18,red,forward,0.0,None,None,None,5
None,17,red,forward,0.0,None,None,None,5
None,16,red,forward,0.0,None,None,None,5
forward,15,green,forward,12.0,None,None,None,5
None,20,red,left,0.0,None,None,None,6
None,19,red,left,0.0,None,None,None,6
None,18,red,left,0.0,None,None,None,6
left,17,green,left,2.0,None,None,None,6
forward,16,green,forward,2.0,None,None,None,6
forward,15,green,forward,2.0,None,None,None,6
right,14,green,right,12.0,None,None,None,6
right,35,green,right,2.0,None,None,None,7
forward,34,green,forward,2.0,None,None,None,7
forward,33,green,forward,2.0,None,None,None,7
None,32,red,forward,0.0,None,None,None,7
forward,31,green,forward,2.0,None,None,None,7
forward,30,green,forward,2.0,None,left,None,7
right,29,green,right,2.0,None,None,None,7
None,28,red,forward,0.0,None,None,None,7
forward,27,green,forward,12.0,None,None,None,7
right,25,green,right,2.0,None,None,None,8
right,24,red,right,2.0,None,None,None,8
None,23,red,forward,0.0,None,None,None,8
None,22,red,forward,0.0,None,None,None,8
None,21,red,forward,0.0,None,None,None,8
forward,20,green,forward,2.0,None,None,None,8
None,19,red,forward,0.0,None,None,None,8
None,18,red,forward,0.0,None,None,None,8
None,17,red,forward,0.0,None,None,None,8
None,16,red,forward,0.0,None,None,None,8
forward,15,green,forward,2.0,None,None,None,8
None,14,red,left,0.0,None,None,None,8
left,13,green,left,2.0,None,None,None,8
None,12,red,forward,0.0,None,None,None,8
None,11,red,forward,0.0,None,None,None,8
forward,10,green,forward,2.0,None,None,None,8
forward,9,green,forward,12.0,None,None,None,8
None,25,red,forward,0.0,None,None,None,9
None,24,red,forward,0.0,None,None,None,9
None,23,red,forward,0.0,None,None,None,9
None,22,red,forward,0.0,None,None,None,9
None,21,red,forward,0.0,None,None,None,9
forward,20,green,forward,2.0,None,None,None,9
forward,19,green,forward,2.0,None,None,None,9
forward,18,green,forward,2.0,None,None,None,9
right,17,red,right,2.0,None,None,None,9
forward,16,green,forward,12.0,None,None,None,9
right,30,green,right,2.0,None,None,None,10
None,29,red,forward,0.0,None,None,forward,10
None,28,red,forward,0.0,None,None,None,10
None,27,red,forward,0.0,None,None,None,10
forward,26,green,forward,2.0,None,None,None,10
forward,25,green,forward,2.0,None,None,None,10
left,24,green,left,2.0,None,None,None,10
forward,23,green,forward,2.0,None,None,None,10
None,22,red,forward,0.0,None,None,None,10
forward,21,green,forward,12.0,None,None,None,10
left,25,green,left,2.0,None,None,None,11
None,24,red,forward,0.0,None,None,None,11
None,23,red,forward,0.0,None,None,None,11
None,22,red,forward,0.0,None,None,None,11
None,21,red,forward,0.0,None,None,None,11
forward,20,green,forward,2.0,None,None,None,11
None,19,red,forward,0.0,None,None,None,11
None,18,red,forward,0.0,None,None,None,11
None,17,red,forward,0.0,None,None,None,11
None,16,red,forward,0.0,None,None,None,11
forward,15,green,forward,2.0,None,None,None,11
None,14,red,forward,0.0,None,None,None,11
None,13,red,forward,0.0,None,None,None,11
None,12,red,forward,0.0,None,None,None,11
None,11,red,forward,0.0,None,None,None,11
forward,10,green,forward,2.0,None,None,None,11
forward,9,green,forward,12.0,None,None,None,11
None,35,red,left,0.0,None,None,None,12
None,34,red,left,0.0,None,None,None,12
None,33,red,left,0.0,None,None,None,12
None,32,red,left,0.0,None,None,None,12
None,31,red,left,0.0,None,None,None,12
left,30,green,left,2.0,None,None,None,12
forward,29,green,forward,2.0,None,None,None,12
None,28,red,forward,0.0,None,None,None,12
None,27,red,forward,0.0,None,None,None,12
None,26,red,forward,0.0,None,None,None,12
forward,25,green,forward,2.0,None,None,None,12
None,24,red,forward,0.0,None,None,None,12
None,23,red,forward,0.0,None,None,None,12
None,22,red,forward,0.0,None,None,None,12
None,21,red,forward,0.0,None,None,None,12
forward,20,green,forward,2.0,None,None,None,12
None,19,red,forward,0.0,None,None,None,12
None,18,red,forward,0.0,None,None,None,12
None,17,red,forward,0.0,None,None,None,12
None,16,red,forward,0.0,None,None,None,12
forward,15,green,forward,2.0,None,None,None,12
None,14,red,forward,0.0,None,None,None,12
None,13,red,forward,0.0,None,None,None,12
None,12,red,forward,0.0,None,None,None,12
forward,11,green,forward,2.0,None,None,None,12
None,10,red,forward,0.0,None,None,None,12
None,9,red,forward,0.0,None,None,None,12
None,8,red,forward,0.0,None,None,None,12
None,7,red,forward,0.0,None,None,None,12
None,6,red,forward,0.0,None,None,None,12
forward,5,green,forward,12.0,None,None,None,12
right,30,red,right,2.0,None,None,None,13
right,29,red,right,2.0,None,None,None,13
forward,28,green,forward,2.0,None,None,None,13
forward,27,green,forward,2.0,None,None,None,13
forward,26,green,forward,2.0,None,None,None,13
None,25,red,forward,0.0,None,None,None,13
forward,24,green,forward,12.0,None,None,None,13
right,30,green,right,2.0,None,None,None,14
forward,29,green,forward,2.0,None,None,None,14
forward,28,green,forward,2.0,None,None,None,14
forward,27,green,forward,2.0,None,None,None,14
right,26,green,right,2.0,None,None,None,14
forward,25,green,forward,12.0,None,None,None,14
None,25,red,forward,0.0,None,None,None,15
None,24,red,forward,0.0,None,None,None,15
None,23,red,forward,0.0,None,None,None,15
forward,22,green,forward,2.0,None,None,None,15
right,21,green,right,2.0,None,None,None,15
forward,20,green,forward,2.0,None,None,None,15
None,19,red,forward,0.0,None,None,None,15
None,18,red,forward,0.0,None,None,None,15
forward,17,green,forward,2.0,None,None,None,15
None,16,red,forward,0.0,None,None,None,15
forward,15,green,forward,12.0,None,None,None,15
left,25,green,left,2.0,None,None,None,16
forward,24,green,forward,2.0,None,None,None,16
forward,23,green,forward,2.0,None,None,None,16
right,22,green,right,2.0,None,None,None,16
