action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,25,green,right,2.0,None,None,None,1
right,24,green,right,2.0,None,None,None,1
forward,23,green,forward,2.0,None,None,None,1
left,22,green,left,2.0,None,None,None,1
forward,21,red,forward,-1.0,None,None,None,1
None,20,red,forward,0.0,None,None,None,1
forward,19,green,forward,12.0,None,None,None,1
left,30,green,left,2.0,None,None,None,2
None,29,red,forward,0.0,None,None,None,2
None,28,red,forward,0.0,None,None,None,2
None,27,red,forward,0.0,None,None,None,2
None,26,red,forward,0.0,None,None,None,2
forward,25,green,forward,2.0,None,None,None,2
None,24,red,forward,0.0,None,None,None,2
None,23,red,forward,0.0,None,None,None,2
None,22,red,forward,0.0,None,None,None,2
forward,21,green,forward,2.0,None,None,None,2
forward,20,green,forward,2.0,None,None,None,2
right,19,green,right,2.0,None,None,None,2
forward,18,green,forward,12.0,None,None,None,2
right,35,red,right,2.0,None,None,None,3
forward,34,green,forward,2.0,None,None,None,3
None,33,red,forward,0.0,None,None,None,3
None,32,red,forward,0.0,None,None,None,3
None,31,red,forward,0.0,None,None,None,3
forward,30,green,forward,2.0,None,None,None,3
forward,29,green,forward,2.0,None,None,None,3
forward,28,green,forward,2.0,None,None,None,3
left,27,green,left,2.0,None,None,None,3
None,26,red,forward,0.0,None,None,None,3
None,25,red,forward,0.0,None,None,None,3
None,24,red,forward,0.0,None,None,None,3
forward,23,green,forward,12.0,None,None,None,3
right,20,red,right,2.0,None,None,None,4
right,19,green,right,2.0,None,None,None,4
None,18,red,forward,0.0,None,None,None,4
None,17,red,forward,0.0,None,None,None,4
None,16,red,forward,0.0,None,None,None,4
forward,15,green,forward,2.0,None,None,None,4
left,14,red,left,-1.0,None,None,None,4
None,13,red,left,0.0,None,None,None,4
None,12,red,left,0.0,None,None,None,4
left,11,green,left,12.0,None,None,None,4
right,20,red,right,2.0,None,None,None,5
right,19,green,right,2.0,None,None,None,5
None,18,red,forward,0.0,None,None,None,5
None,17,red,forward,0.0,None,None,None,5
None,16,red,forward,0.0,None,None,None,5
forward,15,green,forward,2.0,None,None,None,5
None,14,red,left,0.0,None,None,None,5
None,13,red,left,0.0,None,None,None,5
None,12,red,left,0.0,None,None,None,5
left,11,green,left,12.0,None,None,None,5
right,35,red,right,2.0,None,None,None,6
right,34,green,right,2.0,None,None,None,6
None,33,red,forward,0.0,None,None,None,6
forward,32,green,forward,2.0,None,None,None,6
forward,31,green,forward,2.0,None,None,None,6
forward,30,green,forward,2.0,None,None,None,6
forward,29,green,forward,2.0,None,None,None,6
forward,28,green,forward,12.0,None,None,None,6
right,40,green,right,2.0,None,None,None,7
forward,39,green,forward,2.0,None,None,None,7
forward,38,green,forward,2.0,left,None,None,7
forward,37,green,forward,2.0,None,None,None,7
forward,36,green,forward,2.0,None,None,None,7
right,35,green,right,2.0,None,None,None,7
forward,34,green,forward,2.0,None,None,None,7
None,33,red,forward,0.0,None,None,None,7
None,32,red,forward,0.0,None,None,None,7
None,31,red,forward,0.0,None,None,None,7
forward,30,green,forward,12.0,None,None,None,7
forward,20,green,forward,2.0,None,None,None,8
None,19,red,forward,0.0,None,None,None,8
None,18,red,forward,0.0,None,None,None,8
None,17,red,forward,0.0,None,None,None,8
None,16,red,forward,0.0,None,None,None,8
forward,15,green,forward,2.0,None,None,None,8
None,14,red,left,0.0,None,None,None,8
