action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,25,red,forward,-1.0,None,forward,None,1
None,24,red,forward,0.0,None,forward,None,1
None,23,red,forward,0.0,None,forward,None,1
None,22,red,forward,0.0,None,forward,None,1
forward,21,green,forward,2.0,None,None,None,1
forward,20,red,forward,-1.0,None,None,None,1
None,19,red,forward,0.0,None,None,None,1
None,18,red,forward,0.0,None,None,None,1
forward,17,green,forward,2.0,None,None,None,1
forward,16,green,forward,2.0,None,None,None,1
forward,15,green,forward,2.0,None,None,forward,1
forward,14,green,forward,12.0,None,None,None,1
forward,25,green,forward,2.0,None,None,None,2
None,24,red,forward,0.0,None,None,None,2
None,23,red,forward,0.0,None,None,None,2
None,22,red,forward,0.0,None,None,None,2
None,21,red,forward,0.0,None,None,None,2
forward,20,green,forward,2.0,None,None,None,2
None,19,red,forward,0.0,None,None,None,2
None,18,red,forward,0.0,None,None,None,2
None,17,red,forward,0.0,None,None,None,2
None,16,red,forward,0.0,None,None,None,2
forward,15,green,forward,2.0,None,None,None,2
None,14,red,forward,0.0,None,None,None,2
forward,13,green,forward,2.0,None,None,None,2
left,12,red,left,-1.0,None,None,None,2
None,11,red,left,0.0,None,None,None,2
left,10,green,left,12.0,None,None,None,2
None,30,red,left,0.0,None,None,None,3
None,29,red,left,0.0,None,None,None,3
None,28,red,left,0.0,None,None,None,3
left,27,green,left,2.0,None,None,None,3
None,26,red,forward,0.0,None,None,None,3
None,25,red,forward,0.0,None,None,None,3
forward,24,green,forward,2.0,None,None,None,3
forward,23,green,forward,2.0,None,None,None,3
None,22,red,forward,0.0,None,None,None,3
forward,21,green,forward,2.0,None,None,None,3
None,20,red,forward,0.0,None,None,None,3
None,19,red,forward,0.0,None,None,forward,3
forward,18,green,forward,2.0,None,None,forward,3
forward,17,green,forward,12.0,None,None,None,3
forward,30,green,forward,2.0,None,None,None,4
None,29,red,forward,0.0,None,None,None,4
None,28,red,forward,0.0,None,None,None,4
None,27,red,forward,0.0,None,None,None,4
None,26,red,forward,0.0,None,None,None,4
forward,25,green,forward,2.0,None,None,None,4
None,24,red,forward,0.0,None,None,None,4
None,23,red,forward,0.0,None,None,None,4
None,22,red,forward,0.0,None,None,None,4
forward,21,green,forward,2.0,None,None,None,4
forward,20,green,forward,2.0,None,None,None,4
forward,19,green,forward,2.0,None,None,None,4
None,18,red,forward,0.0,None,None,None,4
None,17,red,forward,0.0,None,None,None,4
None,16,red,forward,0.0,None,None,None,4
forward,15,green,forward,12.0,None,None,None,4
right,25,green,right,2.0,forward,None,None,5
None,24,red,forward,0.0,None,None,None,5
None,23,red,forward,0.0,None,None,None,5
None,22,red,forward,0.0,None,None,None,5
forward,21,green,forward,2.0,None,None,None,5
None,20,red,forward,0.0,None,None,None,5
forward,19,green,forward,2.0,None,None,None,5
None,18,red,forward,0.0,None,None,None,5
None,17,red,forward,0.0,None,None,None,5
None,16,red,forward,0.0,None,None,None,5
forward,15,green,forward,2.0,None,None,None,5
forward,14,green,forward,12.0,None,None,None,5
left,20,green,left,2.0,None,None,None,6
left,19,green,left,2.0,None,None,None,6
None,18,red,forward,0.0,None,None,None,6
forward,17,green,forward,2.0,None,left,None,6
forward,16,green,forward,12.0,None,None,None,6
right,25,red,right,2.0,None,right,None,7
right,24,green,right,2.0,None,None,None,7
right,23,green,right,2.0,None,None,None,7
None,22,red,forward,0.0,None,None,None,7
None,21,red,forward,0.0,None,None,None,7
forward,20,green,forward,2.0,None,None,None,7
forward,19,green,forward,2.0,None,None,None,7
forward,18,green,forward,2.0,None,None,None,7
None,17,red,forward,0.0,None,None,None,7
None,16,red,forward,0.0,None,None,None,7
None,15,red,forward,0.0,None,None,None,7
None,14,red,forward,0.0,None,None,None,7
forward,13,green,forward,12.0,None,None,None,7
right,25,green,right,2.0,None,None,None,8
right,24,red,right,2.0,None,None,None,8
