action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
None,27,red,left,0.0,None,None,None,9
None,26,red,left,0.0,None,None,None,9
left,25,green,left,2.0,None,None,None,9
forward,24,green,forward,2.0,None,None,None,9
None,23,red,forward,0.0,None,None,None,9
forward,22,green,forward,2.0,None,None,None,9
None,21,red,forward,0.0,None,None,None,9
None,20,red,forward,0.0,None,None,None,9
None,19,red,forward,0.0,None,None,None,9
forward,18,green,forward,2.0,None,None,None,9
forward,17,green,forward,2.0,None,None,None,9
forward,16,green,forward,12.0,None,None,None,9
right,20,green,right,2.0,None,None,None,10
right,19,green,right,2.0,None,None,None,10
forward,18,green,forward,2.0,None,None,None,10
forward,17,green,forward,2.0,None,None,None,10
right,16,red,right,-1.0,forward,None,None,10
right,15,red,right,2.0,None,None,None,10
None,14,red,forward,0.0,None,None,None,10
None,13,red,forward,0.0,None,None,None,10
None,12,red,forward,0.0,None,None,None,10
forward,11,green,forward,12.0,None,None,None,10
right,25,red,right,2.0,None,None,None,11
None,24,red,forward,0.0,None,None,None,11
None,23,red,forward,0.0,None,None,None,11
None,22,red,forward,0.0,None,None,None,11
forward,21,green,forward,2.0,None,None,None,11
forward,20,green,forward,2.0,None,None,None,11
forward,19,green,forward,2.0,None,None,None,11
forward,18,green,forward,12.0,None,None,None,11
right,20,green,right,2.0,forward,None,None,12
forward,19,green,forward,2.0,None,None,None,12
None,18,red,left,0.0,None,None,None,12
None,17,red,left,0.0,None,None,None,12
left,16,green,left,2.0,None,None,None,12
forward,15,green,forward,12.0,None,None,None,12
right,30,green,right,2.0,left,None,None,13
right,29,green,right,2.0,None,None,None,13
forward,28,green,forward,2.0,None,None,None,13
forward,27,green,forward,2.0,None,None,None,13
None,26,red,left,0.0,None,None,None,13
None,25,red,left,0.0,None,None,None,13
left,24,green,left,2.0,None,None,None,13
forward,23,green,forward,12.0,None,None,forward,13
left,20,green,left,2.0,None,None,None,14
forward,19,green,forward,2.0,None,None,None,14
forward,18,green,forward,2.0,None,None,None,14
None,17,red,left,0.0,None,None,None,14
left,16,green,left,12.0,None,None,None,14
right,30,green,right,2.0,None,None,None,15
right,29,red,right,2.0,None,None,None,15
None,28,red,forward,0.0,None,None,None,15
forward,27,green,forward,2.0,None,None,None,15
right,26,green,right,2.0,None,None,None,15
None,25,red,forward,0.0,None,None,None,15
None,24,red,forward,0.0,None,None,None,15
None,23,red,forward,0.0,None,None,None,15
forward,22,green,forward,2.0,None,None,None,15
None,21,red,forward,0.0,None,None,None,15
forward,20,green,forward,2.0,None,None,None,15
None,19,red,forward,0.0,None,None,None,15
None,18,red,forward,0.0,None,None,None,15
None,17,red,forward,0.0,None,None,None,15
None,16,red,forward,0.0,None,None,None,15
forward,15,green,forward,2.0,None,None,None,15
None,14,red,forward,0.0,None,None,None,15
None,13,red,forward,0.0,None,None,None,15
forward,12,green,forward,12.0,None,None,None,15
right,40,red,right,2.0,None,None,None,16
right,39,red,right,2.0,None,None,None,16
None,38,red,forward,0.0,None,None,None,16
forward,37,green,forward,2.0,None,None,None,16
None,36,red,forward,0.0,None,None,None,16
