action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,40,green,forward,0.0,0,None,None,None,1
forward,39,green,forward,2.0,1,None,None,None,1
None,38,green,forward,0.0,2,None,None,None,1
None,37,green,forward,0.0,3,None,None,None,1
forward,36,red,forward,-1.0,4,None,None,None,1
left,35,red,forward,-1.0,5,None,None,None,1
right,34,red,forward,-0.5,6,None,None,None,1
left,33,red,left,-1.0,7,None,None,None,1
right,32,green,left,-0.5,8,None,None,None,1
None,31,red,right,0.0,9,None,None,None,1
right,30,red,right,2.0,10,None,None,None,1
None,29,red,right,0.0,11,None,None,None,1
None,28,red,right,0.0,12,None,None,None,1
None,27,red,right,0.0,13,None,None,None,1
None,26,red,right,0.0,14,None,None,None,1
None,25,green,right,0.0,15,None,None,None,1
left,24,green,right,-0.5,16,None,None,None,1
forward,23,green,right,-0.5,17,None,None,None,1
None,22,red,right,0.0,18,None,None,None,1
None,21,red,right,0.0,19,None,None,None,1
None,20,red,right,0.0,20,None,None,None,1
right,19,green,right,2.0,21,None,None,None,1
None,18,red,right,0.0,22,None,None,None,1
None,17,red,right,0.0,23,None,None,None,1
None,16,red,right,0.0,24,None,None,None,1
forward,15,green,right,-0.5,25,None,None,None,1
None,14,red,right,0.0,26,None,None,None,1
None,13,red,right,0.0,27,None,None,None,1
None,12,red,right,0.0,28,None,left,None,1
forward,11,red,right,-1.0,29,None,left,None,1
forward,10,green,right,-0.5,30,None,left,None,1
forward,9,green,right,-0.5,31,None,None,None,1
None,8,red,right,0.0,32,None,None,None,1
None,7,red,right,0.0,33,None,None,None,1
None,6,red,right,0.0,34,None,None,None,1
forward,5,green,right,-0.5,35,None,None,None,1
left,4,red,right,-1.0,36,None,None,None,1
right,3,red,right,2.0,37,None,None,None,1
None,2,red,forward,0.0,38,None,None,None,1
None,1,red,forward,0.0,39,None,None,None,1
None,0,green,forward,0.0,40,None,None,None,1
left,20,red,right,-1.0,0,None,None,None,2
left,19,red,right,-1.0,1,None,None,None,2
left,18,red,right,-1.0,2,None,None,None,2
left,17,red,right,-1.0,3,None,None,None,2
forward,16,red,right,-1.0,4,None,None,None,2
right,15,green,right,2.0,5,None,None,None,2
right,14,green,right,2.0,6,None,None,None,2
right,13,red,right,2.0,7,right,None,None,2
None,12,green,forward,0.0,8,None,None,None,2
None,11,green,forward,0.0,9,None,None,None,2
None,10,red,forward,0.0,10,None,None,None,2
None,9,red,forward,0.0,11,None,None,None,2
None,8,red,forward,0.0,12,None,None,None,2
None,7,red,forward,0.0,13,None,None,None,2
None,6,red,forward,0.0,14,None,None,None,2
None,5,green,forward,0.0,15,None,None,None,2
None,4,green,forward,0.0,16,None,None,None,2
None,3,green,forward,0.0,17,None,None,None,2
None,2,green,forward,0.0,18,None,None,None,2
None,1,green,forward,0.0,19,None,None,None,2
None,0,red,forward,0.0,20,None,None,None,2
forward,25,red,right,-1.0,0,None,None,None,3
forward,24,red,right,-1.0,1,None,None,None,3
forward,23,red,right,-1.0,2,None,None,None,3
forward,22,red,right,-1.0,3,None,None,None,3
right,21,red,right,2.0,4,None,None,None,3
None,20,green,forward,0.0,5,None,None,None,3
None,19,green,forward,0.0,6,None,None,None,3
None,18,green,forward,0.0,7,None,None,None,3
None,17,red,forward,0.0,8,None,None,right,3
None,16,red,forward,0.0,9,None,None,None,3
None,15,red,forward,0.0,10,None,None,None,3
None,14,red,forward,0.0,11,None,None,None,3
None,13,green,forward,0.0,12,None,None,None,3
None,12,green,forward,0.0,13,None,None,None,3
None,11,green,forward,0.0,14,None,None,None,3
None,10,green,forward,0.0,15,None,None,None,3
None,9,red,forward,0.0,16,None,None,None,3
None,8,red,forward,0.0,17,None,None,None,3
None,7,red,forward,0.0,18,None,None,None,3
None,6,red,forward,0.0,19,None,None,None,3
None,5,green,forward,0.0,20,None,None,None,3
None,4,green,forward,0.0,21,None,None,None,3
None,3,green,forward,0.0,22,None,None,None,3
None,2,green,forward,0.0,23,None,None,None,3
None,1,red,forward,0.0,24,None,None,None,3
None,0,red,forward,0.0,25,None,None,None,3
right,35,green,right,2.0,0,None,None,None,4
None,34,red,forward,0.0,1,None,None,None,4
None,33,red,forward,0.0,2,None,None,None,4
None,32,red,forward,0.0,3,None,None,None,4
None,31,green,forward,0.0,4,None,None,None,4
None,30,green,forward,0.0,5,None,None,None,4
None,29,green,forward,0.0,6,None,None,None,4
None,28,green,forward,0.0,7,None,None,None,4
None,27,red,forward,0.0,8,None,None,None,4
None,26,red,forward,0.0,9,None,None,None,4
None,25,red,forward,0.0,10,None,None,None,4
None,24,red,forward,0.0,11,None,None,None,4
None,23,green,forward,0.0,12,None,None,None,4
None,22,green,forward,0.0,13,None,None,None,4
None,21,green,forward,0.0,14,None,None,None,4
None,20,green,forward,0.0,15,None,None,None,4
forward,19,red,forward,-1.0,16,right,None,None,4
None,18,red,forward,0.0,17,None,None,None,4
None,17,red,forward,0.0,18,None,None,None,4
None,16,red,forward,0.0,19,None,None,None,4
right,15,green,forward,-0.5,20,None,None,None,4
right,14,red,left,-0.5,21,None,None,None,4
right,13,green,right,2.0,22,None,None,None,4
right,12,green,right,2.0,23,None,None,None,4
None,11,red,forward,0.0,24,None,None,None,4
None,10,red,forward,0.0,25,None,None,None,4
None,9,red,forward,0.0,26,None,None,None,4
None,8,red,forward,0.0,27,None,None,None,4
left,7,green,forward,-0.5,28,None,None,None,4
forward,6,red,right,-1.0,29,None,None,None,4
right,5,green,right,2.0,30,None,None,None,4
None,4,red,forward,0.0,31,None,None,None,4
None,3,red,forward,0.0,32,None,None,None,4
None,2,red,forward,0.0,33,None,None,None,4
None,1,red,forward,0.0,34,None,None,None,4
forward,0,green,forward,2.0,35,None,None,None,4
None,30,red,forward,0.0,0,None,None,None,5
None,29,red,forward,0.0,1,None,None,None,5
None,28,red,forward,0.0,2,None,None,None,5
None,27,red,forward,0.0,3,None,None,None,5
forward,26,green,forward,2.0,4,None,None,None,5
forward,25,green,forward,2.0,5,None,None,None,5
forward,24,green,forward,2.0,6,None,None,None,5
None,23,red,forward,0.0,7,None,None,None,5
forward,22,green,forward,2.0,8,None,None,None,5
None,21,red,forward,0.0,9,None,None,None,5
None,20,red,forward,0.0,10,None,None,None,5
None,19,red,forward,0.0,11,None,None,None,5
forward,18,green,forward,2.0,12,None,None,None,5
left,17,green,left,12.0,13,None,None,None,5
forward,30,red,right,-1.0,0,None,None,None,6
forward,29,red,right,-1.0,1,None,None,None,6
forward,28,red,right,-1.0,2,None,None,None,6
right,27,green,right,2.0,3,None,None,None,6
forward,26,green,forward,2.0,4,None,None,None,6
forward,25,green,forward,2.0,5,None,None,None,6
right,24,red,left,-0.5,6,None,None,None,6
forward,23,green,forward,2.0,7,None,None,None,6
None,22,red,forward,0.0,8,None,None,None,6
None,21,red,forward,0.0,9,None,None,forward,6
forward,20,green,forward,12.0,10,None,None,forward,6
forward,20,red,right,-1.0,0,None,None,None,7
forward,19,red,right,-1.0,1,None,None,None,7
forward,18,red,right,-1.0,2,None,None,None,7
forward,17,red,right,-1.0,3,None,None,None,7
right,16,green,right,2.0,4,None,None,None,7
right,15,green,right,2.0,5,None,None,None,7
None,14,red,forward,0.0,6,None,None,None,7
None,13,red,forward,0.0,7,None,None,None,7
None,12,red,forward,0.0,8,None,None,None,7
forward,11,green,forward,2.0,9,None,None,None,7
None,10,red,forward,0.0,10,None,None,None,7
None,9,red,forward,0.0,11,None,None,None,7
forward,8,green,forward,2.0,12,None,None,None,7
forward,7,red,right,-1.0,13,None,None,None,7
forward,6,red,right,-1.0,14,None,None,None,7
right,5,green,right,2.0,15,None,None,None,7
None,4,red,forward,0.0,16,None,None,None,7
None,3,red,forward,0.0,17,None,None,None,7
None,2,red,forward,0.0,18,None,None,None,7
None,1,red,forward,0.0,19,None,None,None,7
forward,0,green,forward,12.0,20,None,None,None,7
right,30,red,left,-0.5,0,None,None,None,8
forward,29,red,right,-1.0,1,None,None,None,8
forward,28,red,right,-1.0,2,None,None,None,8
forward,27,red,right,-1.0,3,None,None,None,8
right,26,green,right,2.0,4,None,None,None,8
forward,25,red,right,-1.0,5,None,None,None,8
