action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
right,45,green,forward,-0.5,0,None,None,None,1
None,44,green,left,0.0,1,None,None,None,1
forward,43,green,left,-0.5,2,None,None,None,1
forward,42,green,left,-0.5,3,None,None,None,1
right,41,green,left,-0.5,4,None,None,None,1
None,40,green,right,0.0,5,right,None,None,1
right,39,green,right,2.0,6,None,None,None,1
right,38,red,right,2.0,7,None,None,None,1
None,37,green,forward,0.0,8,None,None,None,1
right,36,green,forward,-0.5,9,None,None,None,1
left,35,green,left,2.0,10,None,None,None,1
right,34,green,forward,-0.5,11,None,None,None,1
right,33,green,left,-0.5,12,None,None,None,1
forward,32,red,right,-1.0,13,None,None,None,1
forward,31,red,right,-1.0,14,None,None,None,1
left,30,red,right,-1.0,15,None,None,None,1
right,29,green,right,2.0,16,None,None,None,1
left,28,red,right,-1.0,17,None,None,None,1
left,27,red,right,-1.0,18,None,None,None,1
left,26,red,right,-1.0,19,None,None,None,1
right,25,green,right,2.0,20,None,None,None,1
right,24,green,forward,-0.5,21,None,None,None,1
forward,23,red,left,-1.0,22,None,None,None,1
left,22,red,left,-1.0,23,None,None,None,1
left,21,green,left,2.0,24,None,None,None,1
left,20,red,forward,-1.0,25,None,None,None,1
left,19,red,forward,-1.0,26,None,None,right,1
forward,18,green,forward,2.0,27,None,None,right,1
None,17,green,forward,0.0,28,forward,None,None,1
forward,16,green,forward,2.0,29,forward,None,None,1
left,15,red,right,-1.0,30,None,None,None,1
left,14,red,right,-1.0,31,None,None,None,1
right,13,red,right,12.0,32,None,None,None,1
left,25,red,left,-1.0,0,None,None,None,2
left,24,red,left,-1.0,1,None,None,None,2
left,23,red,left,-1.0,2,None,None,None,2
None,22,red,left,0.0,3,None,None,None,2
right,21,red,left,-0.5,4,None,None,None,2
left,20,red,right,-1.0,5,None,None,None,2
None,19,green,right,0.0,6,None,None,None,2
left,18,green,right,-0.5,7,None,None,None,2
left,17,red,left,-1.0,8,None,None,None,2
left,16,red,left,-1.0,9,None,None,None,2
forward,15,green,left,-0.5,10,None,None,None,2
None,14,red,left,0.0,11,None,None,None,2
forward,13,green,left,-0.5,12,None,None,None,2
forward,12,green,left,-0.5,13,None,None,None,2
forward,11,green,left,-0.5,14,None,None,None,2
None,10,green,left,0.0,15,None,None,None,2
None,9,red,left,0.0,16,None,None,None,2
None,8,red,left,0.0,17,None,None,None,2
None,7,red,left,0.0,18,None,None,None,2
None,6,red,left,0.0,19,None,None,None,2
None,5,green,left,0.0,20,None,None,None,2
None,4,green,left,0.0,21,None,None,None,2
None,3,green,left,0.0,22,None,None,None,2
None,2,green,left,0.0,23,None,None,None,2
None,1,red,left,0.0,24,None,None,None,2
None,0,red,left,0.0,25,None,None,None,2
forward,30,green,right,-0.5,0,None,None,None,3
left,29,red,right,-1.0,1,None,None,None,3
left,28,red,right,-1.0,2,None,None,None,3
left,27,red,right,-1.0,3,None,None,None,3
None,26,red,right,0.0,4,None,None,None,3
right,25,green,right,2.0,5,None,None,None,3
left,24,red,forward,-1.0,6,None,None,None,3
left,23,red,forward,-1.0,7,None,None,None,3
right,22,red,forward,-0.5,8,None,None,None,3
None,21,green,left,0.0,9,None,None,None,3
forward,20,green,left,-0.5,10,None,left,None,3
None,19,red,left,0.0,11,None,None,None,3
None,18,red,left,0.0,12,None,None,None,3
None,17,red,left,0.0,13,None,None,None,3
None,16,red,left,0.0,14,None,None,None,3
forward,15,green,left,-0.5,15,None,None,None,3
forward,14,green,left,-0.5,16,None,None,None,3
None,13,red,left,0.0,17,None,None,None,3
forward,12,green,left,-0.5,18,None,None,None,3
forward,11,green,left,-0.5,19,None,None,None,3
None,10,red,left,0.0,20,None,None,None,3
None,9,red,left,0.0,21,None,None,None,3
None,8,red,left,0.0,22,None,None,None,3
None,7,red,left,0.0,23,None,None,None,3
None,6,red,left,0.0,24,None,None,None,3
forward,5,green,left,-0.5,25,None,None,None,3
None,4,red,left,0.0,26,None,None,None,3
forward,3,green,left,-0.5,27,None,None,None,3
forward,2,green,left,-0.5,28,None,None,left,3
None,1,red,left,0.0,29,None,None,None,3
None,0,red,left,0.0,30,None,None,None,3
None,25,green,right,0.0,0,None,None,None,4
None,24,green,right,0.0,1,None,None,None,4
None,23,green,right,0.0,2,None,None,None,4
None,22,green,right,0.0,3,None,None,None,4
None,21,red,right,0.0,4,None,None,None,4
None,20,red,right,0.0,5,None,None,None,4
None,19,red,right,0.0,6,None,None,None,4
None,18,red,right,0.0,7,None,None,None,4
None,17,green,right,0.0,8,None,None,None,4
None,16,green,right,0.0,9,None,None,None,4
None,15,green,right,0.0,10,None,None,None,4
None,14,green,right,0.0,11,None,None,None,4
None,13,red,right,0.0,12,None,None,None,4
None,12,red,right,0.0,13,None,None,None,4
None,11,red,right,0.0,14,None,None,None,4
None,10,red,right,0.0,15,None,None,None,4
None,9,green,right,0.0,16,None,None,None,4
None,8,green,right,0.0,17,None,None,None,4
None,7,green,right,0.0,18,None,None,None,4
None,6,green,right,0.0,19,None,None,None,4
None,5,red,right,0.0,20,None,None,None,4
None,4,red,right,0.0,21,None,None,left,4
None,3,red,right,0.0,22,None,None,None,4
None,2,red,right,0.0,23,None,None,None,4
None,1,green,right,0.0,24,None,None,None,4
None,0,green,right,0.0,25,None,None,None,4
None,30,red,left,0.0,0,None,None,None,5
None,29,red,left,0.0,1,None,None,None,5
None,28,red,left,0.0,2,None,None,None,5
forward,27,green,left,-0.5,3,None,None,None,5
forward,26,green,left,-0.5,4,None,None,None,5
None,25,green,left,0.0,5,None,None,None,5
forward,24,green,left,-0.5,6,None,None,None,5
forward,23,green,left,-0.5,7,None,None,None,5
None,22,red,left,0.0,8,None,None,None,5
None,21,red,left,0.0,9,None,None,None,5
forward,20,green,left,-0.5,10,None,None,None,5
forward,19,green,left,-0.5,11,None,None,None,5
None,18,red,left,0.0,12,None,None,None,5
None,17,red,left,0.0,13,None,None,None,5
None,16,red,left,0.0,14,None,None,None,5
forward,15,green,left,-0.5,15,None,None,None,5
None,14,red,left,0.0,16,None,None,None,5
None,13,red,left,0.0,17,None,None,None,5
None,12,red,left,0.0,18,None,None,None,5
None,11,red,left,0.0,19,None,None,None,5
left,10,green,left,2.0,20,forward,None,None,5
left,9,green,forward,-0.5,21,None,None,None,5
None,8,red,right,0.0,22,None,None,None,5
None,7,red,right,0.0,23,None,None,None,5
None,6,green,right,0.0,24,None,None,None,5
None,5,green,right,0.0,25,None,None,None,5
None,4,green,right,0.0,26,None,None,None,5
None,3,red,right,0.0,27,None,None,None,5
None,2,red,right,0.0,28,None,None,None,5
None,1,red,right,0.0,29,None,None,None,5
None,0,green,right,0.0,30,None,None,None,5
None,25,red,right,0.0,0,None,None,None,6
None,24,red,right,0.0,1,None,None,None,6
None,23,red,right,0.0,2,None,None,None,6
None,22,red,right,0.0,3,None,None,None,6
None,21,red,right,0.0,4,None,None,None,6
None,20,green,right,0.0,5,None,None,None,6
None,19,green,right,0.0,6,None,None,None,6
None,18,green,right,0.0,7,None,None,None,6
None,17,green,right,0.0,8,None,None,None,6
None,16,green,right,0.0,9,None,None,None,6
None,15,red,right,0.0,10,None,None,None,6
None,14,red,right,0.0,11,None,None,None,6
None,13,red,right,0.0,12,None,None,None,6
None,12,red,right,0.0,13,None,None,None,6
None,11,red,right,0.0,14,None,None,None,6
None,10,green,right,0.0,15,None,None,None,6
None,9,green,right,0.0,16,None,None,None,6
None,8,green,right,0.0,17,None,None,None,6
None,7,green,right,0.0,18,None,None,None,6
None,6,green,right,0.0,19,None,None,None,6
None,5,red,right,0.0,20,None,None,None,6
None,4,red,right,0.0,21,None,None,None,6
None,3,red,right,0.0,22,None,None,None,6
None,2,red,right,0.0,23,None,None,None,6
None,1,red,right,0.0,24,None,None,None,6
None,0,green,right,0.0,25,None,None,None,6
forward,30,green,left,-0.5,0,None,None,None,7
forward,29,green,left,-0.5,1,None,None,None,7
None,28,red,left,0.0,2,None,None,None,7
forward,27,green,left,-0.5,3,None,None,None,7
forward,26,green,left,-0.5,4,None,None,None,7
forward,25,green,left,-0.5,5,None,None,None,7
forward,24,green,left,-0.5,6,None,None,None,7
None,23,red,left,0.0,7,None,None,None,7
forward,22,green,left,-0.5,8,None,None,None,7
None,21,red,left,0.0,9,None,None,None,7
None,20,red,left,0.0,10,None,None,None,7
forward,19,red,left,-1.0,11,left,None,None,7
right,18,green,left,-0.5,12,left,None,None,7
forward,17,green,forward,2.0,13,None,None,None,7
forward,16,red,forward,-1.0,14,None,None,None,7
left,15,green,forward,-0.5,15,None,None,None,7
None,14,green,right,0.0,16,None,None,None,7
None,13,green,right,0.0,17,None,None,None,7
None,12,green,right,0.0,18,None,None,None,7
None,11,green,right,0.0,19,None,None,None,7
None,10,red,right,0.0,20,None,None,None,7
None,9,red,right,0.0,21,None,None,None,7
None,8,red,right,0.0,22,None,None,None,7
None,7,red,right,0.0,23,None,None,None,7
None,6,red,right,0.0,24,None,None,None,7
None,5,green,right,0.0,25,None,None,None,7
None,4,green,right,0.0,26,None,None,None,7
None,3,green,right,0.0,27,None,None,None,7
None,2,green,right,0.0,28,None,None,None,7
None,1,green,right,0.0,29,None,None,None,7
None,0,red,right,0.0,30,None,None,None,7
None,20,green,right,0.0,0,None,None,None,8
None,19,green,right,0.0,1,None,None,None,8
None,18,green,right,0.0,2,None,None,None,8
None,17,red,right,0.0,3,None,None,None,8
None,16,red,right,0.0,4,None,None,None,8
None,15,red,right,0.0,5,None,None,None,8
None,14,green,right,0.0,6,None,None,None,8
None,13,green,right,0.0,7,None,None,None,8
None,12,green,right,0.0,8,None,None,None,8
None,11,red,right,0.0,9,None,None,None,8
None,10,red,right,0.0,10,None,None,None,8
None,9,red,right,0.0,11,None,None,None,8
None,8,green,right,0.0,12,None,None,None,8
None,7,green,right,0.0,13,None,None,None,8
None,6,green,right,0.0,14,None,None,None,8
None,5,red,right,0.0,15,None,None,None,8
None,4,red,right,0.0,16,None,None,None,8
None,3,red,right,0.0,17,None,None,None,8
None,2,green,right,0.0,18,None,None,None,8
None,1,green,right,0.0,19,None,None,None,8
None,0,green,right,0.0,20,None,None,None,8
None,25,green,right,0.0,0,None,None,None,9
None,24,green,right,0.0,1,None,None,None,9
None,23,green,right,0.0,2,None,None,None,9
None,22,red,right,0.0,3,None,None,None,9
None,21,red,right,0.0,4,None,None,None,9
None,20,red,right,0.0,5,None,None,None,9
None,19,green,right,0.0,6,None,None,None,9
None,18,green,right,0.0,7,None,None,None,9
None,17,green,right,0.0,8,None,None,None,9
None,16,red,right,0.0,9,None,None,None,9
forward,15,red,right,-1.0,10,left,None,None,9
left,14,red,right,-1.0,11,None,None,None,9
None,13,green,right,0.0,12,None,None,None,9
None,12,green,right,0.0,13,None,None,None,9
None,11,green,right,0.0,14,None,None,None,9
left,10,red,right,-1.0,15,None,None,None,9
left,9,red,right,-1.0,16,None,None,None,9
right,8,red,right,2.0,17,None,None,None,9
left,7,green,forward,-0.5,18,None,None,None,9
forward,6,green,right,-0.5,19,forward,None,None,9
right,5,green,right,2.0,20,None,None,None,9
None,4,red,forward,0.0,21,None,None,None,9
None,3,red,forward,0.0,22,None,None,None,9
None,2,red,forward,0.0,23,None,None,None,9
left,1,green,forward,-0.5,24,None,None,None,9
right,0,green,right,2.0,25,None,None,None,9
left,25,red,forward,-1.0,0,None,left,None,10
right,24,red,forward,-0.5,1,None,left,None,10
left,23,red,left,-1.0,2,None,None,None,10
forward,22,green,left,-0.5,3,None,None,None,10
forward,21,green,left,-0.5,4,None,None,None,10
left,20,red,left,-1.0,5,None,None,None,10
left,19,red,left,-1.0,6,None,None,None,10
None,18,red,left,0.0,7,None,None,None,10
None,17,green,left,0.0,8,None,None,None,10
None,16,green,left,0.0,9,None,None,None,10
None,15,green,left,0.0,10,None,None,None,10
None,14,green,left,0.0,11,None,None,None,10
None,13,red,left,0.0,12,None,None,None,10
None,12,red,left,0.0,13,None,None,None,10
None,11,red,left,0.0,14,None,None,None,10
None,10,red,left,0.0,15,None,None,None,10
None,9,green,left,0.0,16,None,None,None,10
None,8,green,left,0.0,17,None,None,None,10
None,7,green,left,0.0,18,None,None,None,10
None,6,green,left,0.0,19,None,None,None,10
None,5,red,left,0.0,20,None,None,None,10
None,4,red,left,0.0,21,None,None,left,10
None,3,red,left,0.0,22,None,None,None,10
None,2,red,left,0.0,23,None,None,None,10
None,1,green,left,0.0,24,None,None,None,10
None,0,green,left,0.0,25,None,None,None,10
None,45,green,left,0.0,0,None,None,None,11
None,44,green,left,0.0,1,None,None,None,11
None,43,green,left,0.0,2,None,None,None,11
None,42,green,left,0.0,3,right,None,None,11
None,41,green,left,0.0,4,None,None,None,11
None,40,red,left,0.0,5,None,None,None,11
None,39,red,left,0.0,6,None,None,None,11
None,38,red,left,0.0,7,None,None,None,11
None,37,red,left,0.0,8,None,None,left,11
None,36,red,left,0.0,9,None,None,None,11
None,35,green,left,0.0,10,None,None,None,11
None,34,green,left,0.0,11,None,None,None,11
None,33,green,left,0.0,12,None,None,None,11
None,32,green,left,0.0,13,None,None,None,11
None,31,green,left,0.0,14,None,None,None,11
None,30,red,left,0.0,15,None,None,None,11
None,29,red,left,0.0,16,None,None,None,11
None,28,red,left,0.0,17,None,None,None,11
None,27,red,left,0.0,18,None,None,None,11
None,26,red,left,0.0,19,None,None,None,11
None,25,green,left,0.0,20,None,None,None,11
None,24,green,left,0.0,21,None,None,None,11
None,23,green,left,0.0,22,None,None,None,11
None,22,green,left,0.0,23,None,None,None,11
None,21,green,left,0.0,24,None,None,None,11
right,20,red,left,-0.5,25,None,None,None,11
right,19,red,forward,-0.5,26,None,None,None,11
None,18,green,left,0.0,27,None,None,None,11
None,17,red,left,0.0,28,None,None,None,11
None,16,red,left,0.0,29,None,None,None,11
None,15,red,left,0.0,30,None,None,None,11
None,14,red,left,0.0,31,None,None,None,11
None,13,green,left,0.0,32,None,None,None,11
None,12,green,left,0.0,33,None,None,None,11
None,11,green,left,0.0,34,None,None,None,11
None,10,green,left,0.0,35,None,None,None,11
None,9,red,left,0.0,36,None,None,None,11
None,8,red,left,0.0,37,None,None,None,11
None,7,red,left,0.0,38,None,None,None,11
None,6,red,left,0.0,39,None,None,None,11
None,5,green,left,0.0,40,None,None,None,11
None,4,green,left,0.0,41,None,None,None,11
None,3,green,left,0.0,42,None,None,None,11
None,2,green,left,0.0,43,None,None,None,11
None,1,red,left,0.0,44,None,None,None,11
None,0,red,left,0.0,45,None,None,None,11
left,25,red,right,-1.0,0,None,None,None,12
left,24,red,right,-1.0,1,None,None,None,12
left,23,red,right,-1.0,2,None,None,None,12
None,22,green,right,0.0,3,None,None,None,12
None,21,green,right,0.0,4,None,None,None,12
None,20,green,right,0.0,5,None,None,None,12
left,19,red,right,-1.0,6,None,None,None,12
left,18,red,right,-1.0,7,None,None,None,12
right,17,red,right,2.0,8,None,None,None,12
left,16,green,forward,-0.5,9,None,None,None,12
right,15,green,right,2.0,10,None,None,None,12
right,14,red,forward,-0.5,11,None,None,None,12
None,13,green,left,0.0,12,None,None,None,12
None,12,green,left,0.0,13,None,None,None,12
None,11,green,left,0.0,14,None,None,None,12
left,10,red,left,-1.0,15,None,None,None,12
left,9,red,left,-1.0,16,None,None,None,12
None,8,red,left,0.0,17,None,None,None,12
left,7,red,left,-1.0,18,None,None,None,12
left,6,red,left,-1.0,19,None,None,None,12
right,5,green,left,-0.5,20,None,None,None,12
left,4,red,right,-1.0,21,None,None,None,12
left,3,red,right,-1.0,22,None,None,None,12
left,2,red,right,-1.0,23,None,None,None,12
right,1,red,right,2.0,24,None,None,None,12
right,0,green,right,2.0,25,None,None,None,12
right,20,red,right,2.0,0,None,None,None,13
left,19,green,forward,-0.5,1,None,None,None,13
right,18,green,right,2.0,2,None,None,None,13
right,17,green,left,-0.5,3,None,None,None,13
left,16,red,right,-1.0,4,None,None,None,13
right,15,green,right,2.0,5,None,None,None,13
left,14,red,right,-1.0,6,None,None,None,13
left,13,red,right,-1.0,7,None,None,None,13
right,12,red,right,2.0,8,None,None,None,13
left,11,red,right,-1.0,9,None,None,None,13
left,10,red,right,-1.0,10,None,None,None,13
left,9,red,right,-1.0,11,None,None,None,13
right,8,green,right,2.0,12,None,None,None,13
right,7,red,left,-0.5,13,None,None,None,13
left,6,red,right,-1.0,14,None,None,None,13
right,5,green,right,2.0,15,None,None,None,13
None,4,red,right,0.0,16,None,forward,None,13
None,3,red,right,0.0,17,None,forward,None,13
left,2,red,right,-1.0,18,None,forward,None,13
forward,1,red,right,-1.0,19,None,forward,None,13
right,0,green,right,2.0,20,None,None,None,13
right,20,green,right,2.0,0,None,left,None,14
left,19,red,right,-1.0,1,None,None,None,14
left,18,red,right,-1.0,2,None,None,None,14
right,17,green,right,2.0,3,None,None,None,14
right,16,red,forward,-0.5,4,None,None,None,14
right,15,green,left,-0.5,5,None,None,None,14
right,14,green,right,2.0,6,None,None,None,14
left,13,red,right,-1.0,7,None,None,None,14
left,12,red,right,-1.0,8,None,None,None,14
right,11,green,right,2.0,9,None,None,None,14
left,10,green,forward,-0.5,10,None,None,None,14
right,9,green,right,2.0,11,None,None,None,14
right,8,green,right,2.0,12,None,None,None,14
left,7,red,forward,-1.0,13,None,None,None,14
left,6,red,forward,-1.0,14,None,None,None,14
left,5,green,forward,-0.5,15,None,None,None,14
left,4,red,right,-1.0,16,None,None,None,14
left,3,red,right,-1.0,17,None,None,None,14
left,2,red,right,-1.0,18,None,None,None,14
right,1,red,right,2.0,19,None,None,None,14
right,0,green,right,2.0,20,None,None,None,14
right,55,green,right,2.0,0,None,None,None,15
left,54,green,forward,-0.5,1,None,None,None,15
right,53,red,right,2.0,2,None,None,None,15
left,52,green,forward,-0.5,3,None,None,None,15
left,51,red,right,-1.0,4,None,None,None,15
left,50,red,right,-1.0,5,None,None,None,15
right,49,green,right,2.0,6,None,None,None,15
left,48,green,forward,-0.5,7,None,None,None,15
right,47,green,right,2.0,8,None,None,None,15
left,46,red,forward,-1.0,9,None,None,None,15
left,45,green,forward,-0.5,10,None,None,None,15
left,44,red,right,-1.0,11,None,None,None,15
left,43,red,right,-1.0,12,None,None,None,15
right,42,red,right,2.0,13,None,None,None,15
