action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,20,green,forward,-0.5,0,None,None,None,1
None,19,red,right,0.0,1,None,None,None,1
left,18,red,right,-1.0,2,None,None,None,1
right,17,red,right,2.0,3,None,None,None,1
left,16,red,right,-1.0,4,None,None,None,1
None,15,red,right,0.0,5,None,None,None,1
left,14,red,right,-1.0,6,None,None,None,1
left,13,red,right,-1.0,7,None,None,None,1
forward,12,green,right,-0.5,8,None,None,None,1
left,11,red,right,-1.0,9,None,None,None,1
left,10,red,right,-1.0,10,None,None,None,1
forward,9,red,right,-1.0,11,None,None,None,1
right,8,green,right,2.0,12,None,None,None,1
None,7,red,left,0.0,13,None,None,None,1
right,6,red,left,-0.5,14,None,None,None,1
forward,5,red,right,-1.0,15,None,None,None,1
left,4,green,right,-0.5,16,None,None,left,1
right,3,green,right,2.0,17,None,right,None,1
forward,2,red,right,-1.0,18,None,None,None,1
forward,1,red,right,-1.0,19,None,None,None,1
forward,0,red,right,-1.0,20,None,None,None,1
None,30,red,right,0.0,0,None,None,None,2
None,29,red,right,0.0,1,None,None,None,2
None,28,red,right,0.0,2,None,None,None,2
None,27,red,right,0.0,3,None,None,None,2
None,26,red,right,0.0,4,None,None,None,2
left,25,green,right,-0.5,5,None,None,None,2
forward,24,red,forward,-1.0,6,None,None,None,2
right,23,red,forward,-0.5,7,None,None,None,2
None,22,green,left,0.0,8,None,None,None,2
None,21,green,left,0.0,9,None,None,None,2
left,20,red,left,-1.0,10,None,None,None,2
forward,19,red,left,-1.0,11,None,None,None,2
forward,18,red,left,-1.0,12,None,None,None,2
None,17,red,left,0.0,13,None,None,None,2
None,16,red,left,0.0,14,None,None,None,2
left,15,green,left,2.0,15,None,None,None,2
None,14,red,forward,0.0,16,None,None,None,2
right,13,red,forward,-0.5,17,None,None,None,2
None,12,red,left,0.0,18,None,None,None,2
None,11,red,left,0.0,19,None,None,None,2
forward,10,green,left,-0.5,20,None,None,right,2
forward,9,green,left,-0.5,21,None,None,None,2
None,8,red,left,0.0,22,None,None,None,2
None,7,red,left,0.0,23,None,None,None,2
left,6,green,left,2.0,24,None,None,None,2
right,5,red,forward,-0.5,25,None,None,None,2
None,4,red,left,0.0,26,None,None,None,2
right,3,green,left,-0.5,27,None,None,None,2
left,2,green,right,-0.5,28,None,None,None,2
forward,1,green,left,-0.5,29,forward,None,None,2
None,0,red,left,0.0,30,None,None,None,2
None,40,red,right,0.0,0,None,None,None,3
None,39,red,right,0.0,1,None,None,None,3
None,38,red,right,0.0,2,None,None,None,3
None,37,green,right,0.0,3,None,None,None,3
left,36,green,right,-0.5,4,None,None,None,3
forward,35,green,forward,2.0,5,None,None,None,3
right,34,green,forward,-0.5,6,None,None,None,3
left,33,green,left,2.0,7,None,None,None,3
right,32,red,forward,-0.5,8,None,None,None,3
None,31,red,left,0.0,9,None,None,None,3
None,30,red,left,0.0,10,None,None,None,3
None,29,red,left,0.0,11,None,None,None,3
left,28,green,left,2.0,12,None,None,None,3
right,27,red,forward,-0.5,13,None,None,None,3
left,26,green,left,2.0,14,None,None,None,3
left,25,green,right,-0.5,15,None,None,forward,3
left,24,green,right,-0.5,16,None,None,None,3
left,23,green,right,-0.5,17,None,None,None,3
None,22,red,left,0.0,18,None,None,None,3
None,21,red,left,0.0,19,None,None,None,3
left,20,green,left,2.0,20,None,None,None,3
left,19,green,right,-0.5,21,None,None,None,3
left,18,green,right,-0.5,22,None,None,None,3
left,17,green,right,-0.5,23,None,None,None,3
None,16,red,left,0.0,24,None,None,None,3
None,15,red,left,0.0,25,None,None,None,3
None,14,red,left,0.0,26,None,None,None,3
None,13,red,left,0.0,27,None,None,None,3
left,12,green,left,2.0,28,None,None,None,3
left,11,green,right,-0.5,29,None,None,None,3
None,10,red,right,0.0,30,None,None,None,3
None,9,red,right,0.0,31,None,None,None,3
None,8,red,right,0.0,32,None,None,None,3
left,7,green,right,-0.5,33,None,None,None,3
left,6,green,right,-0.5,34,None,None,None,3
None,5,red,left,0.0,35,None,None,None,3
left,4,green,left,2.0,36,None,None,None,3
left,3,green,right,-0.5,37,None,None,None,3
None,2,red,right,0.0,38,None,None,None,3
left,1,green,right,-0.5,39,None,None,None,3
left,0,green,right,-0.5,40,None,None,None,3
left,30,green,right,-0.5,0,None,None,None,4
forward,29,green,left,-0.5,1,left,None,None,4
left,28,green,left,2.0,2,None,None,None,4
right,27,red,forward,-0.5,3,None,None,None,4
left,26,green,left,2.0,4,None,None,None,4
right,25,green,forward,-0.5,5,None,None,None,4
left,24,green,left,2.0,6,None,None,None,4
None,23,red,left,0.0,7,None,None,None,4
None,22,red,left,0.0,8,None,None,None,4
None,21,red,left,0.0,9,None,None,None,4
left,20,green,left,12.0,10,None,None,None,4
right,20,red,forward,-0.5,0,None,None,None,5
None,19,red,left,0.0,1,None,None,None,5
None,18,red,left,0.0,2,None,None,None,5
left,17,green,left,2.0,3,None,None,None,5
right,16,green,forward,-0.5,4,None,None,None,5
None,15,red,left,0.0,5,None,None,None,5
None,14,red,left,0.0,6,None,None,None,5
None,13,red,left,0.0,7,None,None,None,5
left,12,green,left,2.0,8,None,None,None,5
right,11,red,forward,-0.5,9,None,None,None,5
None,10,red,left,0.0,10,None,None,None,5
None,9,red,left,0.0,11,None,None,None,5
left,8,green,left,2.0,12,None,None,None,5
right,7,green,right,2.0,13,None,None,None,5
right,6,red,forward,-0.5,14,None,None,None,5
None,5,red,right,0.0,15,None,None,None,5
right,4,green,right,2.0,16,None,None,None,5
None,3,red,right,0.0,17,None,None,None,5
right,2,green,right,2.0,18,None,None,None,5
right,1,green,right,2.0,19,None,None,None,5
right,0,red,forward,-0.5,20,None,None,None,5
right,55,green,forward,-0.5,0,None,None,None,6
left,54,green,left,2.0,1,None,None,None,6
right,53,green,forward,-0.5,2,None,None,None,6
left,52,green,left,2.0,3,None,None,None,6
right,51,green,forward,-0.5,4,None,None,None,6
None,50,red,left,0.0,5,None,None,None,6
None,49,red,left,0.0,6,None,None,None,6
None,48,red,left,0.0,7,None,None,None,6
forward,47,green,left,-0.5,8,left,None,None,6
left,46,green,left,2.0,9,None,None,None,6
right,45,green,forward,-0.5,10,None,None,None,6
None,44,red,left,0.0,11,None,None,None,6
None,43,red,left,0.0,12,None,None,None,6
None,42,red,left,0.0,13,None,None,None,6
None,41,red,left,0.0,14,None,None,None,6
left,40,green,left,2.0,15,None,None,None,6
right,39,red,forward,-0.5,16,None,None,None,6
left,38,green,left,2.0,17,None,None,None,6
right,37,red,forward,-0.5,18,None,None,None,6
None,36,red,left,0.0,19,None,None,None,6
None,35,red,left,0.0,20,None,None,None,6
left,34,green,left,2.0,21,None,None,None,6
right,33,green,right,2.0,22,None,None,None,6
right,32,red,forward,-0.5,23,None,None,None,6
right,31,green,right,2.0,24,None,None,None,6
None,30,red,right,0.0,25,None,None,None,6
None,29,red,right,0.0,26,None,None,None,6
right,28,green,right,2.0,27,None,None,None,6
None,27,red,right,0.0,28,None,None,None,6
None,26,red,right,0.0,29,None,None,None,6
right,25,green,right,2.0,30,None,None,None,6
right,24,red,forward,-0.5,31,None,None,None,6
right,23,green,right,2.0,32,None,None,None,6
right,22,green,right,2.0,33,None,None,None,6
right,21,green,right,2.0,34,None,None,None,6
right,20,green,forward,-0.5,35,None,None,None,6
None,19,red,right,0.0,36,None,None,None,6
None,18,red,right,0.0,37,None,None,None,6
None,17,red,right,0.0,38,None,None,None,6
None,16,red,right,0.0,39,None,None,None,6
right,15,green,right,2.0,40,None,None,None,6
right,14,green,right,2.0,41,None,None,None,6
right,13,green,right,2.0,42,None,None,None,6
right,12,green,forward,-0.5,43,None,None,None,6
None,11,red,right,0.0,44,None,None,None,6
None,10,red,right,0.0,45,None,None,None,6
None,9,red,right,0.0,46,None,None,None,6
None,8,red,right,0.0,47,None,None,None,6
right,7,green,right,2.0,48,None,None,None,6
None,6,red,right,0.0,49,None,None,None,6
None,5,red,right,0.0,50,None,None,None,6
right,4,green,right,2.0,51,None,None,None,6
right,3,green,right,2.0,52,None,None,None,6
right,2,red,forward,-0.5,53,None,None,None,6
None,1,red,right,0.0,54,None,None,None,6
right,0,red,right,2.0,55,None,None,None,6
left,30,green,left,2.0,0,None,None,None,7
right,29,red,forward,-0.5,1,None,None,None,7
left,28,green,left,2.0,2,None,None,None,7
None,27,red,right,0.0,3,None,None,None,7
None,26,red,right,0.0,4,None,None,None,7
None,25,red,right,0.0,5,None,None,None,7
right,24,green,right,2.0,6,None,None,None,7
right,23,red,forward,-0.5,7,None,None,None,7
