action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,35,green,right,0.0,0,None,None,None,1
right,34,green,right,2.0,1,None,None,None,1
None,33,green,right,0.0,2,None,None,None,1
None,32,green,right,0.0,3,None,None,None,1
None,31,red,right,0.0,4,None,None,None,1
forward,30,red,right,-1.0,5,None,None,None,1
left,29,red,right,-1.0,6,None,None,None,1
left,28,red,right,-1.0,7,None,None,None,1
None,27,green,right,0.0,8,None,None,None,1
None,26,green,right,0.0,9,None,None,None,1
None,25,green,right,0.0,10,None,None,None,1
None,24,green,right,0.0,11,None,None,None,1
right,23,red,right,2.0,12,None,None,None,1
forward,22,green,forward,12.0,13,None,None,None,1
None,25,green,right,0.0,0,None,None,None,2
None,24,green,right,0.0,1,None,None,None,2
None,23,green,right,0.0,2,None,None,None,2
None,22,green,right,0.0,3,None,None,None,2
right,21,red,right,2.0,4,None,None,None,2
right,20,red,right,2.0,5,None,None,None,2
left,19,green,forward,-0.5,6,None,None,left,2
None,18,green,right,0.0,7,None,None,None,2
None,17,green,right,0.0,8,None,None,None,2
None,16,green,right,0.0,9,None,None,None,2
right,15,red,right,2.0,10,None,None,None,2
None,14,red,forward,0.0,11,None,None,None,2
left,13,green,forward,-0.5,12,None,None,left,2
right,12,red,right,2.0,13,None,None,None,2
left,11,red,forward,-1.0,14,None,None,None,2
left,10,green,forward,-0.5,15,None,None,None,2
right,9,red,right,2.0,16,None,None,None,2
right,8,red,right,2.0,17,None,None,None,2
left,7,green,forward,-0.5,18,None,None,None,2
right,6,red,right,2.0,19,None,None,None,2
None,5,green,right,0.0,20,None,None,None,2
None,4,green,right,0.0,21,None,None,None,2
None,3,green,right,0.0,22,None,None,None,2
None,2,green,right,0.0,23,None,None,None,2
None,1,green,right,0.0,24,None,None,None,2
right,0,red,right,2.0,25,None,None,None,2
right,25,red,right,2.0,0,None,None,None,3
forward,24,red,forward,-1.0,1,None,None,None,3
forward,23,red,forward,-1.0,2,None,None,None,3
right,22,red,forward,-0.5,3,None,None,None,3
right,21,red,left,-0.5,4,None,None,None,3
right,20,red,right,2.0,5,None,None,None,3
None,19,green,right,0.0,6,None,None,None,3
None,18,green,right,0.0,7,None,None,None,3
right,17,red,right,2.0,8,None,None,None,3
left,16,green,forward,-0.5,9,None,None,None,3
right,15,red,right,2.0,10,None,None,None,3
forward,14,red,forward,-1.0,11,None,right,None,3
left,13,green,forward,-0.5,12,None,None,None,3
right,12,red,right,2.0,13,None,None,None,3
None,11,red,forward,0.0,14,None,None,None,3
left,10,red,forward,-1.0,15,None,None,None,3
left,9,green,forward,-0.5,16,None,None,None,3
None,8,green,right,0.0,17,None,left,None,3
left,7,red,right,-1.0,18,None,left,None,3
None,6,red,right,0.0,19,None,left,None,3
forward,5,red,right,-1.0,20,None,left,None,3
forward,4,green,right,-0.5,21,None,left,None,3
right,3,red,right,2.0,22,None,None,None,3
left,2,green,forward,-0.5,23,None,None,None,3
None,1,green,right,0.0,24,None,None,None,3
None,0,green,right,0.0,25,None,None,None,3
right,40,red,right,2.0,0,None,None,None,4
left,39,green,forward,-0.5,1,None,None,None,4
None,38,green,right,0.0,2,None,None,None,4
right,37,red,right,2.0,3,None,None,None,4
left,36,red,forward,-1.0,4,None,None,None,4
left,35,red,forward,-1.0,5,None,None,None,4
right,34,red,forward,-0.5,6,None,None,None,4
right,33,red,left,-0.5,7,None,None,None,4
None,32,green,right,0.0,8,None,None,None,4
None,31,green,right,0.0,9,None,None,None,4
None,30,green,right,0.0,10,None,None,None,4
None,29,green,right,0.0,11,None,None,None,4
right,28,red,right,2.0,12,None,None,None,4
None,27,green,right,0.0,13,None,None,None,4
None,26,green,right,0.0,14,None,None,None,4
right,25,red,right,2.0,15,None,None,None,4
left,24,green,forward,-0.5,16,None,None,None,4
None,23,green,right,0.0,17,None,None,None,4
None,22,green,right,0.0,18,None,None,None,4
None,21,green,right,0.0,19,None,None,None,4
right,20,red,right,2.0,20,None,None,None,4
right,19,red,forward,-0.5,21,None,None,None,4
None,18,green,left,0.0,22,None,None,None,4
forward,17,green,left,-0.5,23,None,None,right,4
right,16,green,left,-0.5,24,None,None,None,4
None,15,green,right,0.0,25,None,None,None,4
None,14,green,right,0.0,26,None,None,None,4
right,13,red,right,2.0,27,None,None,None,4
None,12,green,right,0.0,28,None,None,None,4
None,11,green,right,0.0,29,None,None,None,4
None,10,green,right,0.0,30,None,None,None,4
None,9,green,right,0.0,31,None,None,None,4
right,8,red,right,2.0,32,None,None,None,4
right,7,red,forward,-0.5,33,None,None,None,4
left,6,green,left,2.0,34,None,None,None,4
left,5,green,forward,-0.5,35,None,None,None,4
right,4,red,right,2.0,36,None,None,None,4
left,3,green,forward,-0.5,37,None,None,None,4
None,2,green,right,0.0,38,None,None,None,4
None,1,green,right,0.0,39,None,None,None,4
right,0,red,right,2.0,40,None,None,None,4
forward,30,green,right,-0.5,0,None,left,None,5
right,29,red,right,2.0,1,None,None,None,5
None,28,green,right,0.0,2,None,None,None,5
right,27,red,right,2.0,3,None,None,None,5
left,26,green,forward,-0.5,4,None,None,left,5
None,25,green,right,0.0,5,None,None,None,5
None,24,green,right,0.0,6,None,None,None,5
None,23,green,right,0.0,7,None,None,None,5
None,22,green,right,0.0,8,None,None,None,5
None,21,green,right,0.0,9,None,None,None,5
right,20,red,right,2.0,10,None,None,None,5
left,19,green,forward,-0.5,11,None,None,None,5
right,18,red,right,2.0,12,None,None,None,5
right,17,red,forward,-0.5,13,None,None,None,5
