action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,35,red,forward,0.0,0,None,forward,None,1
None,34,red,forward,0.0,1,None,forward,None,1
None,33,red,forward,0.0,2,None,forward,None,1
right,32,red,forward,-0.5,3,None,forward,None,1
right,31,red,left,-0.5,4,None,None,None,1
left,30,green,forward,-0.5,5,None,None,None,1
right,29,green,right,2.0,6,None,None,None,1
left,28,green,right,-0.5,7,None,None,None,1
right,27,red,right,2.0,8,None,None,None,1
left,26,green,right,-0.5,9,None,None,None,1
left,25,green,left,2.0,10,None,None,None,1
left,24,red,right,-1.0,11,None,None,None,1
None,23,red,right,0.0,12,None,None,None,1
forward,22,red,right,-1.0,13,None,None,None,1
left,21,red,right,-1.0,14,None,None,None,1
left,20,green,right,-0.5,15,None,None,None,1
right,19,red,forward,-0.5,16,None,None,None,1
left,18,green,right,-0.5,17,None,None,None,1
right,17,green,left,-0.5,18,None,None,None,1
left,16,red,forward,-1.0,19,None,None,None,1
left,15,green,forward,-0.5,20,None,None,None,1
left,14,red,right,-1.0,21,None,None,None,1
left,13,red,right,-1.0,22,None,None,None,1
left,12,red,right,-1.0,23,None,None,None,1
left,11,green,right,-0.5,24,None,None,None,1
left,10,green,forward,-0.5,25,None,None,None,1
left,9,green,right,-0.5,26,None,None,None,1
None,8,red,forward,0.0,27,None,None,None,1
left,7,green,forward,-0.5,28,None,None,None,1
left,6,red,right,-1.0,29,None,None,None,1
left,5,green,right,-0.5,30,None,None,None,1
forward,4,red,forward,-1.0,31,None,None,None,1
forward,3,red,forward,-1.0,32,None,None,None,1
right,2,red,forward,-0.5,33,None,None,None,1
None,1,green,left,0.0,34,None,None,None,1
None,0,green,left,0.0,35,None,None,None,1
right,35,red,forward,-0.5,0,None,None,right,2
forward,34,green,left,-0.5,1,None,None,None,2
forward,33,green,left,-0.5,2,None,None,None,2
None,32,green,left,0.0,3,None,None,None,2
None,31,green,left,0.0,4,None,None,None,2
left,30,red,left,-1.0,5,None,None,None,2
None,29,red,left,0.0,6,None,None,None,2
left,28,red,left,-1.0,7,None,None,None,2
left,27,red,left,-1.0,8,None,None,None,2
forward,26,red,left,-1.0,9,None,None,None,2
None,25,green,left,0.0,10,None,None,None,2
None,24,green,left,0.0,11,None,None,None,2
None,23,green,left,0.0,12,None,None,None,2
None,22,green,left,0.0,13,None,None,None,2
None,21,green,left,0.0,14,None,None,None,2
forward,20,red,left,-1.0,15,None,None,None,2
forward,19,red,left,-1.0,16,None,None,None,2
forward,18,red,left,-1.0,17,None,None,None,2
left,17,red,left,-1.0,18,None,None,None,2
left,16,red,left,-1.0,19,None,None,None,2
None,15,green,left,0.0,20,None,None,None,2
None,14,green,left,0.0,21,None,None,None,2
None,13,green,left,0.0,22,None,None,None,2
None,12,green,left,0.0,23,None,None,None,2
None,11,green,left,0.0,24,None,None,None,2
left,10,red,left,-1.0,25,None,None,None,2
left,9,red,left,-1.0,26,None,None,None,2
forward,8,red,left,-1.0,27,None,None,None,2
forward,7,red,left,-1.0,28,None,None,None,2
