action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,30,green,right,0.0,0,None,None,None,1
forward,29,green,right,-0.5,1,None,None,None,1
forward,28,red,right,-1.0,2,None,None,None,1
left,27,green,right,-0.5,3,None,None,None,1
right,26,green,right,2.0,4,None,None,None,1
left,25,red,right,-1.0,5,None,None,None,1
None,24,red,right,0.0,6,None,None,None,1
right,23,red,right,2.0,7,None,None,None,1
None,22,red,forward,0.0,8,None,None,None,1
None,21,red,forward,0.0,9,None,None,None,1
forward,20,red,forward,-1.0,10,None,None,None,1
left,19,red,forward,-1.0,11,None,None,None,1
left,18,green,forward,-0.5,12,None,None,None,1
left,17,green,right,-0.5,13,None,None,None,1
None,16,red,right,0.0,14,None,None,None,1
left,15,green,right,-0.5,15,None,None,None,1
right,14,red,left,-0.5,16,None,None,None,1
right,13,red,forward,-0.5,17,None,None,None,1
left,12,red,left,-1.0,18,None,None,None,1
left,11,red,left,-1.0,19,None,None,None,1
forward,10,red,left,-1.0,20,None,None,None,1
left,9,green,left,2.0,21,None,None,None,1
left,8,green,right,-0.5,22,None,None,None,1
left,7,green,right,-0.5,23,None,None,None,1
None,6,red,right,0.0,24,None,None,None,1
None,5,red,right,0.0,25,None,None,None,1
None,4,red,right,0.0,26,None,None,None,1
None,3,red,right,0.0,27,None,None,None,1
left,2,green,right,-0.5,28,None,None,None,1
forward,1,green,left,-0.5,29,None,None,None,1
forward,0,red,left,-1.0,30,None,None,None,1
None,40,green,forward,0.0,0,None,None,None,2
forward,39,green,forward,2.0,1,None,None,None,2
None,38,green,forward,0.0,2,None,None,None,2
None,37,green,forward,0.0,3,None,None,None,2
None,36,green,forward,0.0,4,None,None,None,2
None,35,red,forward,0.0,5,None,None,None,2
None,34,red,forward,0.0,6,None,None,None,2
None,33,red,forward,0.0,7,None,None,None,2
None,32,red,forward,0.0,8,None,None,None,2
None,31,red,forward,0.0,9,None,None,None,2
None,30,green,forward,0.0,10,None,None,None,2
None,29,green,forward,0.0,11,None,None,None,2
None,28,green,forward,0.0,12,None,None,None,2
None,27,green,forward,0.0,13,None,None,None,2
None,26,green,forward,0.0,14,None,None,None,2
None,25,red,forward,0.0,15,None,None,None,2
None,24,red,forward,0.0,16,None,None,None,2
None,23,red,forward,0.0,17,None,None,None,2
None,22,red,forward,0.0,18,None,None,None,2
None,21,red,forward,0.0,19,None,None,None,2
None,20,green,forward,0.0,20,None,None,None,2
None,19,green,forward,0.0,21,None,None,None,2
None,18,green,forward,0.0,22,None,None,None,2
left,17,green,forward,-1.0,23,None,right,None,2
right,16,green,forward,-0.5,24,None,None,None,2
right,15,green,left,-0.5,25,None,None,None,2
None,14,red,right,0.0,26,None,None,None,2
None,13,red,right,0.0,27,None,None,None,2
left,12,green,right,-0.5,28,None,None,None,2
forward,11,red,left,-1.0,29,None,None,None,2
forward,10,red,left,-1.0,30,None,None,None,2
forward,9,red,left,-1.0,31,None,None,None,2
right,8,green,left,-0.5,32,None,None,None,2
left,7,green,right,-0.5,33,None,None,None,2
forward,6,red,left,-1.0,34,None,None,None,2
forward,5,red,left,-1.0,35,None,None,right,2
None,4,green,left,0.0,36,None,None,None,2
None,3,green,left,0.0,37,None,None,None,2
None,2,green,left,0.0,38,None,None,None,2
None,1,red,left,0.0,39,None,None,None,2
None,0,red,left,0.0,40,None,None,None,2
left,20,green,right,-0.5,0,None,None,None,3
right,19,red,right,2.0,1,None,None,None,3
left,18,green,right,-0.5,2,None,None,None,3
left,17,green,right,-0.5,3,None,None,None,3
None,16,green,left,0.0,4,None,None,None,3
None,15,green,left,0.0,5,None,None,None,3
None,14,green,left,0.0,6,None,None,None,3
None,13,green,left,0.0,7,None,None,None,3
None,12,red,left,0.0,8,None,None,None,3
None,11,red,left,0.0,9,None,None,None,3
None,10,red,left,0.0,10,None,None,None,3
None,9,red,left,0.0,11,None,None,None,3
None,8,green,left,0.0,12,None,None,None,3
None,7,green,left,0.0,13,None,None,None,3
None,6,green,left,0.0,14,None,None,None,3
None,5,green,left,0.0,15,None,None,None,3
None,4,red,left,0.0,16,None,None,None,3
None,3,red,left,0.0,17,None,None,None,3
None,2,red,left,0.0,18,None,None,None,3
None,1,red,left,0.0,19,None,None,None,3
None,0,green,left,0.0,20,None,None,None,3
None,20,red,left,0.0,0,None,None,None,4
None,19,red,left,0.0,1,None,None,None,4
None,18,red,left,0.0,2,None,None,None,4
None,17,red,left,0.0,3,None,None,None,4
left,16,green,left,2.0,4,None,left,None,4
None,15,red,forward,0.0,5,None,None,None,4
None,14,red,forward,0.0,6,None,None,None,4
None,13,red,forward,0.0,7,None,None,None,4
forward,12,green,forward,2.0,8,None,None,None,4
None,11,red,forward,0.0,9,None,None,None,4
None,10,red,forward,0.0,10,None,None,None,4
None,9,red,forward,0.0,11,None,None,None,4
forward,8,green,forward,2.0,12,None,None,None,4
forward,7,green,forward,12.0,13,None,None,None,4
forward,20,green,forward,2.0,0,None,None,forward,5
None,19,red,forward,0.0,1,None,None,None,5
None,18,red,forward,0.0,2,None,None,None,5
None,17,red,forward,0.0,3,None,None,None,5
forward,16,green,forward,2.0,4,None,None,None,5
left,15,red,right,-1.0,5,None,None,None,5
left,14,green,right,-0.5,6,None,None,None,5
None,13,red,right,0.0,7,None,None,None,5
None,12,red,right,0.0,8,None,None,None,5
left,11,green,right,-0.5,9,None,None,None,5
right,10,red,right,2.0,10,None,None,None,5
right,9,red,right,2.0,11,None,None,None,5
None,8,green,left,0.0,12,None,None,None,5
None,7,green,left,0.0,13,None,None,None,5
None,6,green,left,0.0,14,None,None,None,5
None,5,red,left,0.0,15,None,None,None,5
None,4,red,left,0.0,16,None,None,None,5
None,3,red,left,0.0,17,None,None,None,5
forward,2,red,left,-1.0,18,None,None,None,5
None,1,red,left,0.0,19,None,None,None,5
None,0,green,left,0.0,20,None,None,None,5
forward,40,green,forward,2.0,0,None,None,None,6
None,39,red,forward,0.0,1,None,None,None,6
None,38,red,forward,0.0,2,None,None,None,6
forward,37,green,forward,2.0,3,None,None,None,6
forward,36,green,forward,2.0,4,None,None,None,6
None,35,red,left,0.0,5,None,None,None,6
None,34,red,left,0.0,6,None,None,None,6
None,33,red,left,0.0,7,None,None,None,6
None,32,red,left,0.0,8,None,None,None,6
None,31,red,left,0.0,9,None,None,None,6
None,30,green,left,0.0,10,None,None,None,6
None,29,green,left,0.0,11,None,None,None,6
None,28,green,left,0.0,12,None,None,None,6
None,27,green,left,0.0,13,None,None,None,6
None,26,green,left,0.0,14,None,None,None,6
None,25,red,left,0.0,15,None,None,None,6
None,24,red,left,0.0,16,None,None,None,6
None,23,red,left,0.0,17,None,None,None,6
None,22,red,left,0.0,18,None,None,None,6
None,21,red,left,0.0,19,None,None,None,6
None,20,green,left,0.0,20,None,None,None,6
None,19,green,left,0.0,21,None,None,None,6
None,18,green,left,0.0,22,None,None,None,6
None,17,green,left,0.0,23,None,None,None,6
None,16,green,left,0.0,24,None,None,None,6
None,15,red,left,0.0,25,None,None,None,6
None,14,red,left,0.0,26,None,None,None,6
None,13,red,left,0.0,27,None,None,None,6
None,12,red,left,0.0,28,None,None,None,6
None,11,red,left,0.0,29,None,None,None,6
None,10,green,left,0.0,30,None,None,None,6
None,9,green,left,0.0,31,None,None,None,6
None,8,green,left,0.0,32,None,None,None,6
None,7,green,left,0.0,33,None,None,None,6
None,6,green,left,0.0,34,None,None,None,6
None,5,red,left,0.0,35,None,None,None,6
None,4,red,left,0.0,36,None,None,None,6
None,3,red,left,0.0,37,None,None,None,6
None,2,red,left,0.0,38,None,None,None,6
None,1,red,left,0.0,39,None,None,None,6
None,0,green,left,0.0,40,None,None,None,6
left,20,green,right,-0.5,0,None,None,None,7
None,19,green,left,0.0,1,None,None,None,7
None,18,green,left,0.0,2,None,None,None,7
None,17,green,left,0.0,3,None,None,None,7
None,16,red,left,0.0,4,None,None,None,7
None,15,red,left,0.0,5,None,None,None,7
None,14,red,left,0.0,6,None,None,None,7
None,13,red,left,0.0,7,None,None,left,7
None,12,green,left,0.0,8,None,None,left,7
None,11,green,left,0.0,9,None,None,left,7
None,10,green,left,0.0,10,None,None,left,7
None,9,green,left,0.0,11,None,None,left,7
None,8,red,left,0.0,12,None,None,None,7
None,7,red,left,0.0,13,None,None,None,7
None,6,red,left,0.0,14,None,None,None,7
None,5,red,left,0.0,15,None,None,None,7
None,4,green,left,0.0,16,None,None,None,7
None,3,green,left,0.0,17,None,None,None,7
None,2,green,left,0.0,18,None,None,None,7
None,1,green,left,0.0,19,None,None,None,7
None,0,red,left,0.0,20,None,None,None,7
left,40,green,right,-0.5,0,None,None,None,8
right,39,red,right,2.0,1,None,None,None,8
