action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,20,red,forward,-1.0,0,None,None,None,1
left,19,red,forward,-1.0,1,None,None,None,1
right,18,red,forward,-0.5,2,None,None,None,1
right,17,red,left,-0.5,3,None,None,None,1
right,16,green,right,2.0,4,None,None,None,1
forward,15,red,right,-1.0,5,None,None,None,1
left,14,green,right,-0.5,6,None,None,None,1
forward,13,red,forward,-1.0,7,None,None,None,1
left,12,green,forward,-0.5,8,None,None,None,1
None,11,green,right,0.0,9,None,None,None,1
left,10,red,right,-1.0,10,None,None,None,1
left,9,red,right,-1.0,11,None,None,None,1
None,8,red,right,0.0,12,None,None,None,1
None,7,red,right,0.0,13,None,None,None,1
right,6,red,right,2.0,14,None,None,None,1
right,5,green,forward,-0.5,15,None,None,None,1
right,4,red,left,-0.5,16,None,None,None,1
forward,3,green,right,-0.5,17,None,None,None,1
None,2,red,forward,0.0,18,None,None,None,1
None,1,red,forward,0.0,19,None,None,None,1
None,0,red,forward,0.0,20,None,None,None,1
None,20,red,right,0.0,0,None,None,None,2
None,19,red,right,0.0,1,None,None,None,2
None,18,red,right,0.0,2,None,None,None,2
None,17,red,right,0.0,3,None,None,None,2
None,16,red,right,0.0,4,None,None,None,2
forward,15,green,right,-0.5,5,None,None,None,2
forward,14,green,right,-0.5,6,None,None,None,2
forward,13,green,right,-0.5,7,None,None,None,2
None,12,red,right,0.0,8,None,None,None,2
None,11,red,right,0.0,9,None,None,None,2
None,10,red,right,0.0,10,None,None,None,2
None,9,red,right,0.0,11,None,None,None,2
forward,8,green,right,-0.5,12,None,None,None,2
forward,7,green,right,-0.5,13,None,None,None,2
left,6,red,right,-1.0,14,None,None,None,2
left,5,red,right,-1.0,15,None,None,None,2
forward,4,green,right,-0.5,16,None,None,None,2
forward,3,green,right,-0.5,17,None,None,None,2
forward,2,green,right,-0.5,18,None,None,None,2
forward,1,green,right,-0.5,19,None,None,None,2
forward,0,green,right,-0.5,20,None,None,None,2
left,25,green,forward,-0.5,0,None,None,None,3
forward,24,green,right,-0.5,1,None,None,None,3
None,23,red,right,0.0,2,None,None,None,3
None,22,red,right,0.0,3,None,None,None,3
None,21,red,right,0.0,4,None,None,None,3
forward,20,green,right,-0.5,5,None,None,None,3
right,19,red,right,2.0,6,None,None,None,3
None,18,red,forward,0.0,7,None,None,None,3
None,17,red,forward,0.0,8,None,None,None,3
None,16,red,forward,0.0,9,None,None,None,3
None,15,green,forward,0.0,10,None,None,None,3
